ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
DGX,2008,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGX,2008,Q2,0.83,0.83,0.1,0.82,100787000.0,169154000.0,170044000.0,-890000.0,161328000.0,7826000.0,1083481000.0,1837901000.0,0.0,548000.0,0.0,438037000.0,1083481000.0,754420000.0,45432000.0,446297000.0,308123000.0,-37292000.0,270831000.0,1837901000.0,194400000.0,194527000.0,196119000.0
DGX,2008,Q3,0.57,0.57,0.1,0.56,100642000.0,119346000.0,168280000.0,-48934000.0,110742000.0,8604000.0,1073123000.0,1826603000.0,0.0,-12409000.0,0.0,428179000.0,1073123000.0,753480000.0,43134000.0,436545000.0,316935000.0,-48013000.0,268922000.0,1826603000.0,194300000.0,194971000.0,197190000.0
DGX,2008,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGX,2008,FY,2.99,2.99,0.4,2.96,386768000.0,613195000.0,663889000.0,-50694000.0,581490000.0,31705000.0,4256156000.0,7249447000.0,0.0,-21691000.0,0.0,1736934000.0,4256156000.0,2993291000.0,179764000.0,1770915000.0,1222376000.0,-171719000.0,1050657000.0,7249447000.0,194283000.0,194283000.0,194283000.0
DGX,2009,Q1,0.88,0.88,0.1,0.88,110189000.0,175656000.0,177327000.0,-1671000.0,167102000.0,8554000.0,1053489000.0,1808006000.0,0.0,-2709000.0,0.0,424301000.0,1053489000.0,754517000.0,39408000.0,433454000.0,321063000.0,-33547000.0,287516000.0,1808006000.0,189900000.0,189370000.0,190698000.0
DGX,2009,Q2,1.01,1.01,0.1,1.0,123535000.0,198369000.0,198281000.0,88000.0,188200000.0,10169000.0,1100212000.0,1901818000.0,0.0,-9095000.0,0.0,448756000.0,1100212000.0,801606000.0,36846000.0,442231000.0,359375000.0,-37559000.0,321816000.0,1901818000.0,186300000.0,185266000.0,187003000.0
DGX,2009,Q3,1.03,1.03,0.1,1.02,125145000.0,201635000.0,201092000.0,543000.0,192219000.0,9416000.0,1097535000.0,1897146000.0,0.0,2450000.0,0.0,441569000.0,1097535000.0,799611000.0,33065000.0,451331000.0,348280000.0,-22043000.0,326237000.0,1897146000.0,186600000.0,185124000.0,187164000.0
DGX,2009,Q4,0.99,0.99,0.1,0.97,101605000.0,190562000.0,190758000.0,-196000.0,181590000.0,8972000.0,1070239000.0,1848273000.0,0.0,-10964000.0,0.0,432992000.0,1070239000.0,778034000.0,34749000.0,447641000.0,330393000.0,-38030000.0,292363000.0,1848273000.0,185948000.0,185948000.0,185948000.0
DGX,2009,FY,3.91,3.91,0.4,3.87,460474000.0,766222000.0,767458000.0,-1236000.0,729111000.0,37111000.0,4321475000.0,7455243000.0,0.0,-20318000.0,0.0,1747618000.0,4321475000.0,3133768000.0,144068000.0,1774657000.0,1359111000.0,-131179000.0,1227932000.0,7455243000.0,185948000.0,185948000.0,185948000.0
DGX,2010,Q1,0.9,0.9,0.1,0.89,105378000.0,171153000.0,171205000.0,-52000.0,162448000.0,8705000.0,1066373000.0,1805503000.0,0.0,6012000.0,0.0,430733000.0,1066373000.0,739130000.0,35955000.0,440568000.0,298562000.0,-21979000.0,276583000.0,1805503000.0,180500000.0,180219000.0,182383000.0
DGX,2010,Q2,1.08,1.08,0.1,1.07,125651000.0,203876000.0,204142000.0,-266000.0,194615000.0,9261000.0,1078971000.0,1874727000.0,0.0,-7119000.0,0.0,419412000.0,1078971000.0,795756000.0,36367000.0,429862000.0,365894000.0,-36101000.0,329793000.0,1874727000.0,180200000.0,178920000.0,180760000.0
DGX,2010,Q3,1.14,1.14,0.1,1.13,102902000.0,207756000.0,208116000.0,-360000.0,198075000.0,9681000.0,1091465000.0,1864655000.0,0.0,3150000.0,0.0,426562000.0,1091465000.0,773190000.0,36200000.0,436323000.0,336867000.0,-25849000.0,311018000.0,1864655000.0,173800000.0,173229000.0,174315000.0
DGX,2010,Q4,0.96,0.96,0.1,0.96,96196000.0,174232000.0,161394000.0,12838000.0,165756000.0,8476000.0,1038726000.0,1715235000.0,0.0,3268000.0,0.0,382135000.0,1038726000.0,676509000.0,34945000.0,394249000.0,282260000.0,-24670000.0,257590000.0,1715235000.0,175684000.0,175684000.0,175684000.0
DGX,2010,FY,4.08,4.08,0.4,4.05,430127000.0,757017000.0,744857000.0,12160000.0,720894000.0,36123000.0,4275535000.0,7260120000.0,0.0,5311000.0,0.0,1658842000.0,4275535000.0,2984585000.0,143467000.0,1701002000.0,1283583000.0,-108599000.0,1174984000.0,7260120000.0,175684000.0,175684000.0,175684000.0
DGX,2011,Q1,-0.33,-0.33,0.1,-0.33,49226000.0,-46662000.0,-46288000.0,-374000.0,-53861000.0,7199000.0,1096998000.0,1821577000.0,0.0,2208000.0,0.0,447858000.0,1096998000.0,724579000.0,37929000.0,693619000.0,30960000.0,-28022000.0,2938000.0,1821577000.0,163200000.0,161489000.0,161489000.0
DGX,2011,Q2,1.03,1.03,0.1,1.02,105762000.0,171527000.0,172034000.0,-507000.0,163143000.0,8384000.0,1104394000.0,1903201000.0,0.0,-346000.0,0.0,462789000.0,1104394000.0,798807000.0,46581000.0,481953000.0,316854000.0,-39058000.0,277796000.0,1903201000.0,158400000.0,157607000.0,159352000.0
DGX,2011,Q3,1.08,1.08,0.1,1.07,101126000.0,181893000.0,182143000.0,-250000.0,171848000.0,10045000.0,1116574000.0,1906405000.0,0.0,-2677000.0,0.0,446595000.0,1116574000.0,789831000.0,43408000.0,467778000.0,322053000.0,-38784000.0,283269000.0,1906405000.0,159100000.0,157816000.0,159002000.0
DGX,2011,Q4,1.17,1.17,0.17,1.16,98886000.0,199242000.0,186111000.0,13131000.0,189870000.0,9372000.0,1045034000.0,1760817000.0,0.0,3815000.0,0.0,385758000.0,1045034000.0,715783000.0,42082000.0,398650000.0,317133000.0,-32136000.0,284997000.0,1760817000.0,159000000.0,159000000.0,159000000.0
DGX,2011,FY,2.95,2.95,0.47,2.92,355000000.0,506000000.0,494000000.0,12000000.0,471000000.0,35000000.0,4363000000.0,7392000000.0,0.0,3000000.0,0.0,1743000000.0,4363000000.0,3029000000.0,170000000.0,2042000000.0,987000000.0,-138000000.0,849000000.0,7392000000.0,159000000.0,159000000.0,159000000.0
DGX,2012,Q1,1.0,1.0,0.17,0.99,102562000.0,168515000.0,165520000.0,2995000.0,159118000.0,9397000.0,1109164000.0,1908697000.0,0.0,4756000.0,0.0,483252000.0,1109164000.0,799533000.0,42102000.0,501714000.0,297819000.0,-29737000.0,268082000.0,1908697000.0,159100000.0,158293000.0,159706000.0
DGX,2012,Q2,1.12,1.12,0.17,1.11,113726000.0,186473000.0,183993000.0,2480000.0,177705000.0,8768000.0,1101924000.0,1878352000.0,0.0,-1255000.0,0.0,424085000.0,1101924000.0,776428000.0,41750000.0,443076000.0,333352000.0,-35633000.0,297719000.0,1878352000.0,158700000.0,158477000.0,159784000.0
DGX,2012,Q3,1.02,1.02,0.17,1.01,103978000.0,171538000.0,166997000.0,4541000.0,163082000.0,8456000.0,1081017000.0,1821748000.0,0.0,2502000.0,0.0,416854000.0,1081017000.0,740731000.0,40809000.0,436111000.0,304620000.0,-33645000.0,270975000.0,1821748000.0,159900000.0,158783000.0,160702000.0
DGX,2012,Q4,0.35,0.35,0.3,0.35,81734000.0,65474000.0,149490000.0,-84016000.0,56095000.0,9379000.0,1072895000.0,1774203000.0,0.0,-3000.0,0.0,420809000.0,1072895000.0,701308000.0,40339000.0,436099000.0,265209000.0,-33985000.0,231224000.0,1774203000.0,159000000.0,159000000.0,159000000.0
DGX,2012,FY,3.49,3.49,0.81,3.46,402000000.0,592000000.0,666000000.0,-74000000.0,556000000.0,36000000.0,4365000000.0,7383000000.0,0.0,6000000.0,0.0,1745000000.0,4365000000.0,3018000000.0,165000000.0,1817000000.0,1201000000.0,-133000000.0,1068000000.0,7383000000.0,159000000.0,159000000.0,159000000.0
DGX,2013,Q1,0.86,0.86,0.3,0.85,73000000.0,144000000.0,124000000.0,20000000.0,136000000.0,8000000.0,1092000000.0,1787000000.0,0.0,4000000.0,0.0,448000000.0,1092000000.0,695000000.0,40000000.0,468000000.0,227000000.0,-30000000.0,197000000.0,1787000000.0,158100000.0,158000000.0,159000000.0
DGX,2013,Q2,1.07,1.07,0.3,1.07,95000000.0,174000000.0,161000000.0,13000000.0,165000000.0,9000000.0,1094000000.0,1815000000.0,0.0,0.0,0.0,418000000.0,1094000000.0,721000000.0,40000000.0,432000000.0,289000000.0,-33000000.0,256000000.0,1815000000.0,154200000.0,153000000.0,154000000.0
DGX,2013,Q3,2.7,2.7,0.3,2.68,245000000.0,414000000.0,412000000.0,2000000.0,405000000.0,9000000.0,1089000000.0,1788000000.0,0.0,3000000.0,0.0,423000000.0,1089000000.0,699000000.0,40000000.0,10000000.0,689000000.0,-32000000.0,657000000.0,1788000000.0,150000000.0,150000000.0,151000000.0
DGX,2013,Q4,0.95,0.95,0.3,0.94,87000000.0,151000000.0,151000000.0,0.0,143000000.0,8000000.0,1051000000.0,1756000000.0,0.0,1000000.0,0.0,415000000.0,1051000000.0,705000000.0,39000000.0,435000000.0,270000000.0,-56000000.0,214000000.0,1756000000.0,152000000.0,152000000.0,152000000.0
DGX,2013,FY,5.58,5.58,1.2,5.54,500000000.0,883000000.0,848000000.0,35000000.0,849000000.0,34000000.0,4326000000.0,7146000000.0,0.0,8000000.0,0.0,1704000000.0,4326000000.0,2820000000.0,159000000.0,1345000000.0,1475000000.0,-151000000.0,1324000000.0,7146000000.0,152000000.0,152000000.0,152000000.0
DGX,2014,Q1,0.72,0.72,0.33,0.71,65000000.0,111000000.0,111000000.0,0.0,104000000.0,7000000.0,1101000000.0,1746000000.0,0.0,1000000.0,0.0,415000000.0,1101000000.0,645000000.0,39000000.0,437000000.0,208000000.0,-32000000.0,176000000.0,1746000000.0,144400000.0,144000000.0,145000000.0
DGX,2014,Q2,0.92,0.92,0.33,0.92,87000000.0,142000000.0,142000000.0,0.0,133000000.0,9000000.0,1174000000.0,1902000000.0,0.0,3000000.0,0.0,440000000.0,1174000000.0,728000000.0,42000000.0,466000000.0,262000000.0,-33000000.0,229000000.0,1902000000.0,144600000.0,144000000.0,145000000.0
DGX,2014,Q3,0.89,0.89,0.33,0.88,82000000.0,139000000.0,132000000.0,0.0,129000000.0,10000000.0,1178000000.0,1904000000.0,0.0,-1000000.0,0.0,446000000.0,1178000000.0,726000000.0,41000000.0,470000000.0,256000000.0,-42000000.0,214000000.0,1904000000.0,144900000.0,145000000.0,145000000.0
DGX,2014,Q4,1.3,1.3,0.33,1.3,28000000.0,200000000.0,202000000.0,5000000.0,190000000.0,10000000.0,1184000000.0,1883000000.0,0.0,1000000.0,0.0,427000000.0,1184000000.0,699000000.0,42000000.0,442000000.0,257000000.0,-53000000.0,204000000.0,1883000000.0,145000000.0,145000000.0,145000000.0
DGX,2014,FY,3.83,3.83,1.32,3.81,262000000.0,592000000.0,587000000.0,5000000.0,556000000.0,36000000.0,4637000000.0,7435000000.0,0.0,4000000.0,0.0,1728000000.0,4637000000.0,2798000000.0,164000000.0,1815000000.0,983000000.0,-160000000.0,823000000.0,7435000000.0,145000000.0,145000000.0,145000000.0
DGX,2015,Q1,0.42,0.42,0.38,0.42,42000000.0,70000000.0,63000000.0,0.0,61000000.0,9000000.0,1163000000.0,1839000000.0,0.0,-78000000.0,0.0,419000000.0,1163000000.0,676000000.0,45000000.0,448000000.0,228000000.0,-123000000.0,105000000.0,1839000000.0,145200000.0,144000000.0,146000000.0
DGX,2015,Q2,0.82,0.82,0.38,0.81,78000000.0,129000000.0,129000000.0,0.0,118000000.0,11000000.0,1182000000.0,1925000000.0,0.0,-64000000.0,0.0,429000000.0,1182000000.0,743000000.0,37000000.0,442000000.0,301000000.0,-101000000.0,200000000.0,1925000000.0,143900000.0,144000000.0,145000000.0
DGX,2015,Q3,2.37,2.37,0.38,2.35,239000000.0,354000000.0,354000000.0,0.0,342000000.0,12000000.0,1162000000.0,1880000000.0,0.0,-4000000.0,0.0,402000000.0,1162000000.0,718000000.0,35000000.0,87000000.0,631000000.0,-39000000.0,592000000.0,1880000000.0,144300000.0,144000000.0,145000000.0
DGX,2015,Q4,1.31,1.31,0.38,1.29,14000000.0,200000000.0,207000000.0,0.0,188000000.0,12000000.0,1150000000.0,1849000000.0,0.0,3000000.0,0.0,429000000.0,1150000000.0,699000000.0,36000000.0,460000000.0,239000000.0,-33000000.0,206000000.0,1849000000.0,144000000.0,144000000.0,144000000.0
DGX,2015,FY,4.92,4.92,1.52,4.87,373000000.0,753000000.0,753000000.0,0.0,709000000.0,44000000.0,4657000000.0,7493000000.0,0.0,-143000000.0,0.0,1679000000.0,4657000000.0,2836000000.0,153000000.0,1437000000.0,1399000000.0,-296000000.0,1103000000.0,7493000000.0,144000000.0,144000000.0,144000000.0
DGX,2016,Q1,0.72,0.72,0.4,0.71,67000000.0,115000000.0,115000000.0,0.0,103000000.0,12000000.0,1144000000.0,1863000000.0,0.0,-49000000.0,0.0,442000000.0,1144000000.0,719000000.0,36000000.0,462000000.0,257000000.0,-85000000.0,172000000.0,1863000000.0,143100000.0,143000000.0,144000000.0
DGX,2016,Q2,1.38,1.38,0.4,1.37,183000000.0,209000000.0,209000000.0,0.0,195000000.0,14000000.0,1155000000.0,1906000000.0,0.0,-5000000.0,0.0,430000000.0,1155000000.0,751000000.0,34000000.0,329000000.0,422000000.0,-39000000.0,383000000.0,1906000000.0,141300000.0,140000000.0,142000000.0
DGX,2016,Q3,1.37,1.37,0.4,1.34,95000000.0,205000000.0,205000000.0,0.0,192000000.0,13000000.0,1157000000.0,1885000000.0,0.0,4000000.0,0.0,409000000.0,1157000000.0,728000000.0,37000000.0,406000000.0,322000000.0,-33000000.0,289000000.0,1885000000.0,140100000.0,139000000.0,142000000.0
DGX,2016,Q4,-3.31,1.11,0.45,1.09,84000000.0,167000000.0,167000000.0,0.0,155000000.0,12000000.0,1160000000.0,1861000000.0,0.0,2000000.0,0.0,400000000.0,1160000000.0,701000000.0,36000000.0,425000000.0,276000000.0,-34000000.0,242000000.0,1861000000.0,4031300000.0,140000000.0,140000000.0
DGX,2016,FY,0.16,4.58,1.65,4.51,429000000.0,696000000.0,696000000.0,0.0,645000000.0,51000000.0,4616000000.0,7515000000.0,0.0,-48000000.0,0.0,1681000000.0,4616000000.0,2899000000.0,143000000.0,1622000000.0,1277000000.0,-191000000.0,1086000000.0,7515000000.0,4031300000.0,140000000.0,140000000.0
DGX,2017,Q1,1.19,1.19,0.45,1.16,78000000.0,175000000.0,175000000.0,0.0,164000000.0,11000000.0,1165000000.0,1899000000.0,0.0,3000000.0,0.0,437000000.0,1165000000.0,734000000.0,36000000.0,455000000.0,279000000.0,-33000000.0,246000000.0,1899000000.0,137800000.0,137000000.0,141000000.0
DGX,2017,Q2,1.4,1.4,0.45,1.37,94000000.0,207000000.0,207000000.0,0.0,193000000.0,14000000.0,1170000000.0,1943000000.0,0.0,11000000.0,0.0,437000000.0,1170000000.0,773000000.0,38000000.0,454000000.0,319000000.0,-27000000.0,292000000.0,1943000000.0,137900000.0,137000000.0,140000000.0
DGX,2017,Q3,1.18,1.18,0.45,1.15,92000000.0,175000000.0,175000000.0,0.0,161000000.0,14000000.0,1190000000.0,1931000000.0,0.0,-2000000.0,0.0,423000000.0,1190000000.0,741000000.0,38000000.0,443000000.0,298000000.0,-40000000.0,258000000.0,1931000000.0,136400000.0,137000000.0,140000000.0
DGX,2017,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGX,2017,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
