date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-10-28,0,0,0,0,0.0,0.0,0
2015-12-08,0,0,0,0,0.0,0.0384615384615,0
2016-01-21,0,0,0,0,0.0,0.0,0
2016-01-23,0,0,0,0,0.0,0.0,0
2016-02-03,0,0,0,0,0.0,0.0,0
2016-02-19,0,0,0,0,-0.05,0.3,0
2016-03-17,0,0,0,0,0.0,0.0,0
2016-03-31,0,1,0,0,0.0,0.0,0
2016-05-18,0,0,0,0,0.0,0.0769230769231,0
2016-05-20,0,0,0,0,0.136363636364,0.454545454545,0
2016-06-21,0,0,0,0,0.0,0.0,0
2016-06-23,0,0,0,0,0.0,0.0,0
2016-06-27,0,0,0,0,0.0,0.0,0
2016-06-30,0,0,0,0,0.375,0.6,0
2016-07-01,0,0,0,0,-0.3,0.4,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-07-25,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,-0.1875,0.875,0
2016-07-28,0,0,0,0,0.0,0.5,0
2016-08-29,0,0,0,0,0.0,0.0666666666667,0
2016-08-30,0,0,0,0,0.0,0.0,0
2016-09-15,0,1,0,0,0.0,0.0,0
2016-10-17,0,0,0,0,0.0,0.0,0
2016-10-20,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,-0.14375,0.18125,0
2016-10-31,0,0,0,0,0.05,0.15,0
2016-11-14,0,0,0,0,0.0,0.25,0
2016-11-16,0,0,0,0,0.0,0.0,0
2016-12-13,0,0,0,0,0.0,0.0384615384615,0
2016-12-14,0,0,0,0,0.0,0.0,0
2017-01-18,0,1,0,0,0.4375,0.6875,0
2017-01-30,0,0,0,0,0.0,0.0,0
2017-02-03,0,0,0,0,0.0,0.0384615384615,0
2017-02-07,0,0,0,0,0.15,0.3,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.4,0.8,0
2017-03-01,0,0,0,0,0.0,0.0,0
2017-03-05,0,0,0,0,0.0,0.0,0
2017-03-28,0,0,0,0,0.0,0.75,0
2017-04-09,0,0,0,0,0.0,0.0,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-08-11,0,0,0,0,0.0,0.0,0
2017-08-14,0,0,0,0,0.0,0.25,0
2017-08-31,0,0,0,0,0.0,0.0,0
2017-09-27,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,0.35,0.25,0
2017-10-04,0,0,0,0,0.0,0.0,0
2017-10-05,0,0,0,0,0.0,0.0666666666667,0
2017-10-06,0,0,0,0,0.25,0.5875,0
2017-10-09,0,0,0,0,0.0681818181818,0.227272727273,0
2017-10-10,0,1,0,0,0.0,0.1,0
2017-10-11,0,0,0,0,0.152222222222,0.836666666667,0
2017-10-12,0,1,0,0,0.765572390572,1.81826599327,0
2017-10-13,0,0,0,0,1.16666666667,2.2,0
2017-10-14,0,0,0,0,0.0,0.45,0
2017-10-15,0,0,0,0,0.0,0.05,0
2017-10-16,0,2,0,0,1.11785714286,1.69285714286,0
