date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-10-28,0,0,0,0,0.0,0.0,0
2016-02-10,0,0,0,0,0.0,0.0,0
2016-05-27,0,1,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,4
2016-11-16,0,0,0,0,0.0,0.0,0
2017-01-30,0,0,0,0,0.0,0.0,0
2017-01-31,0,0,0,0,0.0,0.0,0
2017-02-07,0,0,0,0,0.0,0.0,0
2017-04-11,0,0,0,0,0.0,0.0,0
2017-07-05,0,0,0,0,0.3,0.5375,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-08-11,0,0,0,0,0.0,0.0,0
2017-08-15,0,0,0,0,0.0,0.0,0
2017-09-01,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.25,0.5,0
2017-10-03,0,0,0,0,0.5,1.45454545455,0
2017-10-04,0,0,0,0,0.55,1.3,0
2017-10-05,0,0,0,0,0.0,0.0,0
2017-10-06,0,0,0,1,0.35,0.9,0
2017-10-07,0,0,0,0,0.196590909091,0.788636363636,0
2017-10-08,0,0,0,0,-0.1,0.1,0
2017-10-09,0,0,0,1,-0.025,1.75,0
2017-10-10,0,0,0,1,0.0,0.0,0
2017-10-11,0,0,0,0,-0.122272727273,2.37909090909,0
2017-10-12,0,3,1,0,0.248863636364,2.01704545455,0
2017-10-13,0,0,0,0,0.08,0.395,0
2017-10-14,0,1,0,0,0.0,0.0,0
2017-10-15,0,0,0,0,0.229545454545,1.18181818182,0
2017-10-16,0,0,0,1,0.455,3.27,0
