date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-20,0,0,0,0,-0.3,0.5,0
2016-02-04,0,0,0,0,0.0,0.0,0
2016-05-09,0,0,0,0,0.0,0.0,0
2016-05-25,0,0,0,0,0.0,0.0,0
2016-06-01,0,0,0,0,0.0,0.0,0
2016-08-09,0,0,0,0,0.0,0.0,3
2016-08-11,0,0,0,0,0.0,0.0,0
2016-08-26,0,0,0,0,0.0,0.0,0
2016-10-10,0,0,0,0,0.0,0.0,0
2016-11-01,0,0,0,0,0.0,0.0,4
2016-11-03,0,0,0,0,0.0,0.0,0
2016-12-05,0,0,0,0,0.0,0.0,0
2017-01-12,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,1
2017-03-28,0,0,0,0,-0.133333333333,0.283333333333,0
2017-04-10,0,0,0,0,0.0,0.0,0
2017-04-19,0,0,0,0,0.0,0.0,0
2017-05-04,0,0,0,0,0.0,0.0,2
2017-05-30,0,0,0,0,-0.166666666667,0.166666666667,0
2017-06-07,0,0,0,0,-0.133333333333,0.283333333333,0
2017-09-06,0,0,0,0,0.0,1.0,0
2017-09-08,0,0,0,0,0.0,0.0,0
2017-09-15,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-04,0,0,0,0,0.136363636364,0.454545454545,0
2017-10-05,0,1,1,0,0.0,0.0,0
2017-10-06,0,0,0,0,0.0,0.0,0
2017-10-08,0,0,0,0,0.0,0.0,0
2017-10-09,0,0,0,0,0.4,0.9,0
2017-10-10,0,0,0,1,-0.602380952381,0.971428571429,0
2017-10-11,0,1,1,0,0.088446969697,1.66496212121,0
2017-10-12,0,1,0,0,-0.1,0.4,0
2017-10-13,0,2,0,0,0.0,0.0,0
2017-10-14,0,0,0,0,-0.1,0.466666666667,0
2017-10-15,0,0,0,0,0.5,1.35,0
2017-10-16,0,1,0,1,1.13333333333,4.05,0
