date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-10-23,0,0,0,0,0.0,0.0,0
2015-12-08,0,0,0,0,0.0,0.0666666666667,0
2016-02-09,0,0,0,0,0.0,0.0,0
2016-02-25,0,0,0,0,0.0,0.0,0
2016-05-10,0,0,0,0,0.0,0.0,0
2016-05-17,0,0,0,0,0.0,0.0,0
2016-06-02,0,0,1,0,0.0,0.0,0
2016-06-29,0,0,0,0,0.136363636364,0.454545454545,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-08-12,0,0,0,0,0.0,0.25,0
2016-09-19,0,0,0,0,0.0,0.0,0
2016-09-26,0,0,0,0,0.0,0.0,0
2016-10-28,0,0,0,0,0.0,0.0,0
2016-12-06,0,0,0,0,0.0,0.0,0
2016-12-07,0,0,0,0,0.0,0.0,0
2016-12-15,0,0,0,0,0.0,0.0,0
2016-12-16,0,0,1,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-09-18,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,0.636363636364,0.954545454545,0
2017-10-04,0,0,0,0,0.66,1.04,0
2017-10-05,0,0,0,0,1.02651515152,1.80227272727,0
2017-10-06,0,0,0,0,0.1,0.2,0
2017-10-09,0,0,0,0,0.0,0.0,0
2017-10-10,0,0,0,0,-0.5,0.533333333333,0
2017-10-11,0,2,0,0,0.436363636364,1.5,0
2017-10-12,0,0,0,0,0.3,0.5,0
2017-10-13,0,0,0,0,0.6,1.1,0
2017-10-14,0,0,0,0,0.375,0.875,0
2017-10-15,0,0,0,1,-0.166666666667,0.333333333333,0
2017-10-16,0,1,0,0,1.24523809524,2.37619047619,0
