date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-19,0,0,0,0,0.0,0.125,0
2016-03-01,0,0,0,0,0.0,0.125,0
2016-05-19,0,0,0,0,0.0,0.0,0
2016-08-18,0,0,0,0,0.0,0.0,3
2017-02-28,0,0,0,0,0.0,0.0,0
2017-08-17,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.45,0.15,0
2017-10-03,0,0,0,0,0.0,0.1,0
2017-10-04,0,0,0,0,0.266666666667,1.01666666667,0
2017-10-05,0,0,0,0,0.0,0.1,0
2017-10-06,0,1,0,0,0.0,0.0,0
2017-10-09,0,0,0,0,0.6,0.7,0
2017-10-10,0,0,0,0,0.0,0.0,0
2017-10-11,0,0,1,0,-0.1,1.3,0
2017-10-12,0,1,0,0,0.733333333333,0.966666666667,0
2017-10-13,0,0,0,0,0.151136363636,2.22772727273,0
2017-10-14,0,1,0,0,0.0,0.0,0
2017-10-15,0,0,0,0,-0.9,1.3,0
2017-10-16,0,0,1,0,2.72727272727,5.24545454545,0
