b'ticker,dimension,datekey,revenue\n'
b'CSCO,ARQ,2001-09-24,4298000000\n'
b'CSCO,ARQ,2001-12-10,4448000000\n'
b'CSCO,ARQ,2002-03-11,4816000000\n'
b'CSCO,ARQ,2002-05-28,4822000000\n'
b'CSCO,ARQ,2002-09-18,4829000000\n'
b'CSCO,ARQ,2002-11-21,4845000000\n'
b'CSCO,ARQ,2003-02-24,4713000000\n'
b'CSCO,ARQ,2003-05-19,4618000000\n'
b'CSCO,ARQ,2003-09-10,4702000000\n'
b'CSCO,ARQ,2003-11-17,5101000000\n'
b'CSCO,ARQ,2004-02-17,5398000000\n'
b'CSCO,ARQ,2004-05-27,5620000000\n'
b'CSCO,ARQ,2004-09-20,5926000000\n'
b'CSCO,ARQ,2004-11-22,5971000000\n'
b'CSCO,ARQ,2005-02-22,6062000000\n'
b'CSCO,ARQ,2005-05-27,6187000000\n'
b'CSCO,ARQ,2005-09-19,6581000000\n'
b'CSCO,ARQ,2005-11-23,6550000000\n'
b'CSCO,ARQ,2006-02-21,6628000000\n'
b'CSCO,ARQ,2006-05-25,7322000000\n'
b'CSCO,ARQ,2006-09-18,7984000000\n'
b'CSCO,ARQ,2006-11-21,8184000000\n'
b'CSCO,ARQ,2007-02-20,8439000000\n'
b'CSCO,ARQ,2007-05-24,8866000000\n'
b'CSCO,ARQ,2007-09-18,9433000000\n'
b'CSCO,ARQ,2007-11-20,9554000000\n'
b'CSCO,ARQ,2008-02-19,9831000000\n'
b'CSCO,ARQ,2008-05-22,9791000000\n'
b'CSCO,ARQ,2008-09-15,10364000000\n'
b'CSCO,ARQ,2008-11-18,10331000000\n'
b'CSCO,ARQ,2009-02-17,9089000000\n'
b'CSCO,ARQ,2009-05-20,8162000000\n'
b'CSCO,ARQ,2009-09-11,8535000000\n'
b'CSCO,ARQ,2009-11-18,9021000000\n'
b'CSCO,ARQ,2010-02-17,9815000000\n'
b'CSCO,ARQ,2010-05-26,10368000000\n'
b'CSCO,ARQ,2010-09-21,10836000000\n'
b'CSCO,ARQ,2010-11-23,10750000000\n'
b'CSCO,ARQ,2011-02-23,10407000000\n'
b'CSCO,ARQ,2011-05-25,10866000000\n'
b'CSCO,ARQ,2011-09-14,11195000000\n'
b'CSCO,ARQ,2011-11-22,11256000000\n'
b'CSCO,ARQ,2012-02-21,11527000000\n'
