b'Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume\n'
b'2017-10-06,33.65,33.78,33.5247,33.75,15464652.0,0.0,1.0,33.65,33.78,33.5247,33.75,15464652.0\n'
b'2017-10-05,33.58,33.67,33.41,33.59,14524809.0,0.0,1.0,33.58,33.67,33.41,33.59,14524809.0\n'
b'2017-10-04,33.53,33.56,33.29,33.44,14652192.0,0.29,1.0,33.53,33.56,33.29,33.44,14652192.0\n'
b'2017-10-03,33.72,33.9,33.61,33.85,13346858.0,0.0,1.0,33.43008597687518,33.60853839312185,33.32103172250222,33.558968277497776,13346858.0\n'
b'2017-10-02,33.61,33.77,33.52,33.75,16555183.0,0.0,1.0,33.32103172250222,33.47965609249926,33.23180551437889,33.459828046249626,16555183.0\n'
b'2017-09-29,33.31,33.67,33.24,33.63,14802671.0,0.0,1.0,33.023611028757784,33.38051586125111,32.95421286688408,33.340859768751855,14802671.0\n'
b'2017-09-28,33.22,33.46,33.22,33.35,15496862.0,0.0,1.0,32.93438482063445,33.172321375630005,32.93438482063445,33.06326712125704,15496862.0\n'
b'2017-09-27,33.78,33.92,33.3037,33.48,22594626.0,0.0,1.0,33.489570115624076,33.62836643937148,33.017365194189146,33.19214942187963,22594626.0\n'
b'2017-09-26,33.76,34.1,33.67,33.76,26138300.0,0.0,1.0,33.46974206937444,33.80681885561815,33.38051586125111,33.46974206937444,26138300.0\n'
b'2017-09-25,33.31,33.84,33.2,33.72,32396906.0,0.0,1.0,33.023611028757784,33.54905425437296,32.91455677438482,33.43008597687518,32396906.0\n'
b'2017-09-22,32.66,33.53,32.64,33.37,28234858.0,0.0,1.0,32.37919952564482,33.241719537503705,32.3593714793952,33.08309516750667,28234858.0\n'
b'2017-09-21,32.72,32.9,32.5,32.7,19870012.0,0.0,1.0,32.438683664393714,32.61713608064038,32.22057515564779,32.418855618144086,19870012.0\n'
b'2017-09-20,32.55,32.75,32.39,32.6,19865366.0,0.0,1.0,32.270145271271865,32.46842573376816,32.11152090127483,32.319715386895936,19865366.0\n'
b'2017-09-19,32.46,32.65,32.395,32.49,12927654.0,0.0,1.0,32.18091906314853,32.36928550252001,32.11647791283724,32.21066113252298,12927654.0\n'
b'2017-09-18,32.43,32.66,32.26,32.52,17290893.0,0.0,1.0,32.15117699377409,32.37919952564482,31.982638600652237,32.24040320189742,17290893.0\n'
b'2017-09-15,32.2,32.5,32.12,32.44,29336087.0,0.0,1.0,31.92315446190335,32.22057515564779,31.84384227690483,32.1610910168989,29336087.0\n'
b'2017-09-14,31.91,32.22,31.91,32.19,18194803.0,0.0,1.0,31.635647791283724,31.942982508152976,31.635647791283724,31.913240438778534,18194803.0\n'
b'2017-09-13,32.34,32.39,31.96,32.18,22705140.0,0.0,1.0,32.06195078565076,32.11152090127483,31.6852179069078,31.90332641565372,22705140.0\n'
b'2017-09-12,32.3,32.47,32.19,32.41,18923132.0,0.0,1.0,32.022294693151494,32.190833086273344,31.913240438778534,32.13134894752446,18923132.0\n'
b'2017-09-11,31.71,32.3,31.67,32.19,22440819.0,0.0,1.0,31.43736732878743,32.022294693151494,31.39771123628817,31.913240438778534,22440819.0\n'
b'2017-09-08,31.68,31.78,31.46,31.48,15339455.0,0.0,1.0,31.407625259412985,31.506765490661135,31.189516750667064,31.209344796916692,15339455.0\n'
b'2017-09-07,31.96,31.97,31.74,31.76,14751706.0,0.0,1.0,31.6852179069078,31.69513193003261,31.46710939816187,31.486937444411502,14751706.0\n'
b'2017-09-06,31.75,31.91,31.63,31.87,16962308.0,0.0,1.0,31.477023421286688,31.635647791283724,31.35805514378891,31.595991698784466,16962308.0\n'
b'2017-09-05,32.15,32.245,31.455,31.62,32650934.0,0.0,1.0,31.873584346279273,31.967767565965012,31.184559739104653,31.3481411206641,32650934.0\n'
b'2017-09-01,32.22,32.345,32.03,32.3,14686578.0,0.0,1.0,31.942982508152976,32.06690779721316,31.754616068781502,32.022294693151494,14686578.0\n'
b'2017-08-31,32.1,32.34,31.99,32.21,27800153.0,0.0,1.0,31.824014230655205,32.06195078565076,31.714959976282238,31.933068485028166,27800153.0\n'
