ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
ADS,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADS,2009,Q2,0.52,0.52,0.0,0.51,18085000.0,29436000.0,28387000.0,1049000.0,29436000.0,0.0,326567000.0,339561000.0,0.0,0.0,0.0,19214000.0,326567000.0,130972000.0,34107000.0,50393000.0,80579000.0,-34107000.0,46472000.0,457539000.0,56600000.0,56918000.0,57808000.0
ADS,2009,Q3,0.87,0.87,0.0,0.83,9666000.0,45796000.0,45317000.0,479000.0,45796000.0,0.0,326578000.0,356869000.0,0.0,0.0,0.0,30143000.0,326578000.0,154853000.0,38563000.0,61307000.0,93546000.0,-38563000.0,54983000.0,481431000.0,52600000.0,52841000.0,55136000.0
ADS,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADS,2009,FY,2.58,2.58,0.0,2.49,86227000.0,143734000.0,176719000.0,-32985000.0,143734000.0,0.0,1354138000.0,1447124000.0,0.0,0.0,0.0,99823000.0,1354138000.0,610203000.0,144811000.0,202446000.0,407757000.0,-144811000.0,262946000.0,1964341000.0,55700000.0,55765000.0,57706000.0
ADS,2010,Q1,0.89,0.89,0.0,0.84,28838000.0,46654000.0,46654000.0,0.0,46654000.0,0.0,361003000.0,646826000.0,0.0,0.0,0.0,22164000.0,361003000.0,302534000.0,82706000.0,144336000.0,158198000.0,-82706000.0,75492000.0,663537000.0,52400000.0,52441000.0,55419000.0
ADS,2010,Q2,0.89,0.89,0.0,0.83,29212000.0,47320000.0,47320000.0,0.0,47320000.0,0.0,358708000.0,651291000.0,0.0,0.0,0.0,21509000.0,358708000.0,311010000.0,83848000.0,150630000.0,160380000.0,-83848000.0,76532000.0,669718000.0,53200000.0,53188000.0,56821000.0
ADS,2010,Q3,1.01,1.01,0.0,0.96,32831000.0,53059000.0,53059000.0,0.0,53059000.0,0.0,385201000.0,683334000.0,0.0,0.0,0.0,19767000.0,385201000.0,317242000.0,84119000.0,147233000.0,170009000.0,-84119000.0,85890000.0,702443000.0,52500000.0,52584000.0,55218000.0
ADS,2010,Q4,0.9,0.9,0.0,0.85,24371000.0,46704000.0,48605000.0,0.0,46704000.0,0.0,440468000.0,734824000.0,0.0,0.0,0.0,22333000.0,440468000.0,315255000.0,67657000.0,174622000.0,140633000.0,-67657000.0,72976000.0,755723000.0,52500000.0,52534000.0,55710000.0
ADS,2010,FY,3.69,3.69,0.0,3.48,115252000.0,193737000.0,195638000.0,0.0,193737000.0,0.0,1545380000.0,2716275000.0,0.0,0.0,0.0,85773000.0,1545380000.0,1246041000.0,318330000.0,616821000.0,629220000.0,-318330000.0,310890000.0,2791421000.0,52500000.0,52534000.0,55710000.0
ADS,2011,Q1,1.69,1.69,0.0,1.56,54073000.0,86376000.0,86376000.0,0.0,86376000.0,0.0,404525000.0,721383000.0,0.0,0.0,0.0,20939000.0,404525000.0,335911000.0,71459000.0,124003000.0,211908000.0,-71459000.0,140449000.0,740436000.0,51100000.0,51122000.0,55412000.0
ADS,2011,Q2,1.35,1.35,0.0,1.19,43974000.0,69023000.0,69023000.0,0.0,69023000.0,0.0,431250000.0,717747000.0,0.0,0.0,0.0,21021000.0,431250000.0,309208000.0,78794000.0,117417000.0,191791000.0,-78794000.0,112997000.0,740458000.0,51100000.0,51070000.0,58145000.0
ADS,2011,Q3,1.86,1.86,0.0,1.6,59342000.0,93981000.0,93981000.0,0.0,93981000.0,0.0,476993000.0,812139000.0,0.0,0.0,0.0,26242000.0,476993000.0,367851000.0,74356000.0,140172000.0,227679000.0,-74356000.0,153323000.0,844844000.0,50500000.0,50644000.0,58579000.0
ADS,2011,Q4,1.32,1.32,0.0,1.1,41420000.0,65906000.0,65906000.0,0.0,65906000.0,0.0,499114000.0,820323000.0,0.0,0.0,0.0,27054000.0,499114000.0,348435000.0,73976000.0,167133000.0,181302000.0,-73976000.0,107326000.0,847549000.0,50700000.0,50687000.0,57804000.0
ADS,2011,FY,6.22,6.22,0.0,5.45,198809000.0,315286000.0,315286000.0,0.0,315286000.0,0.0,1811882000.0,3071592000.0,0.0,0.0,0.0,95256000.0,1811882000.0,1361405000.0,298585000.0,548725000.0,812680000.0,-298585000.0,514095000.0,3173287000.0,50700000.0,50687000.0,57804000.0
ADS,2012,Q1,2.3,2.3,0.0,1.86,71738000.0,115229000.0,115229000.0,0.0,115229000.0,0.0,526905000.0,861121000.0,0.0,0.0,0.0,23999000.0,526905000.0,364664000.0,65652000.0,112045000.0,252619000.0,-65652000.0,186967000.0,891569000.0,50100000.0,50147000.0,61849000.0
ADS,2012,Q2,2.07,2.07,0.0,1.63,63655000.0,103821000.0,103821000.0,0.0,103821000.0,0.0,506455000.0,834011000.0,0.0,0.0,0.0,27532000.0,506455000.0,360030000.0,73067000.0,119487000.0,240543000.0,-73067000.0,167476000.0,866485000.0,50200000.0,50161000.0,63731000.0
ADS,2012,Q3,2.39,2.39,0.0,1.84,70561000.0,119545000.0,119545000.0,0.0,119545000.0,0.0,499455000.0,879175000.0,0.0,0.0,0.0,24584000.0,499455000.0,412037000.0,74365000.0,147566000.0,264471000.0,-74365000.0,190106000.0,911492000.0,50000000.0,49939000.0,65038000.0
ADS,2012,Q4,1.68,1.68,0.0,1.25,54694000.0,83661000.0,83661000.0,0.0,83661000.0,0.0,573797000.0,936968000.0,0.0,0.0,0.0,31944000.0,573797000.0,398047000.0,78376000.0,181316000.0,216731000.0,-78376000.0,138355000.0,971844000.0,50000000.0,50008000.0,64143000.0
ADS,2012,FY,8.44,8.44,0.0,6.58,260648000.0,422256000.0,422256000.0,0.0,422256000.0,0.0,2106612000.0,3511275000.0,0.0,0.0,0.0,108059000.0,2106612000.0,1534778000.0,291460000.0,560414000.0,974364000.0,-291460000.0,682904000.0,3641390000.0,50000000.0,50008000.0,64143000.0
ADS,2013,Q1,2.59,2.59,0.0,1.92,79702000.0,128979000.0,128979000.0,0.0,128979000.0,0.0,620422000.0,1015370000.0,0.0,0.0,0.0,22292000.0,620422000.0,433015000.0,82544000.0,141790000.0,291225000.0,-82544000.0,208681000.0,1053437000.0,49800000.0,49762000.0,67328000.0
ADS,2013,Q2,2.37,2.37,0.0,1.71,69274000.0,116440000.0,116440000.0,0.0,116440000.0,0.0,619285000.0,990149000.0,0.0,0.0,0.0,28255000.0,619285000.0,408807000.0,83466000.0,139627000.0,269180000.0,-83466000.0,185714000.0,1028092000.0,49100000.0,49123000.0,68167000.0
ADS,2013,Q3,2.73,2.73,0.0,2.01,81875000.0,132878000.0,132878000.0,0.0,132878000.0,0.0,628386000.0,1058797000.0,0.0,0.0,0.0,33845000.0,628386000.0,468061000.0,74015000.0,179293000.0,288768000.0,-74015000.0,214753000.0,1096447000.0,48700000.0,48710000.0,66019000.0
ADS,2013,Q4,2.4,2.4,0.0,1.78,66391000.0,117873000.0,117873000.0,0.0,117873000.0,0.0,681066000.0,1097908000.0,0.0,0.0,0.0,24723000.0,681066000.0,460021000.0,65475000.0,210282000.0,249739000.0,-65475000.0,184264000.0,1141087000.0,49200000.0,49190000.0,66866000.0
ADS,2013,FY,10.09,10.09,0.0,7.42,297242000.0,496170000.0,496170000.0,0.0,496170000.0,0.0,2549159000.0,4162224000.0,0.0,0.0,0.0,109115000.0,2549159000.0,1769904000.0,305500000.0,670992000.0,1098912000.0,-305500000.0,793412000.0,4319063000.0,49200000.0,49190000.0,66866000.0
