ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
AET,2009,Q1,0.97,0.97,0.0,0.95,231100000.0,437800000.0,437800000.0,0.0,437800000.0,0.0,6307500000.0,8614700000.0,0.0,0.0,0.0,1552300000.0,6307500000.0,2307200000.0,61500000.0,1576800000.0,730400000.0,-61500000.0,668900000.0,8614700000.0,451300000.0,451300000.0,460800000.0
AET,2009,Q2,0.78,0.78,0.0,0.77,168800000.0,346600000.0,346600000.0,0.0,346600000.0,0.0,6606200000.0,8670800000.0,0.0,0.0,0.0,1464000000.0,6606200000.0,2064600000.0,60700000.0,1488500000.0,576100000.0,-60700000.0,515400000.0,8670800000.0,442800000.0,442800000.0,442800000.0
AET,2009,Q3,0.75,0.75,0.0,0.73,152100000.0,326200000.0,326200000.0,0.0,326200000.0,0.0,6584100000.0,8722400000.0,0.0,0.0,0.0,1575500000.0,6584100000.0,2138300000.0,60600000.0,1599400000.0,538900000.0,-60600000.0,478300000.0,8722400000.0,436000000.0,436000000.0,436000000.0
AET,2009,Q4,0.39,0.39,0.0,0.39,72700000.0,165900000.0,165900000.0,0.0,165900000.0,0.0,6641500000.0,8756200000.0,0.0,0.0,0.0,1791200000.0,6641500000.0,2114700000.0,60600000.0,1815500000.0,299200000.0,-60600000.0,238600000.0,8756200000.0,441100000.0,441100000.0,441100000.0
AET,2009,FY,2.89,2.89,0.0,2.84,624700000.0,1276500000.0,1276500000.0,0.0,1276500000.0,0.0,26139300000.0,34764100000.0,0.0,0.0,0.0,6383000000.0,26139300000.0,8624800000.0,243400000.0,6480200000.0,2144600000.0,-243400000.0,1901200000.0,34764100000.0,441100000.0,441100000.0,441100000.0
AET,2010,Q1,1.3,1.3,0.0,1.28,238400000.0,562600000.0,562600000.0,0.0,562600000.0,0.0,6218000000.0,8621500000.0,0.0,0.0,0.0,1517200000.0,6218000000.0,2403500000.0,60900000.0,1541600000.0,861900000.0,-60900000.0,801000000.0,8621500000.0,431400000.0,431400000.0,431400000.0
AET,2010,Q2,1.16,1.16,0.0,1.14,272500000.0,491000000.0,491000000.0,0.0,491000000.0,0.0,6139300000.0,8545800000.0,0.0,0.0,0.0,1558100000.0,6139300000.0,2406500000.0,60700000.0,1582300000.0,824200000.0,-60700000.0,763500000.0,8545800000.0,423000000.0,423000000.0,423000000.0
AET,2010,Q3,1.21,1.21,0.0,1.19,269600000.0,497600000.0,497600000.0,0.0,497600000.0,0.0,6130200000.0,8538800000.0,0.0,0.0,0.0,1554100000.0,6130200000.0,2408600000.0,63900000.0,1577500000.0,831100000.0,-63900000.0,767200000.0,8538800000.0,412700000.0,412700000.0,412700000.0
AET,2010,Q4,0.58,0.58,0.0,0.57,96900000.0,215600000.0,215600000.0,0.0,215600000.0,0.0,6245500000.0,8539900000.0,0.0,0.0,0.0,1889600000.0,6245500000.0,2294400000.0,69100000.0,1912800000.0,381600000.0,-69100000.0,312500000.0,8539900000.0,415700000.0,415700000.0,415700000.0
AET,2010,FY,4.25,4.25,0.0,4.18,877400000.0,1766800000.0,1766800000.0,0.0,1766800000.0,0.0,24733000000.0,34246000000.0,0.0,0.0,0.0,6519000000.0,24733000000.0,9513000000.0,254600000.0,6614200000.0,2898800000.0,-254600000.0,2644200000.0,34246000000.0,415700000.0,415700000.0,415700000.0
AET,2011,Q1,1.53,1.53,0.0,1.5,312400000.0,586000000.0,586000000.0,0.0,586000000.0,0.0,5833500000.0,8387800000.0,0.0,0.0,0.0,1563500000.0,5833500000.0,2554300000.0,66100000.0,1589800000.0,964500000.0,-66100000.0,898400000.0,8387800000.0,383500000.0,383500000.0,383500000.0
AET,2011,Q2,1.42,1.42,0.0,1.39,284400000.0,536700000.0,536700000.0,0.0,536700000.0,0.0,5844500000.0,8344400000.0,0.0,0.0,0.0,1591700000.0,5844500000.0,2499900000.0,61500000.0,1617300000.0,882600000.0,-61500000.0,821100000.0,8344400000.0,379200000.0,379200000.0,379200000.0
AET,2011,Q3,1.33,1.33,0.0,1.3,261000000.0,490400000.0,490400000.0,0.0,490400000.0,0.0,5816200000.0,8475300000.0,0.0,0.0,0.0,1816300000.0,5816200000.0,2659100000.0,59700000.0,1848000000.0,811100000.0,-59700000.0,751400000.0,8475300000.0,369200000.0,369200000.0,369200000.0
AET,2011,Q4,1.05,1.05,0.0,1.03,234300000.0,373800000.0,373800000.0,0.0,372600000.0,1200000.0,6037000000.0,8574700000.0,0.0,0.0,0.0,1832900000.0,6037000000.0,2537700000.0,59600000.0,1870000000.0,667700000.0,-59600000.0,608100000.0,8574700000.0,372500000.0,372500000.0,372500000.0
AET,2011,FY,5.33,5.33,0.0,5.22,1092100000.0,1986900000.0,1986900000.0,0.0,1985700000.0,1200000.0,23531200000.0,33782200000.0,0.0,0.0,0.0,6804400000.0,23531200000.0,10251000000.0,246900000.0,6925100000.0,3325900000.0,-246900000.0,3079000000.0,33782200000.0,372500000.0,372500000.0,372500000.0
AET,2012,Q1,1.46,1.46,0.0,1.43,273300000.0,511600000.0,511600000.0,0.0,511000000.0,600000.0,6369000000.0,8917000000.0,0.0,0.0,0.0,1666000000.0,6369000000.0,2548000000.0,59300000.0,1703800000.0,844200000.0,-59300000.0,784900000.0,8917000000.0,350300000.0,350300000.0,350300000.0
AET,2012,Q2,1.34,1.34,0.0,1.32,238100000.0,458000000.0,458000000.0,0.0,457600000.0,400000.0,6392000000.0,8835900000.0,0.0,0.0,0.0,1646400000.0,6392000000.0,2443900000.0,64400000.0,1683400000.0,760500000.0,-64400000.0,696100000.0,8835900000.0,341700000.0,341700000.0,341700000.0
AET,2012,Q3,1.49,1.49,0.0,1.47,275100000.0,499600000.0,499600000.0,0.0,499200000.0,400000.0,6365000000.0,8917300000.0,0.0,0.0,0.0,1639600000.0,6365000000.0,2552300000.0,103900000.0,1673700000.0,878600000.0,-103900000.0,774700000.0,8917300000.0,334800000.0,334800000.0,334800000.0
AET,2012,Q4,0.58,0.58,0.0,0.59,101000000.0,190600000.0,190600000.0,0.0,190100000.0,500000.0,7554400000.0,9929600000.0,0.0,0.0,0.0,1924400000.0,7554400000.0,2375200000.0,126100000.0,1957500000.0,417700000.0,-126100000.0,291600000.0,9929600000.0,340100000.0,340100000.0,340100000.0
AET,2012,FY,4.87,4.87,0.0,4.81,887500000.0,1659800000.0,1659800000.0,0.0,1657900000.0,1900000.0,26680400000.0,36599800000.0,0.0,0.0,0.0,6876400000.0,26680400000.0,9919400000.0,353700000.0,7018400000.0,2901000000.0,-353700000.0,2547300000.0,36599800000.0,340100000.0,340100000.0,340100000.0
AET,2013,Q1,1.5,1.5,0.0,1.48,259800000.0,490900000.0,490900000.0,0.0,490100000.0,800000.0,6938800000.0,9538900000.0,0.0,0.0,0.0,1739200000.0,6938800000.0,2600100000.0,77800000.0,1771600000.0,828500000.0,-77800000.0,750700000.0,9538900000.0,327600000.0,327600000.0,327600000.0
AET,2013,Q2,1.5,1.5,0.0,1.49,314500000.0,533200000.0,533200000.0,0.0,536000000.0,-2800000.0,8546000000.0,11537400000.0,0.0,0.0,0.0,2094400000.0,8546000000.0,2991400000.0,83500000.0,2060200000.0,931200000.0,-83500000.0,847700000.0,11537400000.0,356200000.0,356200000.0,356200000.0
AET,2013,Q3,1.4,1.4,0.0,1.38,287700000.0,519000000.0,519000000.0,0.0,518600000.0,400000.0,9773000000.0,13035600000.0,0.0,0.0,0.0,2304500000.0,9773000000.0,3262600000.0,86100000.0,2369800000.0,892800000.0,-86100000.0,806700000.0,13035600000.0,371100000.0,371100000.0,371100000.0
AET,2013,Q4,0.98,0.98,0.0,0.98,166600000.0,368800000.0,368800000.0,0.0,368900000.0,-100000.0,9988600000.0,13182700000.0,0.0,0.0,0.0,2507300000.0,9988600000.0,3194100000.0,86300000.0,2572400000.0,621700000.0,-86300000.0,535400000.0,13182700000.0,355400000.0,355400000.0,355400000.0
AET,2013,FY,5.38,5.38,0.0,5.33,1028600000.0,1911900000.0,1911900000.0,0.0,1913600000.0,-1700000.0,35246400000.0,47294600000.0,0.0,0.0,0.0,8645400000.0,35246400000.0,12048200000.0,333700000.0,8774000000.0,3274200000.0,-333700000.0,2940500000.0,47294600000.0,355400000.0,355400000.0,355400000.0
AET,2014,Q1,1.84,1.84,0.0,1.82,480300000.0,669400000.0,669400000.0,0.0,665500000.0,3900000.0,10155000000.0,13994800000.0,0.0,0.0,0.0,2450400000.0,10155000000.0,3839800000.0,177500000.0,2512600000.0,1327200000.0,-177500000.0,1149700000.0,13994800000.0,361600000.0,361600000.0,361600000.0
AET,2014,Q2,1.54,1.54,0.0,1.52,377400000.0,547200000.0,547200000.0,0.0,548800000.0,-1600000.0,10840400000.0,14509400000.0,0.0,0.0,0.0,2601200000.0,10840400000.0,3669000000.0,81300000.0,2663100000.0,1005900000.0,-81300000.0,924600000.0,14509400000.0,356800000.0,356800000.0,356800000.0
AET,2014,Q3,1.68,1.68,0.0,1.67,398100000.0,598800000.0,598800000.0,0.0,594500000.0,4300000.0,10876100000.0,14727800000.0,0.0,0.0,0.0,2714700000.0,10876100000.0,3851700000.0,80600000.0,2774200000.0,1077500000.0,-80600000.0,996900000.0,14727800000.0,353200000.0,353200000.0,353200000.0
AET,2014,Q4,0.68,0.68,0.0,0.67,199200000.0,229600000.0,229600000.0,0.0,232200000.0,-2600000.0,11040500000.0,14771000000.0,0.0,0.0,0.0,3066700000.0,11040500000.0,3730500000.0,175600000.0,3126100000.0,604400000.0,-175600000.0,428800000.0,14771000000.0,355500000.0,355500000.0,355500000.0
AET,2014,FY,5.74,5.74,0.0,5.68,1455000000.0,2045000000.0,2045000000.0,0.0,2041000000.0,4000000.0,42912000000.0,58003000000.0,0.0,0.0,0.0,10833000000.0,42912000000.0,15091000000.0,515000000.0,11076000000.0,4015000000.0,-515000000.0,3500000000.0,58003000000.0,355500000.0,355500000.0,355500000.0
AET,2015,Q1,2.22,2.22,0.0,2.2,590300000.0,776300000.0,776300000.0,0.0,777500000.0,-1200000.0,10768600000.0,15094100000.0,0.0,0.0,0.0,2815500000.0,10768600000.0,4325500000.0,80200000.0,2878700000.0,1446800000.0,-80200000.0,1366600000.0,15094100000.0,349500000.0,349500000.0,349500000.0
AET,2015,Q2,2.1,2.1,0.0,2.08,527000000.0,734600000.0,734600000.0,0.0,731800000.0,2800000.0,11035500000.0,15240900000.0,0.0,0.0,0.0,2800500000.0,11035500000.0,4205400000.0,79600000.0,2864200000.0,1341200000.0,-79600000.0,1261600000.0,15240900000.0,349000000.0,349000000.0,349000000.0
