ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
AKAM,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAM,2009,Q2,0.21,0.21,0.0,0.19,22025000.0,36007000.0,36007000.0,0.0,36007000.0,0.0,60009000.0,204600000.0,0.0,184000.0,0.0,35144000.0,60009000.0,144591000.0,710000.0,90197000.0,54394000.0,3638000.0,58032000.0,204600000.0,171500000.0,172561000.0,189556000.0
AKAM,2009,Q3,0.19,0.19,0.0,0.18,20148000.0,32745000.0,32745000.0,0.0,32745000.0,0.0,61987000.0,206500000.0,0.0,-659000.0,0.0,34655000.0,61987000.0,144513000.0,710000.0,93768000.0,50745000.0,2148000.0,52893000.0,206500000.0,172300000.0,171686000.0,188273000.0
AKAM,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAM,2009,FY,0.85,0.85,0.0,0.78,91319000.0,145913000.0,145913000.0,0.0,145913000.0,0.0,249938000.0,859773000.0,0.0,163000.0,0.0,146100000.0,249938000.0,609835000.0,2839000.0,386355000.0,223480000.0,13752000.0,237232000.0,859773000.0,171700000.0,171425000.0,188658000.0
AKAM,2010,Q1,0.24,0.24,0.0,0.22,27759000.0,40878000.0,40878000.0,0.0,40878000.0,0.0,67474000.0,240029000.0,0.0,-75000.0,0.0,39550000.0,67474000.0,172555000.0,709000.0,106505000.0,66050000.0,2587000.0,68637000.0,240029000.0,170300000.0,171101000.0,189013000.0
AKAM,2010,Q2,0.22,0.22,0.0,0.2,21315000.0,38123000.0,38123000.0,0.0,38123000.0,0.0,71840000.0,245318000.0,0.0,122000.0,0.0,43707000.0,71840000.0,173478000.0,912000.0,116639000.0,56839000.0,2599000.0,59438000.0,245318000.0,173300000.0,173317000.0,190479000.0
AKAM,2010,Q3,0.22,0.22,0.0,0.21,20603000.0,39709000.0,39709000.0,0.0,39709000.0,0.0,77812000.0,253551000.0,0.0,-1366000.0,0.0,42729000.0,77812000.0,175739000.0,222000.0,116667000.0,59042000.0,1270000.0,60312000.0,253551000.0,180500000.0,181457000.0,191271000.0
AKAM,2010,Q4,0.29,0.29,0.0,0.27,21475000.0,52510000.0,52510000.0,0.0,52510000.0,0.0,86277000.0,284688000.0,0.0,-1149000.0,0.0,108023000.0,86277000.0,198411000.0,153000.0,126095000.0,72346000.0,1639000.0,73985000.0,284688000.0,176500000.0,177309000.0,190650000.0
AKAM,2010,FY,0.97,0.97,0.0,0.9,91152000.0,171220000.0,171220000.0,0.0,171220000.0,0.0,303403000.0,1023586000.0,0.0,-2468000.0,0.0,167779000.0,303403000.0,720183000.0,1996000.0,465906000.0,254277000.0,8095000.0,262372000.0,1023586000.0,176500000.0,177309000.0,190650000.0
AKAM,2011,Q1,0.27,0.27,0.0,0.26,24056000.0,50617000.0,50617000.0,0.0,50617000.0,0.0,89068000.0,275953000.0,0.0,-1035000.0,0.0,43901000.0,89068000.0,186885000.0,0.0,114137000.0,72748000.0,1925000.0,74673000.0,275953000.0,187500000.0,186849000.0,191383000.0
AKAM,2011,Q2,0.26,0.26,0.0,0.25,28300000.0,47921000.0,47921000.0,0.0,47921000.0,0.0,89647000.0,276989000.0,0.0,-107000.0,0.0,45975000.0,89647000.0,187342000.0,0.0,114110000.0,73232000.0,2989000.0,76221000.0,276989000.0,184300000.0,186612000.0,190179000.0
AKAM,2011,Q3,0.23,0.23,0.0,0.23,25862000.0,42285000.0,42285000.0,0.0,42285000.0,0.0,93284000.0,281856000.0,0.0,-188000.0,0.0,50834000.0,93284000.0,188572000.0,0.0,123239000.0,65333000.0,2814000.0,68147000.0,281856000.0,183800000.0,183085000.0,185704000.0
AKAM,2011,Q4,0.33,0.33,0.0,0.33,28073000.0,60081000.0,60081000.0,0.0,60081000.0,0.0,181706000.0,323740000.0,0.0,7455000.0,0.0,38463000.0,181706000.0,142034000.0,0.0,62698000.0,79336000.0,8818000.0,88154000.0,323740000.0,184300000.0,183866000.0,187556000.0
AKAM,2011,FY,1.09,1.09,0.0,1.07,106291000.0,200904000.0,200904000.0,0.0,200904000.0,0.0,453705000.0,1158538000.0,0.0,6125000.0,0.0,176878000.0,453705000.0,704833000.0,0.0,414184000.0,290649000.0,16546000.0,307195000.0,1158538000.0,184300000.0,183866000.0,187556000.0
AKAM,2012,Q1,0.24,0.24,0.0,0.24,29557000.0,43227000.0,43227000.0,0.0,43227000.0,0.0,124925000.0,319448000.0,0.0,-441000.0,0.0,51642000.0,124925000.0,194523000.0,0.0,122944000.0,71579000.0,1205000.0,72784000.0,319448000.0,180100000.0,178120000.0,182342000.0
AKAM,2012,Q2,0.25,0.25,0.0,0.24,25529000.0,44239000.0,44239000.0,0.0,44239000.0,0.0,131260000.0,331306000.0,0.0,1131000.0,0.0,53596000.0,131260000.0,200046000.0,0.0,133035000.0,67011000.0,2757000.0,69768000.0,331306000.0,177000000.0,178547000.0,181817000.0
AKAM,2012,Q3,0.27,0.27,0.0,0.27,33280000.0,48231000.0,48231000.0,0.0,48231000.0,0.0,134221000.0,345321000.0,0.0,-241000.0,0.0,51003000.0,134221000.0,211100000.0,0.0,130941000.0,80159000.0,1352000.0,81511000.0,345321000.0,178600000.0,177455000.0,181053000.0
AKAM,2012,Q4,0.39,0.39,0.0,0.37,29236000.0,68292000.0,68292000.0,0.0,68292000.0,0.0,139494000.0,377872000.0,0.0,200000.0,0.0,116526000.0,139494000.0,238378000.0,0.0,142640000.0,95738000.0,1790000.0,97528000.0,377872000.0,177400000.0,177900000.0,181749000.0
AKAM,2012,FY,1.15,1.15,0.0,1.12,117602000.0,203989000.0,203989000.0,0.0,203989000.0,0.0,529900000.0,1373947000.0,0.0,649000.0,0.0,210100000.0,529900000.0,844047000.0,0.0,529560000.0,314487000.0,7104000.0,321591000.0,1373947000.0,177400000.0,177900000.0,181749000.0
AKAM,2013,Q1,0.4,0.4,0.0,0.39,31177000.0,71487000.0,71487000.0,0.0,71487000.0,0.0,120392000.0,368046000.0,0.0,-132000.0,0.0,55380000.0,120392000.0,247654000.0,0.0,146466000.0,101188000.0,1476000.0,102664000.0,368046000.0,178700000.0,177899000.0,181562000.0
AKAM,2013,Q2,0.35,0.35,0.0,0.34,37426000.0,61895000.0,61895000.0,0.0,61895000.0,0.0,124705000.0,378106000.0,0.0,341000.0,0.0,61351000.0,124705000.0,253401000.0,0.0,155898000.0,97503000.0,1818000.0,99321000.0,378106000.0,176800000.0,177891000.0,181388000.0
AKAM,2013,Q3,0.45,0.45,0.0,0.44,20918000.0,79756000.0,79756000.0,0.0,79756000.0,0.0,132039000.0,395790000.0,0.0,-305000.0,0.0,66634000.0,132039000.0,263751000.0,0.0,164230000.0,99521000.0,1153000.0,100674000.0,395790000.0,177200000.0,178235000.0,181922000.0
AKAM,2013,Q4,0.45,0.45,0.0,0.44,36546000.0,80349000.0,80349000.0,0.0,80349000.0,0.0,133951000.0,435980000.0,0.0,-395000.0,0.0,153907000.0,133951000.0,302029000.0,0.0,186273000.0,115756000.0,1139000.0,116895000.0,435980000.0,177900000.0,178196000.0,181783000.0
AKAM,2013,FY,1.65,1.65,0.0,1.61,126067000.0,293487000.0,293487000.0,0.0,293487000.0,0.0,511087000.0,1577922000.0,0.0,-491000.0,0.0,255218000.0,511087000.0,1066835000.0,0.0,652867000.0,413968000.0,5586000.0,419554000.0,1577922000.0,177900000.0,178196000.0,181783000.0
AKAM,2014,Q1,0.41,0.41,0.0,0.4,46864000.0,72800000.0,72800000.0,0.0,72800000.0,0.0,139612000.0,453502000.0,0.0,-881000.0,0.0,76161000.0,139612000.0,313890000.0,1941000.0,193043000.0,120847000.0,-1183000.0,119664000.0,453502000.0,177600000.0,178705000.0,182038000.0
AKAM,2014,Q2,0.41,0.41,0.0,0.4,35790000.0,72886000.0,72886000.0,0.0,72886000.0,0.0,149318000.0,476035000.0,0.0,-899000.0,0.0,81880000.0,149318000.0,326717000.0,4516000.0,214366000.0,112351000.0,-3675000.0,108676000.0,476035000.0,177800000.0,178081000.0,180841000.0
AKAM,2014,Q3,0.51,0.51,0.0,0.5,26424000.0,91155000.0,91155000.0,0.0,91155000.0,0.0,158812000.0,498042000.0,0.0,-188000.0,0.0,81905000.0,158812000.0,339230000.0,4482000.0,218991000.0,120239000.0,-2660000.0,117579000.0,498042000.0,178700000.0,178186000.0,180955000.0
