ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
ALGN,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALGN,2009,Q2,0.07,0.07,0.0,0.07,2265000.0,4545000.0,4545000.0,0.0,4545000.0,0.0,18338000.0,71388000.0,0.0,557000.0,0.0,16539000.0,18338000.0,57978000.0,0.0,51725000.0,6253000.0,557000.0,6810000.0,76316000.0,64900000.0,66285000.0,67373000.0
ALGN,2009,Q3,-0.72,-0.72,0.0,-0.72,-10523000.0,-49942000.0,-49942000.0,0.0,-49942000.0,0.0,20268000.0,75092000.0,0.0,-271000.0,0.0,16224000.0,20268000.0,59001000.0,0.0,119195000.0,-60194000.0,-271000.0,-60465000.0,79269000.0,69400000.0,69528000.0,69528000.0
ALGN,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALGN,2009,FY,-0.45,-0.45,0.0,-0.45,-2624000.0,-31269000.0,-31269000.0,0.0,-31269000.0,0.0,78841000.0,312333000.0,0.0,-375000.0,0.0,61718000.0,78841000.0,233492000.0,85000.0,267504000.0,-34012000.0,119000.0,-33893000.0,312333000.0,69500000.0,69094000.0,69094000.0
ALGN,2010,Q1,0.2,0.2,0.0,0.19,5214000.0,14930000.0,14930000.0,0.0,14930000.0,0.0,20380000.0,85422000.0,0.0,-553000.0,0.0,14951000.0,20380000.0,69710000.0,0.0,49013000.0,20697000.0,-553000.0,20144000.0,90090000.0,74700000.0,75166000.0,77597000.0
ALGN,2010,Q2,0.43,0.43,0.0,0.42,12897000.0,32603000.0,32603000.0,0.0,32603000.0,0.0,21178000.0,108196000.0,0.0,156000.0,0.0,15005000.0,21178000.0,87018000.0,0.0,41674000.0,45344000.0,156000.0,45500000.0,108196000.0,75800000.0,75703000.0,77607000.0
ALGN,2010,Q3,0.22,0.22,0.0,0.22,5025000.0,16815000.0,16815000.0,0.0,16815000.0,0.0,21014000.0,95947000.0,0.0,-83000.0,0.0,16203000.0,21014000.0,74933000.0,0.0,53010000.0,21923000.0,-83000.0,21840000.0,95947000.0,76400000.0,76081000.0,78109000.0
ALGN,2010,Q4,0.13,0.13,0.0,0.12,4614000.0,9905000.0,9905000.0,0.0,9905000.0,0.0,21137000.0,97561000.0,0.0,-806000.0,0.0,48854000.0,21137000.0,71756000.0,0.0,56986000.0,14770000.0,-251000.0,14519000.0,92893000.0,75800000.0,75825000.0,78080000.0
ALGN,2010,FY,0.98,0.98,0.0,0.95,27750000.0,74253000.0,74253000.0,0.0,74253000.0,0.0,83709000.0,387126000.0,0.0,-1286000.0,0.0,64790000.0,83709000.0,303417000.0,0.0,200683000.0,102734000.0,-731000.0,102003000.0,387126000.0,75800000.0,75825000.0,78080000.0
