ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
ALL,2009,Q1,-0.51,-0.51,0.2,-0.51,143000000.0,-274000000.0,-274000000.0,0.0,-274000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88000000.0,0.0,0.0,0.0,-131000000.0,7798000000.0,537300000.0,538900000.0,538900000.0
ALL,2009,Q2,0.72,0.72,0.2,0.72,72000000.0,389000000.0,389000000.0,0.0,389000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97000000.0,0.0,0.0,0.0,461000000.0,8394000000.0,540300000.0,539800000.0,540600000.0
ALL,2009,Q3,0.41,0.41,0.2,0.41,4000000.0,221000000.0,221000000.0,0.0,221000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106000000.0,0.0,0.0,0.0,225000000.0,7478000000.0,539000000.0,539900000.0,541500000.0
ALL,2009,Q4,0.96,0.96,0.2,0.96,175000000.0,518000000.0,518000000.0,0.0,518000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101000000.0,0.0,0.0,0.0,693000000.0,7958000000.0,540500000.0,539600000.0,540900000.0
ALL,2009,FY,1.58,1.58,0.8,1.58,394000000.0,854000000.0,854000000.0,0.0,854000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392000000.0,0.0,0.0,0.0,1248000000.0,31628000000.0,540500000.0,539600000.0,540900000.0
ALL,2010,Q1,0.22,0.22,0.2,0.22,-13000000.0,120000000.0,120000000.0,0.0,120000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92000000.0,0.0,0.0,0.0,107000000.0,7658000000.0,545500000.0,540500000.0,541800000.0
ALL,2010,Q2,0.27,0.27,0.2,0.27,21000000.0,145000000.0,145000000.0,0.0,145000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92000000.0,0.0,0.0,0.0,166000000.0,7566000000.0,537000000.0,540700000.0,543000000.0
ALL,2010,Q3,0.68,0.68,0.2,0.68,123000000.0,367000000.0,367000000.0,0.0,367000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91000000.0,0.0,0.0,0.0,490000000.0,7826000000.0,539700000.0,540900000.0,543000000.0
ALL,2010,Q4,0.52,0.52,0.2,0.51,58000000.0,279000000.0,279000000.0,0.0,279000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92000000.0,0.0,0.0,0.0,337000000.0,8002000000.0,539100000.0,540300000.0,542500000.0
ALL,2010,FY,1.69,1.69,0.8,1.68,189000000.0,911000000.0,911000000.0,0.0,911000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367000000.0,0.0,0.0,0.0,1100000000.0,31052000000.0,539100000.0,540300000.0,542500000.0
