ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
AMGN,2009,Q1,0.99,0.99,0.0,0.98,213000000.0,1019000000.0,1019000000.0,0.0,1019000000.0,0.0,477000000.0,3238000000.0,0.0,58000000.0,0.0,803000000.0,477000000.0,2831000000.0,147000000.0,1510000000.0,1321000000.0,-89000000.0,1232000000.0,3308000000.0,1029300000.0,1032000000.0,1037000000.0
AMGN,2009,Q2,1.25,1.25,0.0,1.25,88000000.0,1269000000.0,1269000000.0,0.0,1269000000.0,0.0,531000000.0,3634000000.0,0.0,50000000.0,0.0,959000000.0,531000000.0,3182000000.0,150000000.0,1725000000.0,1457000000.0,-100000000.0,1357000000.0,3713000000.0,1015200000.0,1013000000.0,1017000000.0
AMGN,2009,Q3,1.36,1.36,0.0,1.36,154000000.0,1386000000.0,1386000000.0,0.0,1386000000.0,0.0,545000000.0,3736000000.0,0.0,74000000.0,0.0,941000000.0,545000000.0,3267000000.0,139000000.0,1662000000.0,1605000000.0,-65000000.0,1540000000.0,3812000000.0,1019100000.0,1016000000.0,1022000000.0
AMGN,2009,Q4,0.93,0.93,0.0,0.92,144000000.0,931000000.0,931000000.0,0.0,931000000.0,0.0,538000000.0,3743000000.0,0.0,94000000.0,0.0,1184000000.0,538000000.0,3271000000.0,142000000.0,2148000000.0,1123000000.0,-48000000.0,1075000000.0,3809000000.0,1016600000.0,1016000000.0,1021000000.0
AMGN,2009,FY,4.53,4.53,0.0,4.51,599000000.0,4605000000.0,4605000000.0,0.0,4605000000.0,0.0,2091000000.0,14351000000.0,0.0,276000000.0,0.0,3887000000.0,2091000000.0,12551000000.0,578000000.0,7045000000.0,5506000000.0,-302000000.0,5204000000.0,14642000000.0,1016600000.0,1016000000.0,1021000000.0
AMGN,2010,Q1,1.19,1.19,0.0,1.18,253000000.0,1167000000.0,1167000000.0,0.0,1167000000.0,0.0,508000000.0,3528000000.0,0.0,84000000.0,0.0,883000000.0,508000000.0,3084000000.0,145000000.0,1603000000.0,1481000000.0,-61000000.0,1420000000.0,3592000000.0,980700000.0,982000000.0,988000000.0
AMGN,2010,Q2,1.25,1.25,0.0,1.25,262000000.0,1202000000.0,1202000000.0,0.0,1202000000.0,0.0,553000000.0,3613000000.0,0.0,94000000.0,0.0,986000000.0,553000000.0,3251000000.0,147000000.0,1734000000.0,1517000000.0,-53000000.0,1464000000.0,3804000000.0,961600000.0,959000000.0,964000000.0
AMGN,2010,Q3,1.29,1.29,0.0,1.28,198000000.0,1236000000.0,1236000000.0,0.0,1236000000.0,0.0,587000000.0,3759000000.0,0.0,105000000.0,0.0,957000000.0,587000000.0,3229000000.0,150000000.0,1750000000.0,1479000000.0,-45000000.0,1434000000.0,3816000000.0,958100000.0,958000000.0,962000000.0
AMGN,2010,Q4,1.09,1.09,0.0,1.08,-23000000.0,1022000000.0,1022000000.0,0.0,1022000000.0,0.0,572000000.0,3760000000.0,0.0,93000000.0,0.0,1274000000.0,572000000.0,3269000000.0,162000000.0,2201000000.0,1068000000.0,-69000000.0,999000000.0,3841000000.0,960000000.0,960000000.0,965000000.0
AMGN,2010,FY,4.82,4.82,0.0,4.79,690000000.0,4627000000.0,4627000000.0,0.0,4627000000.0,0.0,2220000000.0,14660000000.0,0.0,376000000.0,0.0,4100000000.0,2220000000.0,12833000000.0,604000000.0,7288000000.0,5545000000.0,-228000000.0,5317000000.0,15053000000.0,960000000.0,960000000.0,965000000.0
AMGN,2011,Q1,1.21,1.21,0.0,1.2,181000000.0,1125000000.0,1125000000.0,0.0,1125000000.0,0.0,564000000.0,3618000000.0,0.0,148000000.0,0.0,1039000000.0,564000000.0,3142000000.0,135000000.0,1849000000.0,1293000000.0,13000000.0,1306000000.0,3706000000.0,929800000.0,933000000.0,941000000.0
AMGN,2011,Q2,1.26,1.26,0.0,1.25,169000000.0,1170000000.0,1170000000.0,0.0,1170000000.0,0.0,602000000.0,3893000000.0,0.0,129000000.0,0.0,1133000000.0,602000000.0,3357000000.0,122000000.0,2025000000.0,1332000000.0,7000000.0,1339000000.0,3959000000.0,928600000.0,927000000.0,935000000.0
AMGN,2011,Q3,0.5,0.5,0.28,0.5,0.0,454000000.0,454000000.0,0.0,454000000.0,0.0,605000000.0,3877000000.0,0.0,87000000.0,0.0,1979000000.0,605000000.0,3339000000.0,158000000.0,2814000000.0,525000000.0,-71000000.0,454000000.0,3944000000.0,908000000.0,907000000.0,914000000.0
AMGN,2011,Q4,1.1,1.1,-0.28,1.09,117000000.0,934000000.0,934000000.0,0.0,934000000.0,0.0,937000000.0,3907000000.0,0.0,84000000.0,0.0,1244000000.0,937000000.0,3036000000.0,195000000.0,1874000000.0,1162000000.0,-111000000.0,1051000000.0,3973000000.0,904900000.0,905000000.0,912000000.0
AMGN,2011,FY,4.07,4.07,0.0,4.04,467000000.0,3683000000.0,3683000000.0,0.0,3683000000.0,0.0,2708000000.0,15295000000.0,0.0,448000000.0,0.0,5395000000.0,2708000000.0,12874000000.0,610000000.0,8562000000.0,4312000000.0,-162000000.0,4150000000.0,15582000000.0,904900000.0,905000000.0,912000000.0
AMGN,2012,Q1,1.5,1.5,0.36,1.48,182000000.0,1184000000.0,1184000000.0,0.0,1184000000.0,0.0,750000000.0,3901000000.0,0.0,124000000.0,0.0,1085000000.0,750000000.0,3298000000.0,235000000.0,1821000000.0,1477000000.0,-111000000.0,1366000000.0,4048000000.0,789300000.0,791000000.0,800000000.0
AMGN,2012,Q2,1.63,1.63,0.36,1.61,191000000.0,1266000000.0,1266000000.0,0.0,1266000000.0,0.0,752000000.0,4200000000.0,0.0,124000000.0,0.0,1310000000.0,752000000.0,3725000000.0,256000000.0,2136000000.0,1589000000.0,-132000000.0,1457000000.0,4477000000.0,776700000.0,776000000.0,785000000.0
AMGN,2012,Q3,1.44,1.44,0.36,1.41,156000000.0,1107000000.0,1107000000.0,0.0,1107000000.0,0.0,775000000.0,4201000000.0,0.0,111000000.0,0.0,1241000000.0,775000000.0,3544000000.0,271000000.0,2121000000.0,1423000000.0,-160000000.0,1263000000.0,4319000000.0,768800000.0,771000000.0,783000000.0
AMGN,2012,Q4,1.04,1.04,-1.08,1.02,135000000.0,788000000.0,788000000.0,0.0,788000000.0,0.0,922000000.0,4337000000.0,0.0,126000000.0,0.0,1473000000.0,922000000.0,3499000000.0,291000000.0,2411000000.0,1088000000.0,-165000000.0,923000000.0,4421000000.0,774500000.0,775000000.0,787000000.0
AMGN,2012,FY,5.61,5.61,0.0,5.52,664000000.0,4345000000.0,4345000000.0,0.0,4345000000.0,0.0,3199000000.0,16639000000.0,0.0,485000000.0,0.0,5109000000.0,3199000000.0,14066000000.0,1053000000.0,8489000000.0,5577000000.0,-568000000.0,5009000000.0,17265000000.0,774500000.0,775000000.0,787000000.0
AMGN,2013,Q1,1.91,1.91,0.47,1.88,-91000000.0,1434000000.0,1434000000.0,0.0,1434000000.0,0.0,744000000.0,4151000000.0,0.0,164000000.0,0.0,1174000000.0,744000000.0,3494000000.0,263000000.0,2052000000.0,1442000000.0,-99000000.0,1343000000.0,4238000000.0,750800000.0,751000000.0,764000000.0
AMGN,2013,Q2,1.67,1.67,0.47,1.65,147000000.0,1258000000.0,1258000000.0,0.0,1258000000.0,0.0,785000000.0,4595000000.0,0.0,96000000.0,0.0,1377000000.0,785000000.0,3894000000.0,241000000.0,2344000000.0,1550000000.0,-145000000.0,1405000000.0,4679000000.0,753300000.0,752000000.0,764000000.0
AMGN,2013,Q3,1.81,1.81,0.47,1.79,135000000.0,1368000000.0,1368000000.0,0.0,1368000000.0,0.0,788000000.0,4647000000.0,0.0,72000000.0,0.0,1283000000.0,788000000.0,3960000000.0,257000000.0,2272000000.0,1688000000.0,-185000000.0,1503000000.0,4748000000.0,755800000.0,754000000.0,766000000.0
AMGN,2013,Q4,1.36,1.36,-1.41,1.32,-7000000.0,1021000000.0,1021000000.0,0.0,1021000000.0,0.0,1029000000.0,4799000000.0,0.0,88000000.0,0.0,1546000000.0,1029000000.0,3982000000.0,261000000.0,2795000000.0,1187000000.0,-173000000.0,1014000000.0,5011000000.0,752700000.0,753000000.0,765000000.0
AMGN,2013,FY,6.75,6.75,0.0,6.64,184000000.0,5081000000.0,5081000000.0,0.0,5081000000.0,0.0,3346000000.0,18192000000.0,0.0,420000000.0,0.0,5380000000.0,3346000000.0,15330000000.0,1022000000.0,9463000000.0,5867000000.0,-602000000.0,5265000000.0,18676000000.0,752700000.0,753000000.0,765000000.0
AMGN,2014,Q1,1.42,1.42,0.61,1.4,131000000.0,1073000000.0,1073000000.0,0.0,1073000000.0,0.0,1090000000.0,4356000000.0,0.0,99000000.0,0.0,1040000000.0,1090000000.0,3431000000.0,259000000.0,2067000000.0,1364000000.0,-160000000.0,1204000000.0,4521000000.0,755600000.0,757000000.0,768000000.0
AMGN,2014,Q2,2.04,2.04,0.61,2.01,211000000.0,1547000000.0,1547000000.0,0.0,1547000000.0,0.0,1081000000.0,4949000000.0,0.0,138000000.0,0.0,1179000000.0,1081000000.0,4099000000.0,282000000.0,2197000000.0,1902000000.0,-144000000.0,1758000000.0,5180000000.0,758300000.0,759000000.0,768000000.0
AMGN,2014,Q3,1.63,1.63,0.61,1.61,93000000.0,1244000000.0,1244000000.0,0.0,1244000000.0,0.0,1068000000.0,4848000000.0,0.0,140000000.0,0.0,1479000000.0,1068000000.0,3963000000.0,269000000.0,2497000000.0,1466000000.0,-129000000.0,1337000000.0,5031000000.0,763200000.0,761000000.0,771000000.0
AMGN,2014,Q4,1.71,1.71,-1.83,1.68,-8000000.0,1294000000.0,1294000000.0,0.0,1294000000.0,0.0,1183000000.0,5174000000.0,0.0,88000000.0,0.0,1455000000.0,1183000000.0,4148000000.0,261000000.0,2689000000.0,1459000000.0,-173000000.0,1286000000.0,5331000000.0,758500000.0,759000000.0,770000000.0
AMGN,2014,FY,6.8,6.8,0.0,6.7,427000000.0,5158000000.0,5158000000.0,0.0,5158000000.0,0.0,4422000000.0,19327000000.0,0.0,465000000.0,0.0,5153000000.0,4422000000.0,15641000000.0,1071000000.0,9450000000.0,6191000000.0,-606000000.0,5585000000.0,20063000000.0,758500000.0,759000000.0,770000000.0
AMGN,2015,Q1,2.13,2.13,0.79,2.11,253000000.0,1623000000.0,1623000000.0,0.0,1623000000.0,0.0,1033000000.0,4874000000.0,0.0,106000000.0,0.0,1084000000.0,1033000000.0,4000000000.0,252000000.0,1978000000.0,2022000000.0,-146000000.0,1876000000.0,5033000000.0,762000000.0,761000000.0,770000000.0
AMGN,2015,Q2,2.18,2.18,0.79,2.15,344000000.0,1653000000.0,1653000000.0,0.0,1653000000.0,0.0,1089000000.0,5225000000.0,0.0,198000000.0,0.0,1241000000.0,1089000000.0,4281000000.0,277000000.0,2205000000.0,2076000000.0,-79000000.0,1997000000.0,5370000000.0,758300000.0,760000000.0,768000000.0
AMGN,2015,Q3,2.46,2.46,0.79,2.44,329000000.0,1863000000.0,1863000000.0,0.0,1863000000.0,0.0,1034000000.0,5516000000.0,0.0,135000000.0,0.0,1231000000.0,1034000000.0,4689000000.0,282000000.0,2350000000.0,2339000000.0,-147000000.0,2192000000.0,5723000000.0,757300000.0,757000000.0,764000000.0
AMGN,2015,Q4,2.38,2.38,-2.37,2.36,113000000.0,1800000000.0,1800000000.0,0.0,1800000000.0,0.0,1071000000.0,5329000000.0,0.0,164000000.0,0.0,1339000000.0,1071000000.0,4465000000.0,284000000.0,2432000000.0,2033000000.0,-120000000.0,1913000000.0,5536000000.0,758400000.0,758000000.0,766000000.0
AMGN,2015,FY,9.15,9.15,0.0,9.06,1039000000.0,6939000000.0,6939000000.0,0.0,6939000000.0,0.0,4227000000.0,20944000000.0,0.0,603000000.0,0.0,4895000000.0,4227000000.0,17435000000.0,1095000000.0,8965000000.0,8470000000.0,-492000000.0,7978000000.0,21662000000.0,758400000.0,758000000.0,766000000.0
AMGN,2016,Q1,2.52,2.52,1.0,2.5,358000000.0,1900000000.0,1900000000.0,0.0,1900000000.0,0.0,1018000000.0,5239000000.0,0.0,150000000.0,0.0,1235000000.0,1018000000.0,4509000000.0,294000000.0,2107000000.0,2402000000.0,-144000000.0,2258000000.0,5527000000.0,754000000.0,753000000.0,760000000.0
AMGN,2016,Q2,2.49,2.49,1.0,2.47,334000000.0,1870000000.0,1870000000.0,0.0,1870000000.0,0.0,1050000000.0,5474000000.0,0.0,137000000.0,0.0,1358000000.0,1050000000.0,4638000000.0,313000000.0,2258000000.0,2380000000.0,-176000000.0,2204000000.0,5688000000.0,751000000.0,751000000.0,756000000.0
AMGN,2016,Q3,2.7,2.7,1.0,2.68,401000000.0,2017000000.0,2017000000.0,0.0,2017000000.0,0.0,1027000000.0,5516000000.0,0.0,216000000.0,0.0,1267000000.0,1027000000.0,4784000000.0,325000000.0,2257000000.0,2527000000.0,-109000000.0,2418000000.0,5811000000.0,747000000.0,747000000.0,753000000.0
AMGN,2016,Q4,2.61,2.61,-3.0,2.59,348000000.0,1935000000.0,1935000000.0,0.0,1935000000.0,0.0,1067000000.0,5663000000.0,0.0,126000000.0,0.0,1335000000.0,1067000000.0,4898000000.0,328000000.0,2413000000.0,2485000000.0,-202000000.0,2283000000.0,5965000000.0,748300000.0,748000000.0,754000000.0
AMGN,2016,FY,10.32,10.32,0.0,10.24,1441000000.0,7722000000.0,7722000000.0,0.0,7722000000.0,0.0,4162000000.0,21892000000.0,0.0,629000000.0,0.0,5195000000.0,4162000000.0,18829000000.0,1260000000.0,9035000000.0,9794000000.0,-631000000.0,9163000000.0,22991000000.0,748300000.0,748000000.0,754000000.0
AMGN,2017,Q1,2.81,2.81,1.15,2.79,389000000.0,2071000000.0,2071000000.0,0.0,2071000000.0,0.0,996000000.0,5199000000.0,0.0,195000000.0,0.0,1108000000.0,996000000.0,4468000000.0,326000000.0,1877000000.0,2591000000.0,-131000000.0,2460000000.0,5464000000.0,737000000.0,737000000.0,741000000.0
AMGN,2017,Q2,2.93,2.93,1.15,2.91,391000000.0,2151000000.0,2151000000.0,0.0,2151000000.0,0.0,1024000000.0,5574000000.0,0.0,165000000.0,0.0,1215000000.0,1024000000.0,4786000000.0,321000000.0,2088000000.0,2698000000.0,-156000000.0,2542000000.0,5810000000.0,734100000.0,734000000.0,738000000.0
AMGN,2017,Q3,2.78,2.78,1.15,2.76,360000000.0,2021000000.0,2021000000.0,0.0,2021000000.0,0.0,990000000.0,5453000000.0,0.0,267000000.0,0.0,1467000000.0,990000000.0,4783000000.0,325000000.0,2344000000.0,2439000000.0,-58000000.0,2381000000.0,5773000000.0,727000000.0,728000000.0,733000000.0
AMGN,2017,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMGN,2017,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
