ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
AMG,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMG,2009,Q2,0.26,0.26,0.0,0.26,4944000.0,56249000.0,56249000.0,0.0,10979000.0,45270000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61193000.0,208597000.0,42200000.0,41450659.0,43159140.0
AMG,2009,Q3,0.42,0.42,0.0,0.4,5366000.0,67860000.0,67860000.0,0.0,17769000.0,50091000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73226000.0,225664000.0,42300000.0,41854249.0,44267107.0
AMG,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMG,2009,FY,1.44,1.44,0.0,1.38,32800000.0,212900000.0,212900000.0,0.0,59500000.0,153400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245700000.0,873400000.0,41300000.0,41400000.0,43300000.0
AMG,2010,Q1,0.41,0.41,0.0,0.38,11900000.0,52800000.0,52800000.0,0.0,17500000.0,35300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64700000.0,260100000.0,42700000.0,42400000.0,45400000.0
AMG,2010,Q2,0.56,0.56,0.0,0.53,16900000.0,58200000.0,58200000.0,0.0,25200000.0,33000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75100000.0,342000000.0,45000000.0,44600000.0,47600000.0
AMG,2010,Q3,0.66,0.66,0.0,0.65,24000000.0,69000000.0,69000000.0,0.0,34000000.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93000000.0,363900000.0,51500000.0,51200000.0,51900000.0
AMG,2010,Q4,1.29,1.29,0.0,1.25,38700000.0,107300000.0,107300000.0,0.0,61900000.0,45400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146000000.0,469700000.0,47500000.0,47400000.0,49400000.0
AMG,2010,FY,2.92,2.92,0.0,2.81,91500000.0,287300000.0,287300000.0,0.0,138600000.0,148700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378800000.0,1435700000.0,47500000.0,47400000.0,49400000.0
AMG,2011,Q1,0.76,0.76,0.0,0.74,26700000.0,89400000.0,89400000.0,0.0,39100000.0,50300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8300000.0,0.0,0.0,0.0,116100000.0,428200000.0,51400000.0,51800000.0,53100000.0
