ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
APA,2009,Q1,-5.25,-5.25,0.15,-5.25,-696551000.0,-1756940000.0,-1756940000.0,0.0,-1758360000.0,0.0,430828000.0,1603614000.0,0.0,0.0,1420000.0,85046000.0,430828000.0,1202997000.0,58587000.0,3597901000.0,-2394904000.0,-58587000.0,-2453491000.0,1633825000.0,334900000.0,334900000.0,334900000.0
APA,2009,Q2,1.32,1.32,0.0,1.31,342063000.0,444720000.0,444720000.0,0.0,443300000.0,0.0,438752000.0,2074344000.0,0.0,0.0,1420000.0,90905000.0,438752000.0,1654626000.0,61155000.0,806688000.0,847938000.0,-61155000.0,786783000.0,2093378000.0,336000000.0,336000000.0,336000000.0
APA,2009,Q3,1.31,1.31,0.0,1.3,428590000.0,442016000.0,442016000.0,0.0,440596000.0,0.0,481767000.0,2325705000.0,0.0,0.0,1420000.0,82492000.0,481767000.0,1850664000.0,61684000.0,918374000.0,932290000.0,-61684000.0,870606000.0,2332431000.0,336159000.0,336159000.0,336159000.0
APA,2009,Q4,1.75,1.75,0.45,1.77,536898000.0,585204000.0,585204000.0,0.0,582464000.0,0.0,453653000.0,2570337000.0,0.0,0.0,2740000.0,85557000.0,453653000.0,2101713000.0,60574000.0,919037000.0,1182676000.0,-60574000.0,1122102000.0,2555366000.0,335600000.0,336000000.0,336000000.0
APA,2009,FY,-0.87,-0.87,0.6,-0.87,611000000.0,-285000000.0,-285000000.0,0.0,-292000000.0,0.0,1805000000.0,8574000000.0,0.0,0.0,7000000.0,344000000.0,1805000000.0,6810000000.0,242000000.0,6242000000.0,568000000.0,-242000000.0,326000000.0,8615000000.0,335600000.0,336000000.0,336000000.0
APA,2010,Q1,2.09,2.09,0.15,2.08,502000000.0,705000000.0,705000000.0,0.0,705000000.0,0.0,480000000.0,2693000000.0,0.0,0.0,0.0,87000000.0,480000000.0,2193000000.0,59000000.0,927000000.0,1266000000.0,-59000000.0,1207000000.0,2673000000.0,337000000.0,337000000.0,337000000.0
APA,2010,Q2,2.55,2.55,0.15,2.53,534000000.0,860000000.0,860000000.0,0.0,860000000.0,0.0,489000000.0,2969000000.0,0.0,0.0,0.0,84000000.0,489000000.0,2483000000.0,56000000.0,1033000000.0,1450000000.0,-56000000.0,1394000000.0,2972000000.0,337300000.0,338000000.0,339000000.0
APA,2010,Q3,2.14,2.14,0.15,2.12,559000000.0,778000000.0,778000000.0,0.0,765000000.0,0.0,550000000.0,3047000000.0,0.0,0.0,13000000.0,89000000.0,550000000.0,2463000000.0,59000000.0,1067000000.0,1396000000.0,-59000000.0,1337000000.0,3013000000.0,357500000.0,357000000.0,367000000.0
APA,2010,Q4,1.75,1.75,0.15,1.73,579000000.0,689000000.0,689000000.0,0.0,670000000.0,0.0,691000000.0,3474000000.0,0.0,0.0,19000000.0,120000000.0,691000000.0,2743000000.0,55000000.0,1420000000.0,1323000000.0,-55000000.0,1268000000.0,3434000000.0,351700000.0,352000000.0,359000000.0
APA,2010,FY,8.53,8.53,0.6,8.46,2174000000.0,3032000000.0,3032000000.0,0.0,3000000000.0,0.0,2210000000.0,12183000000.0,0.0,0.0,32000000.0,380000000.0,2210000000.0,9882000000.0,229000000.0,4447000000.0,5435000000.0,-229000000.0,5206000000.0,12092000000.0,351700000.0,352000000.0,359000000.0
