ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
APD,2009,Q1,0.33,0.33,0.44,0.32,7100000.0,73600000.0,95000000.0,-21400000.0,68600000.0,5000000.0,1629700000.0,2195300000.0,0.0,0.0,0.0,247000000.0,1629700000.0,565600000.0,36500000.0,451500000.0,114100000.0,-12000000.0,102100000.0,2195300000.0,207900000.0,209400000.0,212100000.0
APD,2009,Q2,0.98,0.98,0.45,0.97,66500000.0,207200000.0,190900000.0,16300000.0,205600000.0,1600000.0,1439900000.0,1955400000.0,0.0,0.0,0.0,230600000.0,1439900000.0,515500000.0,30000000.0,255100000.0,260400000.0,-3000000.0,257400000.0,1955400000.0,209800000.0,209600000.0,212300000.0
APD,2009,Q3,0.54,0.54,0.45,0.53,25400000.0,118000000.0,119400000.0,-1400000.0,113200000.0,4800000.0,1427500000.0,1976200000.0,0.0,0.0,0.0,232300000.0,1427500000.0,548700000.0,27500000.0,404900000.0,143800000.0,1000000.0,144800000.0,1976200000.0,209600000.0,209800000.0,214000000.0
APD,2009,Q4,1.16,1.16,0.45,1.14,86300000.0,243900000.0,246000000.0,-2100000.0,243900000.0,0.0,1545000000.0,2129300000.0,0.0,0.0,0.0,233500000.0,1545000000.0,584300000.0,27900000.0,256300000.0,328000000.0,4300000.0,332300000.0,2129300000.0,209700000.0,209900000.0,213500000.0
APD,2009,FY,3.01,3.01,1.79,2.96,185300000.0,642700000.0,651300000.0,-8600000.0,631300000.0,11400000.0,6042100000.0,8256200000.0,0.0,0.0,0.0,943400000.0,6042100000.0,2214100000.0,121900000.0,1367800000.0,846300000.0,-9700000.0,836600000.0,8256200000.0,209700000.0,209900000.0,213500000.0
APD,2010,Q1,1.19,1.19,0.45,1.16,83500000.0,256800000.0,256800000.0,0.0,251800000.0,5000000.0,1568600000.0,2173500000.0,0.0,0.0,0.0,244100000.0,1568600000.0,604900000.0,31600000.0,259900000.0,345000000.0,-4700000.0,340300000.0,2173500000.0,211600000.0,211700000.0,217000000.0
APD,2010,Q2,1.19,1.19,0.49,1.16,84900000.0,258400000.0,258400000.0,0.0,252000000.0,6400000.0,1628700000.0,2249000000.0,0.0,0.0,0.0,240400000.0,1628700000.0,620300000.0,29500000.0,279700000.0,340600000.0,2700000.0,343300000.0,2249000000.0,211800000.0,212100000.0,216900000.0
APD,2010,Q3,1.19,1.19,0.49,1.17,77600000.0,261300000.0,261300000.0,0.0,253200000.0,8100000.0,1611000000.0,2252300000.0,0.0,0.0,0.0,241200000.0,1611000000.0,641300000.0,30000000.0,304900000.0,336400000.0,2500000.0,338900000.0,2252300000.0,212800000.0,212300000.0,216900000.0
APD,2010,Q4,1.28,1.28,0.49,1.25,59700000.0,278000000.0,190500000.0,87500000.0,272100000.0,5900000.0,1480600000.0,1941300000.0,0.0,0.0,0.0,160900000.0,1480600000.0,460700000.0,30800000.0,215000000.0,245700000.0,4500000.0,250200000.0,1941300000.0,212200000.0,212200000.0,217100000.0
APD,2010,FY,4.85,4.85,1.92,4.74,305700000.0,1054500000.0,967000000.0,87500000.0,1029100000.0,25400000.0,6288900000.0,8616100000.0,0.0,0.0,0.0,886600000.0,6288900000.0,2327200000.0,121900000.0,1059500000.0,1267700000.0,5000000.0,1272700000.0,8616100000.0,212200000.0,212200000.0,217100000.0
APD,2011,Q1,1.25,1.25,0.49,1.23,81500000.0,275900000.0,275900000.0,0.0,268600000.0,7300000.0,1720500000.0,2391700000.0,0.0,0.0,0.0,244600000.0,1720500000.0,671200000.0,31000000.0,310600000.0,360600000.0,-3200000.0,357400000.0,2391700000.0,214900000.0,214200000.0,219200000.0
APD,2011,Q2,1.42,1.42,0.58,1.39,103200000.0,311500000.0,292900000.0,18600000.0,304300000.0,7200000.0,1748200000.0,2403000000.0,0.0,0.0,0.0,242000000.0,1748200000.0,654800000.0,29400000.0,261000000.0,393800000.0,2300000.0,396100000.0,2403000000.0,214300000.0,213800000.0,218800000.0
APD,2011,Q3,1.54,1.54,0.58,1.5,95400000.0,335000000.0,305500000.0,29500000.0,326500000.0,8500000.0,1825700000.0,2472000000.0,0.0,0.0,0.0,234500000.0,1825700000.0,646300000.0,26500000.0,258600000.0,387700000.0,13200000.0,400900000.0,2472000000.0,212000000.0,212500000.0,217300000.0
APD,2011,Q4,1.54,1.54,0.58,1.51,95200000.0,339100000.0,297300000.0,41800000.0,324800000.0,14300000.0,1803900000.0,2407000000.0,0.0,0.0,0.0,220600000.0,1803900000.0,603100000.0,28600000.0,237100000.0,366000000.0,26500000.0,392500000.0,2407000000.0,212900000.0,213000000.0,217600000.0
APD,2011,FY,5.75,5.75,2.23,5.63,375300000.0,1261500000.0,1171600000.0,89900000.0,1224200000.0,37300000.0,7098300000.0,9673700000.0,0.0,0.0,0.0,941700000.0,7098300000.0,2575400000.0,115500000.0,1067300000.0,1508100000.0,38800000.0,1546900000.0,9673700000.0,212900000.0,213000000.0,217600000.0
