ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
ARE,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,2009,Q2,0.83,0.83,0.0,0.82,0.0,44116000.0,43392000.0,724000.0,32298000.0,4362000.0,0.0,0.0,0.0,0.0,7089000.0,0.0,0.0,0.0,21373000.0,0.0,0.0,0.0,43392000.0,99666000.0,38900000.0,38900000.0,39400000.0
ARE,2009,Q3,0.47,0.47,0.0,0.47,0.0,26378000.0,25660000.0,718000.0,18203000.0,886000.0,0.0,0.0,0.0,0.0,7090000.0,0.0,0.0,0.0,21225000.0,0.0,0.0,0.0,25660000.0,94601000.0,38700000.0,38700000.0,38700000.0
ARE,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,2009,FY,2.72,2.72,1.85,2.72,0.0,141648000.0,135016000.0,6632000.0,104974000.0,8317000.0,0.0,0.0,0.0,0.0,28357000.0,0.0,0.0,0.0,82111000.0,0.0,0.0,0.0,135016000.0,399442000.0,38586909.0,38586909.0,38586909.0
ARE,2010,Q1,0.47,0.47,0.0,0.47,0.0,28785000.0,28192000.0,593000.0,20542000.0,935000.0,0.0,0.0,0.0,0.0,7089000.0,0.0,0.0,0.0,17562000.0,0.0,0.0,0.0,28192000.0,98931000.0,43700000.0,43700000.0,43700000.0
ARE,2010,Q2,-0.45,-0.45,0.35,-0.45,0.0,-12224000.0,-12164000.0,-60000.0,-20393000.0,1079000.0,0.0,0.0,0.0,0.0,7090000.0,0.0,0.0,0.0,18778000.0,0.0,0.0,0.0,-12164000.0,98232000.0,44870142.0,44870142.0,44870142.0
ARE,2010,Q3,0.45,0.45,0.35,0.45,0.0,30461000.0,29982000.0,479000.0,22235000.0,1137000.0,0.0,0.0,0.0,0.0,7089000.0,0.0,0.0,0.0,16078000.0,0.0,0.0,0.0,29982000.0,104236000.0,49807241.0,49807241.0,49807241.0
ARE,2010,Q4,1.72,1.72,0.8,1.72,0.0,92000000.0,21073000.0,11485000.0,83557000.0,1573000.0,0.0,0.0,0.0,0.0,7089000.0,0.0,0.0,0.0,17091000.0,0.0,0.0,0.0,21073000.0,89713000.0,48375474.0,48375474.0,48375474.0
ARE,2010,FY,2.19,2.19,1.5,2.19,0.0,139022000.0,67083000.0,12497000.0,105941000.0,4724000.0,0.0,0.0,0.0,0.0,28357000.0,0.0,0.0,0.0,69509000.0,0.0,0.0,0.0,67083000.0,391112000.0,48375474.0,48375474.0,48375474.0
ARE,2011,Q1,0.44,0.44,0.0,0.44,0.0,32625000.0,32475000.0,150000.0,24365000.0,1171000.0,0.0,0.0,0.0,0.0,7089000.0,0.0,0.0,0.0,17810000.0,0.0,0.0,0.0,32475000.0,122110000.0,55400000.0,55400000.0,55400000.0
ARE,2011,Q2,0.44,0.44,0.0,0.44,0.0,34311000.0,33974000.0,337000.0,25986000.0,1236000.0,0.0,0.0,0.0,0.0,7089000.0,0.0,0.0,0.0,16567000.0,0.0,0.0,0.0,33974000.0,126754000.0,58500055.0,58500055.0,58500055.0
ARE,2011,Q3,0.4,0.4,0.0,0.4,0.0,32995000.0,31144000.0,1805000.0,24662000.0,1244000.0,0.0,0.0,0.0,0.0,7089000.0,0.0,0.0,0.0,14273000.0,0.0,0.0,0.0,31144000.0,123781000.0,61295659.0,61295659.0,61295659.0
ARE,2011,Q4,0.45,0.45,1.86,0.45,0.0,35462000.0,19677000.0,15785000.0,26960000.0,1412000.0,0.0,0.0,0.0,0.0,7090000.0,0.0,0.0,0.0,14723000.0,0.0,0.0,0.0,19677000.0,100762000.0,59078000.0,58900000.0,58900000.0
ARE,2011,FY,1.73,1.73,1.86,1.73,0.0,135393000.0,117270000.0,18077000.0,101973000.0,5063000.0,0.0,0.0,0.0,0.0,28357000.0,0.0,0.0,0.0,63373000.0,0.0,0.0,0.0,117270000.0,473407000.0,59078000.0,58900000.0,58900000.0
ARE,2012,Q1,0.3,0.3,0.0,0.3,0.0,32775000.0,26266000.0,4645000.0,18368000.0,946000.0,0.0,0.0,0.0,0.0,13461000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26266000.0,135711000.0,61507807.0,61507807.0,61507807.0
ARE,2012,Q2,0.29,0.29,0.0,0.29,0.0,25641000.0,20928000.0,4713000.0,17616000.0,1122000.0,0.0,0.0,0.0,0.0,6903000.0,0.0,0.0,0.0,17922000.0,0.0,0.0,0.0,20928000.0,127671000.0,60700000.0,60700000.0,60700000.0
ARE,2012,Q3,0.17,0.17,0.0,0.17,0.0,18305000.0,22501000.0,-4196000.0,10646000.0,1188000.0,0.0,0.0,0.0,0.0,6471000.0,0.0,0.0,0.0,17092000.0,0.0,0.0,0.0,22501000.0,125758000.0,62364000.0,62600000.0,62600000.0
ARE,2012,Q4,0.33,0.33,2.09,0.33,0.0,28807000.0,25153000.0,5518000.0,21000000.0,1336000.0,0.0,0.0,0.0,0.0,6471000.0,0.0,0.0,0.0,34170000.0,0.0,0.0,0.0,25153000.0,116173000.0,62160000.0,62000000.0,62000000.0
ARE,2012,FY,1.09,1.09,2.09,1.09,0.0,105528000.0,94848000.0,10680000.0,67630000.0,4592000.0,0.0,0.0,0.0,0.0,33306000.0,0.0,0.0,0.0,69184000.0,0.0,0.0,0.0,94848000.0,505313000.0,62160000.0,62000000.0,62000000.0
ARE,2013,Q1,0.36,0.36,0.0,0.36,0.0,30237000.0,29400000.0,837000.0,22442000.0,1324000.0,0.0,0.0,0.0,0.0,6471000.0,0.0,0.0,0.0,18020000.0,0.0,0.0,0.0,29400000.0,132063000.0,63161000.0,62300000.0,62300000.0
ARE,2013,Q2,0.38,0.38,0.0,0.38,0.0,33337000.0,32316000.0,1021000.0,25483000.0,1383000.0,0.0,0.0,0.0,0.0,6471000.0,0.0,0.0,0.0,15978000.0,0.0,0.0,0.0,32316000.0,137952000.0,66973000.0,67100000.0,67100000.0
ARE,2013,Q3,0.35,0.35,-0.68,0.35,0.0,32453000.0,32496000.0,-43000.0,24579000.0,1402000.0,0.0,0.0,0.0,0.0,6472000.0,0.0,0.0,0.0,16171000.0,0.0,0.0,0.0,32496000.0,142144000.0,70900000.0,70200000.0,70200000.0
ARE,2013,Q4,0.51,0.51,3.29,0.51,0.0,44222000.0,40313000.0,3909000.0,36247000.0,1504000.0,0.0,0.0,0.0,0.0,6471000.0,0.0,0.0,0.0,17783000.0,0.0,0.0,0.0,40313000.0,151040000.0,68038000.0,68000000.0,68000000.0
ARE,2013,FY,1.6,1.6,2.61,1.6,0.0,140249000.0,134525000.0,5724000.0,108751000.0,5613000.0,0.0,0.0,0.0,0.0,25885000.0,0.0,0.0,0.0,67952000.0,0.0,0.0,0.0,134525000.0,563199000.0,68038000.0,68000000.0,68000000.0
ARE,2014,Q1,0.46,0.46,-0.7,0.46,0.0,40749000.0,40911000.0,-162000.0,32709000.0,1569000.0,0.0,0.0,0.0,0.0,6471000.0,0.0,0.0,0.0,19123000.0,0.0,0.0,0.0,40911000.0,157063000.0,71073000.0,71100000.0,71100000.0
ARE,2014,Q2,0.39,0.39,0.72,0.39,0.0,36116000.0,35466000.0,650000.0,27932000.0,1712000.0,0.0,0.0,0.0,0.0,6472000.0,0.0,0.0,0.0,17433000.0,0.0,0.0,0.0,35466000.0,158969000.0,71126000.0,71600000.0,71600000.0
ARE,2014,Q3,0.39,0.39,0.72,0.39,0.0,35943000.0,36115000.0,-180000.0,27626000.0,1846000.0,0.0,0.0,0.0,0.0,6471000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36115000.0,185615000.0,71195000.0,70800000.0,70800000.0
ARE,2014,Q4,-0.23,-0.23,0.87,-0.23,0.0,-6030000.0,-13350000.0,925000.0,-16154000.0,1851000.0,0.0,0.0,0.0,0.0,8273000.0,0.0,0.0,0.0,42743000.0,0.0,0.0,0.0,-13350000.0,146485000.0,71170000.0,71170000.0,71170000.0
ARE,2014,FY,1.01,1.01,1.61,1.01,0.0,106778000.0,99142000.0,1233000.0,72113000.0,6978000.0,0.0,0.0,0.0,0.0,27687000.0,0.0,0.0,0.0,79299000.0,0.0,0.0,0.0,99142000.0,648132000.0,71170000.0,71170000.0,71170000.0
ARE,2015,Q1,0.25,0.25,0.74,0.25,0.0,25008000.0,25051000.0,-43000.0,17786000.0,975000.0,0.0,0.0,0.0,0.0,6247000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25051000.0,197327000.0,71366000.0,71100000.0,71100000.0
ARE,2015,Q2,0.44,0.44,0.77,0.44,0.0,38430000.0,38430000.0,0.0,31291000.0,893000.0,0.0,0.0,0.0,0.0,6246000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38430000.0,204697000.0,71412000.0,71100000.0,71100000.0
