ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
AVB,2009,Q1,0.6,0.6,0.8925,0.59,0.0,47101000.0,43136000.0,3965000.0,47425000.0,-324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39679000.0,209733000.0,79000000.0,79000000.0,80400000.0
AVB,2009,Q2,0.22,0.22,0.8925,0.22,0.0,16723000.0,13059000.0,3664000.0,17674000.0,-951000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12567000.0,212259000.0,80300000.0,80300000.0,80300000.0
AVB,2009,Q3,0.72,0.72,0.8925,0.72,0.0,58101000.0,27746000.0,30355000.0,58154000.0,-53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27315000.0,215043000.0,80800000.0,80800000.0,80800000.0
AVB,2009,Q4,0.4,0.4,0.89,0.4,0.0,32349000.0,-1243000.0,33592000.0,32394000.0,-45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3134000.0,192889000.0,79951348.0,79951348.0,79951348.0
AVB,2009,FY,1.94,1.94,3.57,1.93,0.0,154274000.0,82698000.0,71576000.0,155647000.0,-1373000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76427000.0,829924000.0,79951348.0,79951348.0,79951348.0
AVB,2010,Q1,0.89,0.89,0.8925,0.88,0.0,72366000.0,20200000.0,52166000.0,72523000.0,-157000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19973000.0,215449000.0,81637686.0,81637686.0,81637686.0
AVB,2010,Q2,0.61,0.61,0.8925,0.61,0.0,51066000.0,29102000.0,21964000.0,51125000.0,-59000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28639000.0,220342000.0,83517908.0,83517908.0,83517908.0
AVB,2010,Q3,0.29,0.29,0.8925,0.29,0.0,23980000.0,26212000.0,-2232000.0,24654000.0,-674000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26537000.0,225558000.0,84968804.0,84968804.0,84968804.0
AVB,2010,Q4,0.29,0.29,0.89,0.29,0.0,26667000.0,16541000.0,10126000.0,27029000.0,-362000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16144000.0,181471000.0,83859936.0,83859936.0,83859936.0
AVB,2010,FY,2.08,2.08,3.57,2.07,0.0,174079000.0,92055000.0,82024000.0,175331000.0,-1252000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91293000.0,842820000.0,83859936.0,83859936.0,83859936.0
