ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
BDX,2009,Q1,1.29,1.29,0.33,1.26,112131000.0,312068000.0,309419000.0,2649000.0,312068000.0,0.0,796274000.0,1717919000.0,0.0,9411000.0,0.0,406019000.0,796274000.0,921645000.0,7824000.0,503333000.0,418312000.0,3238000.0,421550000.0,1717919000.0,241900000.0,241900000.0,247700000.0
BDX,2009,Q2,1.09,1.09,0.33,1.06,92612000.0,261289000.0,259174000.0,2115000.0,261289000.0,0.0,829350000.0,1724967000.0,0.0,-5701000.0,0.0,436359000.0,829350000.0,895617000.0,7495000.0,534947000.0,360670000.0,-8884000.0,351786000.0,1724967000.0,239700000.0,239700000.0,246500000.0
BDX,2009,Q3,1.42,1.42,0.33,1.39,90291000.0,341027000.0,338704000.0,2323000.0,341027000.0,0.0,860063000.0,1820255000.0,0.0,-4247000.0,0.0,429940000.0,860063000.0,960192000.0,11288000.0,528429000.0,431763000.0,-2768000.0,428995000.0,1820255000.0,240109000.0,240109000.0,240109000.0
BDX,2009,Q4,1.32,1.32,0.33,1.28,116212000.0,317219000.0,260048000.0,57171000.0,317219000.0,0.0,825989000.0,1723581000.0,0.0,-3313000.0,0.0,408479000.0,825989000.0,897592000.0,13782000.0,518655000.0,378937000.0,-2677000.0,376260000.0,1723581000.0,240479000.0,240479000.0,240479000.0
BDX,2009,FY,5.12,5.12,1.32,4.99,411246000.0,1231603000.0,1167345000.0,64258000.0,1231603000.0,0.0,3311676000.0,6986722000.0,0.0,-3850000.0,0.0,1680797000.0,3311676000.0,3675046000.0,40389000.0,2085364000.0,1589682000.0,-11091000.0,1578591000.0,6986722000.0,240479000.0,240479000.0,240479000.0
BDX,2010,Q1,1.33,1.33,0.37,1.3,119025000.0,316376000.0,304093000.0,12283000.0,316376000.0,0.0,894324000.0,1868818000.0,0.0,-2354000.0,0.0,445673000.0,894324000.0,974494000.0,12987000.0,544824000.0,429670000.0,-6552000.0,423118000.0,1868818000.0,237360000.0,237360000.0,237360000.0
BDX,2010,Q2,1.26,1.26,0.37,1.24,125517000.0,297631000.0,285034000.0,12597000.0,297631000.0,0.0,864492000.0,1799409000.0,0.0,164000.0,0.0,421076000.0,864492000.0,934917000.0,12913000.0,521269000.0,413648000.0,-3097000.0,410551000.0,1799409000.0,235325000.0,235325000.0,235325000.0
BDX,2010,Q3,1.32,1.32,0.37,1.29,119213000.0,306908000.0,294160000.0,12748000.0,306908000.0,0.0,883434000.0,1830911000.0,0.0,1402000.0,0.0,416468000.0,883434000.0,947477000.0,13085000.0,524515000.0,422962000.0,-9589000.0,413373000.0,1830911000.0,233242000.0,233242000.0,233242000.0
BDX,2010,Q4,1.71,1.71,0.37,1.66,88142000.0,396695000.0,231557000.0,165138000.0,396695000.0,0.0,786058000.0,1625247000.0,0.0,1285000.0,0.0,407715000.0,786058000.0,839189000.0,12278000.0,523091000.0,316098000.0,3601000.0,319699000.0,1625247000.0,234328000.0,234328000.0,234328000.0
BDX,2010,FY,5.62,5.62,1.48,5.49,451897000.0,1317610000.0,1114844000.0,202766000.0,1317610000.0,0.0,3428308000.0,7124385000.0,0.0,497000.0,0.0,1690932000.0,3428308000.0,3696077000.0,51263000.0,2113699000.0,1582378000.0,-15637000.0,1566741000.0,7124385000.0,234328000.0,234328000.0,234328000.0
BDX,2011,Q1,1.39,1.39,0.41,1.36,93875000.0,315937000.0,314276000.0,1661000.0,315937000.0,0.0,865431000.0,1842005000.0,0.0,-4596000.0,0.0,447954000.0,865431000.0,976574000.0,15553000.0,563496000.0,413078000.0,-4927000.0,408151000.0,1842005000.0,228083000.0,228083000.0,228083000.0
BDX,2011,Q2,1.41,1.41,0.41,1.38,117399000.0,312019000.0,311062000.0,957000.0,312019000.0,0.0,920589000.0,1922023000.0,0.0,-2522000.0,0.0,441942000.0,920589000.0,1001434000.0,23921000.0,561094000.0,440340000.0,-11879000.0,428461000.0,1922023000.0,220894000.0,220894000.0,220894000.0
BDX,2011,Q3,1.57,1.57,0.41,1.53,113630000.0,343058000.0,321540000.0,21518000.0,343058000.0,0.0,922652000.0,1951889000.0,0.0,-1318000.0,0.0,467968000.0,922652000.0,1029237000.0,22211000.0,582046000.0,447191000.0,-12021000.0,435170000.0,1951889000.0,218966000.0,218966000.0,218966000.0
BDX,2011,Q4,1.38,1.38,0.41,1.35,92096000.0,299986000.0,254122000.0,45864000.0,299986000.0,0.0,916328000.0,1868083000.0,0.0,1436000.0,0.0,466136000.0,916328000.0,951755000.0,22315000.0,587364000.0,365391000.0,-19173000.0,346218000.0,1868083000.0,221175000.0,221175000.0,221175000.0
BDX,2011,FY,5.75,5.75,1.64,5.62,417000000.0,1271000000.0,1201000000.0,70000000.0,1271000000.0,0.0,3625000000.0,7584000000.0,0.0,-7000000.0,0.0,1824000000.0,3625000000.0,3959000000.0,84000000.0,2294000000.0,1666000000.0,-48000000.0,1618000000.0,7584000000.0,221175000.0,221175000.0,221175000.0
BDX,2012,Q1,1.23,1.23,0.45,1.21,73898000.0,262985000.0,248544000.0,14441000.0,262985000.0,0.0,900465000.0,1831720000.0,0.0,-385000.0,0.0,482271000.0,900465000.0,931255000.0,29378000.0,594498000.0,336757000.0,-14315000.0,322442000.0,1831720000.0,214300000.0,214300000.0,214300000.0
BDX,2012,Q2,1.41,1.41,0.45,1.39,94401000.0,291033000.0,275124000.0,15909000.0,291033000.0,0.0,941184000.0,1928961000.0,0.0,4657000.0,0.0,487694000.0,941184000.0,987777000.0,35140000.0,604447000.0,383330000.0,-13805000.0,369525000.0,1928961000.0,206426000.0,206426000.0,206426000.0
