ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
BF.B,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF.B,2009,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF.B,2009,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF.B,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF.B,2009,FY,2.88,2.88,1.12,2.87,195000000.0,435000000.0,435000000.0,0.0,435000000.0,0.0,1615000000.0,3192000000.0,0.0,0.0,0.0,548000000.0,1615000000.0,1577000000.0,37000000.0,916000000.0,661000000.0,-31000000.0,630000000.0,3192000000.0,150452000.0,150452000.0,150452000.0
BF.B,2010,Q1,0.81,0.81,0.8625,0.81,63500000.0,121400000.0,121400000.0,0.0,121400000.0,0.0,357800000.0,737900000.0,0.0,0.0,0.0,117200000.0,357800000.0,380100000.0,8100000.0,188100000.0,192000000.0,-7100000.0,184900000.0,737900000.0,149900000.0,149900000.0,149900000.0
BF.B,2010,Q2,0.99,0.99,0.2875,0.99,70900000.0,147300000.0,147300000.0,0.0,147300000.0,0.0,449900000.0,892900000.0,0.0,0.0,0.0,125100000.0,449900000.0,443000000.0,7800000.0,217400000.0,225600000.0,-7400000.0,218200000.0,892900000.0,148800000.0,148800000.0,148800000.0
BF.B,2010,Q3,0.73,0.73,0.9,0.73,58900000.0,107900000.0,107900000.0,0.0,107900000.0,0.0,450800000.0,861700000.0,0.0,0.0,0.0,131500000.0,450800000.0,410900000.0,7600000.0,237000000.0,173900000.0,-7100000.0,166800000.0,861700000.0,147800000.0,147800000.0,147800000.0
BF.B,2010,Q4,0.49,0.49,0.3,0.49,39700000.0,72400000.0,72400000.0,0.0,72400000.0,0.0,185000000.0,733500000.0,171500000.0,0.0,0.0,165200000.0,356500000.0,377000000.0,7500000.0,258500000.0,118500000.0,-6400000.0,112100000.0,733500000.0,147834000.0,147834000.0,147834000.0
BF.B,2010,FY,3.03,3.03,1.18,3.02,233000000.0,449000000.0,449000000.0,0.0,449000000.0,0.0,1615000000.0,3226000000.0,0.0,0.0,0.0,539000000.0,1615000000.0,1611000000.0,31000000.0,901000000.0,710000000.0,-28000000.0,682000000.0,3226000000.0,147834000.0,147834000.0,147834000.0
BF.B,2011,Q1,0.76,0.76,0.9,0.76,55100000.0,111400000.0,111400000.0,0.0,111400000.0,0.0,366100000.0,744900000.0,0.0,0.0,0.0,131900000.0,366100000.0,378800000.0,6700000.0,206100000.0,172700000.0,-6200000.0,166500000.0,744900000.0,146570000.0,146570000.0,146570000.0
BF.B,2011,Q2,1.06,1.06,0.3,1.05,74900000.0,154000000.0,154000000.0,0.0,154000000.0,0.0,446900000.0,905700000.0,0.0,0.0,0.0,132900000.0,446900000.0,458800000.0,6700000.0,223800000.0,235000000.0,-6100000.0,228900000.0,905700000.0,145649000.0,145649000.0,145649000.0
BF.B,2011,Q3,0.97,0.97,2.96,0.96,77900000.0,140700000.0,140700000.0,0.0,140700000.0,0.0,498900000.0,962400000.0,0.0,0.0,0.0,142300000.0,498900000.0,463500000.0,7500000.0,238000000.0,225500000.0,-6900000.0,218600000.0,962400000.0,145061000.0,145061000.0,145061000.0
BF.B,2011,Q4,0.76,0.76,0.21,0.76,49100000.0,165900000.0,165900000.0,0.0,165900000.0,0.0,187300000.0,791000000.0,180800000.0,0.0,0.0,166900000.0,368100000.0,422900000.0,8100000.0,201100000.0,221800000.0,-6800000.0,215000000.0,791000000.0,218405000.0,218405000.0,218405000.0
BF.B,2011,FY,2.61,2.61,1.49,2.6,257000000.0,572000000.0,572000000.0,0.0,572000000.0,0.0,1680000000.0,3404000000.0,0.0,0.0,0.0,574000000.0,1680000000.0,1724000000.0,29000000.0,869000000.0,855000000.0,-26000000.0,829000000.0,3404000000.0,218405000.0,218405000.0,218405000.0
BF.B,2012,Q1,0.54,0.54,0.64,0.54,60700000.0,118100000.0,118100000.0,0.0,118100000.0,0.0,420000000.0,840300000.0,0.0,0.0,0.0,139000000.0,420000000.0,420300000.0,7900000.0,234400000.0,185900000.0,-7100000.0,178800000.0,840300000.0,217242000.0,217242000.0,217242000.0
BF.B,2012,Q2,0.73,0.73,0.213,0.73,81600000.0,157600000.0,157600000.0,0.0,157600000.0,0.0,511800000.0,1013700000.0,0.0,0.0,0.0,146800000.0,511800000.0,501900000.0,7800000.0,255600000.0,246300000.0,-7100000.0,239200000.0,1013700000.0,214813000.0,214813000.0,214813000.0
BF.B,2012,Q3,0.63,0.63,0.7,0.62,65800000.0,133100000.0,133100000.0,0.0,133100000.0,0.0,508100000.0,959000000.0,0.0,0.0,0.0,148000000.0,508100000.0,450900000.0,7900000.0,244700000.0,206200000.0,-7300000.0,198900000.0,959000000.0,212891000.0,212891000.0,212891000.0
BF.B,2012,Q4,0.49,0.49,0.23,0.49,38900000.0,104200000.0,104200000.0,0.0,104200000.0,0.0,180600000.0,801000000.0,198500000.0,0.0,0.0,176200000.0,379100000.0,421900000.0,7400000.0,272300000.0,149600000.0,-6500000.0,143100000.0,801000000.0,214529000.0,214529000.0,214529000.0
BF.B,2012,FY,2.39,2.39,0.89,2.37,247000000.0,513000000.0,513000000.0,0.0,513000000.0,0.0,1819000000.0,3614000000.0,0.0,0.0,0.0,610000000.0,1819000000.0,1795000000.0,31000000.0,1007000000.0,788000000.0,-28000000.0,760000000.0,3614000000.0,214529000.0,214529000.0,214529000.0
BF.B,2013,Q1,0.69,0.69,0.7,0.69,70000000.0,147000000.0,147000000.0,0.0,147000000.0,0.0,414000000.0,878000000.0,0.0,0.0,0.0,148000000.0,414000000.0,464000000.0,5000000.0,242000000.0,222000000.0,-5000000.0,217000000.0,878000000.0,213168000.0,213168000.0,213168000.0
BF.B,2013,Q2,0.81,0.81,0.233,0.8,85000000.0,173000000.0,173000000.0,0.0,173000000.0,0.0,489000000.0,1014000000.0,0.0,0.0,0.0,159000000.0,489000000.0,525000000.0,5000000.0,263000000.0,262000000.0,-4000000.0,258000000.0,1014000000.0,213276000.0,213276000.0,213276000.0
BF.B,2013,Q3,0.74,0.74,8.765,0.73,72000000.0,157000000.0,157000000.0,0.0,157000000.0,0.0,520000000.0,1027000000.0,0.0,0.0,0.0,162000000.0,520000000.0,507000000.0,9000000.0,270000000.0,237000000.0,-8000000.0,229000000.0,1027000000.0,213459000.0,213459000.0,213459000.0
BF.B,2013,Q4,0.53,0.53,0.26,0.53,47000000.0,114000000.0,114000000.0,0.0,114000000.0,0.0,200000000.0,865000000.0,206000000.0,0.0,0.0,181000000.0,406000000.0,459000000.0,17000000.0,282000000.0,177000000.0,-16000000.0,161000000.0,865000000.0,213369000.0,213369000.0,213369000.0
BF.B,2013,FY,2.77,2.77,4.98,2.75,274000000.0,591000000.0,591000000.0,0.0,591000000.0,0.0,1829000000.0,3784000000.0,0.0,0.0,0.0,650000000.0,1829000000.0,1955000000.0,36000000.0,1057000000.0,898000000.0,-33000000.0,865000000.0,3784000000.0,213369000.0,213369000.0,213369000.0
BF.B,2014,Q1,0.67,0.67,0.765,0.66,68000000.0,143000000.0,143000000.0,0.0,143000000.0,0.0,419000000.0,896000000.0,0.0,0.0,0.0,156000000.0,419000000.0,477000000.0,7000000.0,260000000.0,217000000.0,-6000000.0,211000000.0,896000000.0,213709000.0,213709000.0,213709000.0
BF.B,2014,Q2,0.97,0.97,0.255,0.96,99000000.0,206000000.0,206000000.0,0.0,206000000.0,0.0,503000000.0,1079000000.0,0.0,0.0,0.0,162000000.0,503000000.0,576000000.0,7000000.0,265000000.0,311000000.0,-6000000.0,305000000.0,1079000000.0,213587000.0,213587000.0,213587000.0
BF.B,2014,Q3,0.83,0.83,0.87,0.82,72000000.0,177000000.0,177000000.0,0.0,177000000.0,0.0,546000000.0,1078000000.0,0.0,0.0,0.0,161000000.0,546000000.0,532000000.0,6000000.0,277000000.0,255000000.0,-6000000.0,249000000.0,1078000000.0,213151000.0,213151000.0,213151000.0
BF.B,2014,Q4,0.62,0.62,0.29,0.62,49000000.0,133000000.0,133000000.0,0.0,133000000.0,0.0,197000000.0,893000000.0,203000000.0,0.0,0.0,207000000.0,400000000.0,493000000.0,6000000.0,305000000.0,188000000.0,-6000000.0,182000000.0,893000000.0,213454000.0,213454000.0,213454000.0
BF.B,2014,FY,3.08,3.08,1.09,3.06,288000000.0,659000000.0,659000000.0,0.0,659000000.0,0.0,1868000000.0,3946000000.0,0.0,0.0,0.0,686000000.0,1868000000.0,2078000000.0,26000000.0,1107000000.0,971000000.0,-24000000.0,947000000.0,3946000000.0,213454000.0,213454000.0,213454000.0
BF.B,2015,Q1,0.7,0.7,0.87,0.7,64000000.0,150000000.0,150000000.0,0.0,150000000.0,0.0,426000000.0,921000000.0,0.0,0.0,0.0,170000000.0,426000000.0,495000000.0,7000000.0,274000000.0,221000000.0,-7000000.0,214000000.0,921000000.0,213444000.0,213444000.0,213444000.0
BF.B,2015,Q2,0.98,0.98,0.29,0.97,88000000.0,208000000.0,208000000.0,0.0,208000000.0,0.0,526000000.0,1135000000.0,0.0,0.0,0.0,178000000.0,526000000.0,609000000.0,7000000.0,306000000.0,303000000.0,-7000000.0,296000000.0,1135000000.0,212087000.0,212087000.0,212087000.0
BF.B,2015,Q3,0.88,0.88,0.945,0.87,80000000.0,186000000.0,186000000.0,0.0,186000000.0,0.0,540000000.0,1093000000.0,0.0,0.0,0.0,163000000.0,540000000.0,553000000.0,6000000.0,281000000.0,272000000.0,-6000000.0,266000000.0,1093000000.0,211126000.0,211126000.0,211126000.0
BF.B,2015,Q4,0.33,0.33,0.16,0.33,86000000.0,140000000.0,140000000.0,0.0,140000000.0,0.0,213000000.0,947000000.0,208000000.0,0.0,0.0,186000000.0,421000000.0,526000000.0,7000000.0,295000000.0,231000000.0,-5000000.0,226000000.0,947000000.0,423185000.0,423185000.0,423185000.0
BF.B,2015,FY,1.62,1.62,0.605,1.6,318000000.0,684000000.0,684000000.0,0.0,684000000.0,0.0,1913000000.0,4096000000.0,0.0,0.0,0.0,697000000.0,1913000000.0,2183000000.0,27000000.0,1156000000.0,1027000000.0,-25000000.0,1002000000.0,4096000000.0,423185000.0,423185000.0,423185000.0
BF.B,2016,Q1,0.38,0.38,0.4725,0.37,62000000.0,156000000.0,156000000.0,0.0,156000000.0,0.0,409000000.0,900000000.0,0.0,0.0,0.0,169000000.0,409000000.0,491000000.0,9000000.0,264000000.0,227000000.0,-9000000.0,218000000.0,900000000.0,414526000.0,414526000.0,414526000.0
BF.B,2016,Q2,0.49,0.49,0.1575,0.49,90000000.0,200000000.0,200000000.0,0.0,200000000.0,0.0,510000000.0,1096000000.0,0.0,0.0,0.0,171000000.0,510000000.0,586000000.0,12000000.0,284000000.0,302000000.0,-12000000.0,290000000.0,1096000000.0,408110000.0,408110000.0,408110000.0
BF.B,2016,Q3,0.47,0.47,0.51,0.47,76000000.0,190000000.0,190000000.0,0.0,190000000.0,0.0,528000000.0,1083000000.0,0.0,0.0,0.0,167000000.0,528000000.0,555000000.0,12000000.0,277000000.0,278000000.0,-12000000.0,266000000.0,1083000000.0,402365000.0,402365000.0,402365000.0
BF.B,2016,Q4,1.28,1.28,0.17,1.28,194000000.0,521000000.0,521000000.0,0.0,521000000.0,0.0,215000000.0,932000000.0,205000000.0,0.0,0.0,181000000.0,420000000.0,512000000.0,13000000.0,-214000000.0,726000000.0,-11000000.0,715000000.0,932000000.0,405953000.0,405953000.0,405953000.0
BF.B,2016,FY,2.63,2.63,0.655,2.61,422000000.0,1067000000.0,1067000000.0,0.0,1067000000.0,0.0,1867000000.0,4011000000.0,0.0,0.0,0.0,688000000.0,1867000000.0,2144000000.0,46000000.0,611000000.0,1533000000.0,-44000000.0,1489000000.0,4011000000.0,405953000.0,405953000.0,405953000.0
BF.B,2017,Q1,0.37,0.37,0.51,0.36,57000000.0,144000000.0,144000000.0,0.0,144000000.0,0.0,403000000.0,856000000.0,0.0,0.0,0.0,163000000.0,403000000.0,453000000.0,13000000.0,240000000.0,213000000.0,-12000000.0,201000000.0,856000000.0,393018000.0,393018000.0,393018000.0
BF.B,2017,Q2,0.51,0.51,0.17,0.5,79000000.0,197000000.0,197000000.0,0.0,197000000.0,0.0,503000000.0,1055000000.0,0.0,0.0,0.0,163000000.0,503000000.0,552000000.0,16000000.0,261000000.0,291000000.0,-15000000.0,276000000.0,1055000000.0,389050000.0,389050000.0,389050000.0
BF.B,2017,Q3,0.47,0.47,0.5475,0.47,76000000.0,182000000.0,182000000.0,0.0,182000000.0,0.0,523000000.0,1059000000.0,0.0,0.0,0.0,162000000.0,523000000.0,536000000.0,16000000.0,263000000.0,273000000.0,-15000000.0,258000000.0,1059000000.0,384520000.0,384520000.0,384520000.0
BF.B,2017,Q4,0.38,0.38,0.18,0.38,52000000.0,146000000.0,146000000.0,0.0,146000000.0,0.0,215000000.0,887000000.0,192000000.0,0.0,0.0,179000000.0,407000000.0,480000000.0,14000000.0,268000000.0,212000000.0,-14000000.0,198000000.0,887000000.0,387708000.0,387708000.0,387708000.0
BF.B,2017,FY,1.72,1.72,0.705,1.71,264000000.0,669000000.0,669000000.0,0.0,669000000.0,0.0,1836000000.0,3857000000.0,0.0,0.0,0.0,667000000.0,1836000000.0,2021000000.0,59000000.0,1032000000.0,989000000.0,-56000000.0,933000000.0,3857000000.0,387708000.0,387708000.0,387708000.0
