ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
CAG,2009,Q1,0.95,0.95,0.0,0.94,66000000.0,442400000.0,107600000.0,334800000.0,442400000.0,0.0,2465000000.0,3056500000.0,0.0,0.0,0.0,368700000.0,2465000000.0,591500000.0,50100000.0,368700000.0,222800000.0,-50100000.0,172700000.0,3056500000.0,465700000.0,465700000.0,470600000.0
CAG,2009,Q2,0.38,0.38,0.0,0.37,84600000.0,168500000.0,172100000.0,-3600000.0,168100000.0,400000.0,2565200000.0,3251700000.0,0.0,0.0,0.0,389000000.0,2565200000.0,686500000.0,42700000.0,389000000.0,297500000.0,-42700000.0,254800000.0,3251700000.0,442400000.0,442400000.0,454300000.0
CAG,2009,Q3,0.43,0.43,0.0,0.43,92000000.0,193200000.0,191800000.0,1400000.0,193200000.0,0.0,2385600000.0,3125000000.0,0.0,0.0,0.0,424700000.0,2385600000.0,739400000.0,42000000.0,424700000.0,314700000.0,-42000000.0,272700000.0,3125000000.0,449300000.0,449300000.0,449300000.0
CAG,2009,Q4,0.4,0.4,0.76,0.41,74500000.0,174900000.0,143700000.0,31200000.0,174700000.0,200000.0,2155300000.0,2915400000.0,0.0,0.0,0.0,500800000.0,2155300000.0,760100000.0,51200000.0,500800000.0,259300000.0,-51200000.0,208100000.0,2915400000.0,452900000.0,452900000.0,452900000.0
CAG,2009,FY,2.16,2.16,0.76,2.15,317100000.0,979000000.0,615200000.0,363800000.0,978400000.0,600000.0,9571100000.0,12348600000.0,0.0,0.0,0.0,1683200000.0,9571100000.0,2777500000.0,186000000.0,1683200000.0,1094300000.0,-186000000.0,908300000.0,12348600000.0,452900000.0,452900000.0,452900000.0
CAG,2010,Q1,0.37,0.37,0.19,0.37,88800000.0,165200000.0,163000000.0,2200000.0,165900000.0,-700000.0,2180100000.0,2886300000.0,0.0,0.0,0.0,421900000.0,2180100000.0,706200000.0,41400000.0,421900000.0,284300000.0,-41400000.0,242900000.0,2886300000.0,443200000.0,443200000.0,443200000.0
CAG,2010,Q2,0.54,0.54,0.2,0.54,114100000.0,239200000.0,237800000.0,1400000.0,239700000.0,-500000.0,2257500000.0,3100100000.0,0.0,0.0,0.0,456100000.0,2257500000.0,842600000.0,40500000.0,456100000.0,386500000.0,-40500000.0,346000000.0,3100100000.0,443200000.0,443200000.0,443200000.0
CAG,2010,Q3,0.52,0.52,0.2,0.51,102600000.0,228700000.0,221000000.0,7700000.0,229600000.0,-900000.0,2251900000.0,3030500000.0,0.0,0.0,0.0,418200000.0,2251900000.0,778600000.0,39700000.0,418200000.0,360400000.0,-39700000.0,320700000.0,3030500000.0,444000000.0,444000000.0,444000000.0
CAG,2010,Q4,-0.05,-0.05,0.2,-0.05,-13200000.0,-22100000.0,8500000.0,-30600000.0,-21700000.0,-400000.0,2276800000.0,2998000000.0,0.0,0.0,0.0,691500000.0,2276800000.0,721200000.0,38800000.0,691500000.0,29700000.0,-38800000.0,-9100000.0,2998000000.0,443600000.0,443600000.0,443600000.0
CAG,2010,FY,1.38,1.38,0.79,1.37,292300000.0,611000000.0,630300000.0,-19300000.0,613500000.0,-2500000.0,8966300000.0,12014900000.0,0.0,0.0,0.0,1987700000.0,8966300000.0,3048600000.0,160400000.0,1987700000.0,1060900000.0,-160400000.0,900500000.0,12014900000.0,443600000.0,443600000.0,443600000.0
CAG,2011,Q1,0.33,0.33,0.2,0.33,66900000.0,146300000.0,143300000.0,3000000.0,146400000.0,-100000.0,2153000000.0,2804300000.0,0.0,0.0,0.0,410000000.0,2153000000.0,651300000.0,37300000.0,410000000.0,241300000.0,-37300000.0,204000000.0,2804300000.0,441500000.0,441500000.0,441500000.0
CAG,2011,Q2,0.46,0.46,0.23,0.45,101400000.0,201800000.0,201200000.0,600000.0,200900000.0,900000.0,2387500000.0,3147500000.0,0.0,0.0,0.0,428300000.0,2387500000.0,760000000.0,33700000.0,428300000.0,331700000.0,-33700000.0,298000000.0,3147500000.0,437800000.0,437800000.0,437800000.0
CAG,2011,Q3,0.5,0.5,0.23,0.5,122500000.0,215100000.0,225700000.0,-10600000.0,214800000.0,300000.0,2344000000.0,3141300000.0,0.0,0.0,0.0,404100000.0,2344000000.0,797300000.0,51600000.0,404100000.0,393200000.0,-51600000.0,341600000.0,3141300000.0,428400000.0,428400000.0,428400000.0
CAG,2011,Q4,0.61,0.61,0.23,0.6,130800000.0,256200000.0,260700000.0,-4500000.0,255500000.0,700000.0,2599000000.0,3293000000.0,0.0,0.0,0.0,256600000.0,2599000000.0,694000000.0,54900000.0,256600000.0,437400000.0,-54900000.0,382500000.0,3293000000.0,429700000.0,429700000.0,429700000.0
CAG,2011,FY,1.9,1.9,0.89,1.88,421600000.0,819400000.0,830900000.0,-11500000.0,817600000.0,1800000.0,9483500000.0,12386100000.0,0.0,0.0,0.0,1499000000.0,9483500000.0,2902600000.0,177500000.0,1499000000.0,1403600000.0,-177500000.0,1226100000.0,12386100000.0,429700000.0,429700000.0,429700000.0
CAG,2012,Q1,0.23,0.23,0.23,0.22,48700000.0,94100000.0,94000000.0,100000.0,93800000.0,300000.0,2509300000.0,3105300000.0,0.0,0.0,0.0,406600000.0,2509300000.0,596000000.0,52900000.0,406600000.0,189400000.0,-52900000.0,136500000.0,3105300000.0,412700000.0,412700000.0,412700000.0
CAG,2012,Q2,0.43,0.43,0.24,0.43,92900000.0,183100000.0,183100000.0,0.0,180200000.0,2900000.0,2677700000.0,3431700000.0,0.0,0.0,0.0,438900000.0,2677700000.0,754000000.0,50600000.0,438900000.0,315100000.0,-50600000.0,264500000.0,3431700000.0,413600000.0,413600000.0,413600000.0
CAG,2012,Q3,0.68,0.68,0.24,0.67,112100000.0,280700000.0,280700000.0,0.0,280100000.0,600000.0,2609400000.0,3396000000.0,0.0,0.0,0.0,356700000.0,2609400000.0,786600000.0,49700000.0,356700000.0,429900000.0,-49700000.0,380200000.0,3396000000.0,414300000.0,414300000.0,414300000.0
CAG,2012,Q4,-0.21,-0.21,0.24,-0.2,-62000000.0,-83500000.0,-89900000.0,6400000.0,-86200000.0,2700000.0,2735700000.0,3398100000.0,0.0,0.0,0.0,778100000.0,2735700000.0,662400000.0,50800000.0,778100000.0,-115700000.0,-50800000.0,-166500000.0,3398100000.0,412900000.0,412900000.0,412900000.0
CAG,2012,FY,1.13,1.13,0.95,1.12,191700000.0,474400000.0,467900000.0,6500000.0,467900000.0,6500000.0,10532100000.0,13331100000.0,0.0,0.0,0.0,1980300000.0,10532100000.0,2799000000.0,204000000.0,1980300000.0,818700000.0,-204000000.0,614700000.0,13331100000.0,412900000.0,412900000.0,412900000.0
CAG,2013,Q1,0.61,0.61,0.24,0.61,123800000.0,252200000.0,252600000.0,-400000.0,250100000.0,2100000.0,2433700000.0,3302300000.0,0.0,0.0,0.0,450500000.0,2433700000.0,868600000.0,49300000.0,450500000.0,418100000.0,-49300000.0,368800000.0,3302300000.0,407100000.0,407100000.0,407100000.0
CAG,2013,Q2,0.52,0.52,0.25,0.51,109700000.0,216500000.0,217500000.0,-1000000.0,211600000.0,4900000.0,2865600000.0,3727200000.0,0.0,0.0,0.0,493800000.0,2865600000.0,861600000.0,53400000.0,493800000.0,367800000.0,-53400000.0,314400000.0,3727200000.0,405900000.0,405900000.0,405900000.0
