ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
CA,2009,Q1,0.38,0.38,0.0,0.37,101000000.0,196000000.0,196000000.0,0.0,196000000.0,0.0,154000000.0,1058000000.0,0.0,0.0,0.0,122000000.0,154000000.0,933000000.0,11000000.0,625000000.0,308000000.0,-11000000.0,297000000.0,1087000000.0,515800000.0,512000000.0,536000000.0
CA,2009,Q2,0.39,0.39,0.0,0.39,115000000.0,202000000.0,202000000.0,0.0,202000000.0,0.0,164000000.0,1069000000.0,0.0,0.0,0.0,110000000.0,164000000.0,943000000.0,13000000.0,613000000.0,330000000.0,-13000000.0,317000000.0,1107000000.0,517900000.0,514000000.0,538000000.0
CA,2009,Q3,0.4,0.4,0.0,0.39,85000000.0,208000000.0,208000000.0,0.0,208000000.0,0.0,146000000.0,1006000000.0,0.0,0.0,0.0,110000000.0,146000000.0,896000000.0,16000000.0,587000000.0,309000000.0,-16000000.0,293000000.0,1042000000.0,520000000.0,514000000.0,538000000.0
CA,2009,Q4,0.12,0.12,0.16,0.14,87000000.0,65000000.0,55000000.0,10000000.0,65000000.0,0.0,83000000.0,864000000.0,0.0,0.0,0.0,384000000.0,83000000.0,819000000.0,22000000.0,655000000.0,164000000.0,-22000000.0,142000000.0,902000000.0,520200000.0,513000000.0,537000000.0
CA,2009,FY,1.29,1.29,0.16,1.29,388000000.0,671000000.0,661000000.0,10000000.0,671000000.0,0.0,547000000.0,3997000000.0,0.0,0.0,0.0,463000000.0,547000000.0,3591000000.0,62000000.0,2480000000.0,1111000000.0,-62000000.0,1049000000.0,4138000000.0,520200000.0,513000000.0,537000000.0
CA,2010,Q1,0.37,0.37,0.04,0.37,113000000.0,195000000.0,195000000.0,0.0,195000000.0,0.0,132000000.0,1011000000.0,0.0,0.0,0.0,110000000.0,132000000.0,912000000.0,17000000.0,587000000.0,325000000.0,-17000000.0,308000000.0,1044000000.0,527000000.0,516000000.0,540000000.0
CA,2010,Q2,0.42,0.42,0.04,0.41,99000000.0,218000000.0,218000000.0,0.0,218000000.0,0.0,131000000.0,1039000000.0,0.0,0.0,0.0,119000000.0,131000000.0,936000000.0,22000000.0,597000000.0,339000000.0,-22000000.0,317000000.0,1067000000.0,519000000.0,518000000.0,542000000.0
CA,2010,Q3,0.49,0.49,0.04,0.49,71000000.0,257000000.0,256000000.0,1000000.0,257000000.0,0.0,139000000.0,1068000000.0,0.0,0.0,0.0,129000000.0,139000000.0,983000000.0,23000000.0,633000000.0,350000000.0,-23000000.0,327000000.0,1122000000.0,524500000.0,515000000.0,535000000.0
CA,2010,Q4,0.2,0.2,-0.12,0.2,110000000.0,101000000.0,90000000.0,11000000.0,101000000.0,0.0,111000000.0,935000000.0,0.0,0.0,0.0,452000000.0,111000000.0,883000000.0,14000000.0,669000000.0,214000000.0,-14000000.0,200000000.0,994000000.0,520900000.0,515000000.0,533000000.0
CA,2010,FY,1.48,1.48,0.0,1.47,393000000.0,771000000.0,759000000.0,12000000.0,771000000.0,0.0,513000000.0,4053000000.0,0.0,0.0,0.0,485000000.0,513000000.0,3714000000.0,76000000.0,2486000000.0,1228000000.0,-76000000.0,1152000000.0,4227000000.0,520900000.0,515000000.0,533000000.0
