ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
CF,2009,Q1,1.29,1.29,0.1,1.28,41200000.0,83000000.0,83000000.0,0.0,62700000.0,20300000.0,518300000.0,680600000.0,0.0,300000.0,0.0,38600000.0,518300000.0,162300000.0,400000.0,38600000.0,123700000.0,1200000.0,124900000.0,680600000.0,48600000.0,48400000.0,49100000.0
CF,2009,Q2,4.4,4.4,0.1,4.33,146800000.0,248200000.0,248200000.0,0.0,213000000.0,35200000.0,564000000.0,991000000.0,0.0,100000.0,0.0,31800000.0,564000000.0,427000000.0,300000.0,31800000.0,395200000.0,500000.0,395700000.0,991000000.0,48400000.0,48400000.0,49200000.0
CF,2009,Q3,0.79,0.79,0.1,0.78,32100000.0,60000000.0,60000000.0,0.0,38500000.0,21500000.0,306100000.0,430100000.0,0.0,0.0,0.0,34200000.0,306100000.0,124000000.0,400000.0,34200000.0,89800000.0,1700000.0,91500000.0,430100000.0,48700000.0,48500000.0,49300000.0
CF,2009,Q4,1.06,1.06,0.1,1.03,25900000.0,57300000.0,57300000.0,0.0,51400000.0,5900000.0,380600000.0,506700000.0,0.0,12400000.0,0.0,55000000.0,380600000.0,126100000.0,400000.0,55000000.0,71100000.0,12400000.0,83500000.0,506700000.0,48500000.0,48500000.0,49200000.0
CF,2009,FY,7.54,7.54,0.4,7.42,246000000.0,448500000.0,448500000.0,0.0,365600000.0,82900000.0,1769000000.0,2608400000.0,0.0,12800000.0,0.0,159600000.0,1769000000.0,839400000.0,1500000.0,159600000.0,679800000.0,15800000.0,695600000.0,2608400000.0,48500000.0,48500000.0,49200000.0
CF,2010,Q1,-0.09,-0.09,0.1,-0.09,-4400000.0,6200000.0,6200000.0,0.0,-4400000.0,10600000.0,373400000.0,502400000.0,0.0,28300000.0,0.0,155500000.0,373400000.0,129000000.0,400000.0,155500000.0,-26500000.0,28200000.0,1700000.0,502400000.0,48900000.0,48600000.0,48600000.0
CF,2010,Q2,1.56,1.56,0.1,1.54,89900000.0,136600000.0,136600000.0,0.0,105100000.0,31500000.0,911100000.0,1307900000.0,0.0,-200000.0,0.0,38600000.0,911100000.0,396800000.0,128900000.0,46400000.0,350400000.0,-128700000.0,221700000.0,1307900000.0,67400000.0,67400000.0,68200000.0
CF,2010,Q3,0.68,0.68,0.1,0.67,18900000.0,71200000.0,71200000.0,0.0,48200000.0,23000000.0,747300000.0,917100000.0,0.0,500000.0,0.0,30100000.0,747300000.0,169800000.0,58300000.0,33000000.0,136800000.0,-57500000.0,79300000.0,917100000.0,70900000.0,71100000.0,71900000.0
CF,2010,Q4,3.25,3.25,0.1,3.22,169300000.0,226700000.0,226700000.0,0.0,200300000.0,26400000.0,753700000.0,1237600000.0,0.0,200000.0,0.0,48600000.0,753700000.0,483900000.0,50700000.0,48900000.0,435000000.0,-50000000.0,385000000.0,1237600000.0,64700000.0,64700000.0,65400000.0
CF,2010,FY,5.4,5.4,0.4,5.34,273700000.0,440700000.0,440700000.0,0.0,349200000.0,91500000.0,2785500000.0,3965000000.0,0.0,28800000.0,0.0,272800000.0,2785500000.0,1179500000.0,238300000.0,283800000.0,895700000.0,-208000000.0,687700000.0,3965000000.0,64700000.0,64700000.0,65400000.0
CF,2011,Q1,3.95,3.95,0.1,3.91,158800000.0,332600000.0,332600000.0,0.0,282000000.0,50600000.0,649000000.0,1174000000.0,0.0,300000.0,0.0,0.0,649000000.0,525000000.0,52100000.0,-9400000.0,534400000.0,-51500000.0,482900000.0,1174000000.0,71400000.0,71300000.0,72100000.0
CF,2011,Q2,6.81,6.81,0.1,6.75,281000000.0,543800000.0,543800000.0,0.0,487400000.0,56400000.0,934300000.0,1801700000.0,0.0,200000.0,0.0,35600000.0,934300000.0,867400000.0,30800000.0,22700000.0,844700000.0,-29700000.0,815000000.0,1801700000.0,71600000.0,71600000.0,72200000.0
CF,2011,Q3,4.77,4.77,0.4,4.73,184900000.0,382400000.0,382400000.0,0.0,330900000.0,51500000.0,765800000.0,1403800000.0,0.0,100000.0,0.0,69900000.0,765800000.0,638000000.0,32100000.0,55700000.0,582300000.0,-31700000.0,550600000.0,1403800000.0,69400000.0,69400000.0,69900000.0
CF,2011,Q4,6.65,6.65,0.4,6.59,301800000.0,502200000.0,502200000.0,0.0,438900000.0,63300000.0,853200000.0,1718400000.0,0.0,0.0,0.0,45400000.0,853200000.0,865200000.0,32200000.0,36100000.0,829100000.0,-32000000.0,797100000.0,1718400000.0,69400000.0,69400000.0,70000000.0
CF,2011,FY,22.18,22.18,1.0,21.98,926500000.0,1761000000.0,1761000000.0,0.0,1539200000.0,221800000.0,3202300000.0,6097900000.0,0.0,600000.0,0.0,150900000.0,3202300000.0,2895600000.0,147200000.0,105100000.0,2790500000.0,-144900000.0,2645600000.0,6097900000.0,69400000.0,69400000.0,70000000.0
CF,2012,Q1,5.62,5.62,0.4,5.54,206800000.0,431700000.0,431700000.0,0.0,368400000.0,63300000.0,815800000.0,1527600000.0,0.0,100000.0,0.0,56100000.0,815800000.0,711800000.0,30900000.0,40600000.0,671200000.0,-30400000.0,640800000.0,1527600000.0,65600000.0,65500000.0,66500000.0
CF,2012,Q2,9.42,9.42,0.4,9.31,309200000.0,678300000.0,678300000.0,0.0,606300000.0,72000000.0,692300000.0,1735600000.0,0.0,600000.0,0.0,52100000.0,692300000.0,1043300000.0,45300000.0,38300000.0,1005000000.0,-44700000.0,960300000.0,1735600000.0,64400000.0,64300000.0,65200000.0
CF,2012,Q3,6.43,6.43,0.4,6.35,206000000.0,458100000.0,458100000.0,0.0,403300000.0,54800000.0,657400000.0,1359400000.0,0.0,200000.0,0.0,45100000.0,657400000.0,702000000.0,28700000.0,34900000.0,667100000.0,-26900000.0,640200000.0,1359400000.0,62700000.0,62800000.0,63500000.0
CF,2012,Q4,7.37,7.37,0.69,7.37,242200000.0,355300000.0,355300000.0,0.0,470700000.0,-115400000.0,825200000.0,1481400000.0,0.0,200000.0,0.0,47600000.0,825200000.0,656200000.0,30400000.0,40100000.0,616100000.0,-27900000.0,588200000.0,1481400000.0,63900000.0,63900000.0,64700000.0
CF,2012,FY,28.94,28.94,1.6,28.59,964200000.0,1923400000.0,1923400000.0,0.0,1848700000.0,74700000.0,2990700000.0,6104000000.0,0.0,1100000.0,0.0,200900000.0,2990700000.0,3113300000.0,135300000.0,153900000.0,2959400000.0,-129900000.0,2829500000.0,6104000000.0,63900000.0,63900000.0,64700000.0
CF,2013,Q1,6.53,6.53,0.4,6.47,107400000.0,429400000.0,429400000.0,0.0,406500000.0,22900000.0,661400000.0,1336500000.0,0.0,-54700000.0,0.0,58900000.0,661400000.0,675100000.0,39100000.0,47300000.0,627800000.0,-91700000.0,536100000.0,1336500000.0,62300000.0,62300000.0,62800000.0
CF,2013,Q2,8.43,8.43,0.4,8.38,282900000.0,518100000.0,518100000.0,0.0,498200000.0,19900000.0,849700000.0,1714900000.0,0.0,300000.0,0.0,41000000.0,849700000.0,865200000.0,32300000.0,31500000.0,833700000.0,-31000000.0,802700000.0,1714900000.0,59100000.0,59100000.0,59500000.0
CF,2013,Q3,4.09,4.09,0.4,4.07,109000000.0,243900000.0,243900000.0,0.0,234100000.0,9800000.0,710900000.0,1097000000.0,0.0,300000.0,0.0,11900000.0,710900000.0,386100000.0,41000000.0,700000.0,385400000.0,-39700000.0,345700000.0,1097000000.0,57200000.0,57300000.0,57500000.0
CF,2013,Q4,1.11,1.11,0.23,1.11,187200000.0,341400000.0,341400000.0,0.0,325800000.0,15600000.0,732500000.0,1326300000.0,0.0,-400000.0,0.0,38400000.0,732500000.0,593800000.0,39800000.0,29000000.0,564800000.0,-39600000.0,525200000.0,1326300000.0,294700000.0,294400000.0,296000000.0
CF,2013,FY,4.97,4.97,0.44,4.95,686500000.0,1532800000.0,1532800000.0,0.0,1464600000.0,68200000.0,2954500000.0,5474700000.0,0.0,-54500000.0,0.0,150200000.0,2954500000.0,2520200000.0,152200000.0,108500000.0,2411700000.0,-202000000.0,2209700000.0,5474700000.0,294700000.0,294400000.0,296000000.0
CF,2014,Q1,12.94,12.94,1.0,12.9,413200000.0,720400000.0,720400000.0,0.0,708500000.0,11900000.0,689800000.0,1132600000.0,0.0,747200000.0,0.0,35900000.0,689800000.0,442800000.0,40000000.0,20100000.0,422700000.0,707400000.0,1130100000.0,1132600000.0,54800000.0,54800000.0,54900000.0
CF,2014,Q2,1.22,1.22,0.2,1.22,157200000.0,324700000.0,324700000.0,0.0,312600000.0,12100000.0,882400000.0,1472700000.0,0.0,-700000.0,0.0,61100000.0,882400000.0,590300000.0,50700000.0,59000000.0,531300000.0,-51100000.0,480200000.0,1472700000.0,256200000.0,255300000.0,256000000.0
CF,2014,Q3,0.53,0.53,0.3,0.52,70500000.0,140600000.0,140600000.0,0.0,130900000.0,9700000.0,620300000.0,921400000.0,0.0,100000.0,0.0,63900000.0,620300000.0,301100000.0,46400000.0,54500000.0,246600000.0,-46100000.0,200500000.0,921400000.0,247000000.0,248400000.0,249300000.0
CF,2014,Q4,0.93,0.93,0.32,0.93,132100000.0,251300000.0,251300000.0,0.0,238000000.0,13300000.0,772500000.0,1216300000.0,0.0,1400000.0,0.0,44100000.0,772500000.0,443800000.0,40900000.0,28400000.0,415400000.0,-39200000.0,376200000.0,1216300000.0,256000000.0,255900000.0,256700000.0
CF,2014,FY,5.43,5.43,1.0,5.42,773000000.0,1437000000.0,1437000000.0,0.0,1390000000.0,47000000.0,2965000000.0,4743000000.0,0.0,748000000.0,0.0,205000000.0,2965000000.0,1778000000.0,178000000.0,162000000.0,1616000000.0,571000000.0,2187000000.0,4743000000.0,256000000.0,255900000.0,256700000.0
CF,2015,Q1,0.96,0.96,0.3,0.96,113000000.0,236000000.0,236000000.0,0.0,231000000.0,5000000.0,538000000.0,954000000.0,0.0,0.0,0.0,58000000.0,538000000.0,416000000.0,34000000.0,49000000.0,367000000.0,-33000000.0,334000000.0,954000000.0,240600000.0,239700000.0,240600000.0
CF,2015,Q2,1.5,1.5,0.3,1.49,200000000.0,365000000.0,365000000.0,0.0,352000000.0,13000000.0,625000000.0,1311000000.0,0.0,0.0,0.0,61000000.0,625000000.0,686000000.0,29000000.0,56000000.0,630000000.0,-29000000.0,601000000.0,1311000000.0,234700000.0,235200000.0,236100000.0
CF,2015,Q3,0.39,0.39,0.3,0.39,20000000.0,97000000.0,97000000.0,0.0,90000000.0,7000000.0,763000000.0,928000000.0,0.0,-5000000.0,0.0,75000000.0,763000000.0,165000000.0,30000000.0,106000000.0,59000000.0,-35000000.0,24000000.0,928000000.0,230800000.0,233100000.0,234000000.0
CF,2015,Q4,0.11,0.11,0.35,0.11,63000000.0,36000000.0,36000000.0,0.0,27000000.0,9000000.0,835000000.0,1115000000.0,0.0,1000000.0,0.0,68000000.0,835000000.0,280000000.0,40000000.0,143000000.0,137000000.0,-38000000.0,99000000.0,1115000000.0,235700000.0,235300000.0,236100000.0
CF,2015,FY,2.97,2.97,1.2,2.96,396000000.0,734000000.0,734000000.0,0.0,700000000.0,34000000.0,2761000000.0,4308000000.0,0.0,-4000000.0,0.0,262000000.0,2761000000.0,1547000000.0,133000000.0,354000000.0,1193000000.0,-135000000.0,1058000000.0,4308000000.0,235700000.0,235300000.0,236100000.0
CF,2016,Q1,0.11,0.11,0.3,0.11,15000000.0,47000000.0,47000000.0,0.0,26000000.0,21000000.0,787000000.0,1004000000.0,0.0,2000000.0,0.0,106000000.0,787000000.0,217000000.0,38000000.0,120000000.0,97000000.0,-35000000.0,62000000.0,1004000000.0,236400000.0,233200000.0,233500000.0
CF,2016,Q2,0.2,0.2,0.3,0.2,95000000.0,83000000.0,83000000.0,0.0,47000000.0,36000000.0,607000000.0,1134000000.0,0.0,0.0,0.0,115000000.0,607000000.0,527000000.0,61000000.0,289000000.0,238000000.0,-60000000.0,178000000.0,1134000000.0,235000000.0,233300000.0,233500000.0
CF,2016,Q3,-0.13,-0.13,0.3,-0.13,-131000000.0,0.0,0.0,0.0,-30000000.0,30000000.0,678000000.0,680000000.0,0.0,-1000000.0,0.0,101000000.0,678000000.0,2000000.0,31000000.0,103000000.0,-101000000.0,-30000000.0,-131000000.0,680000000.0,230800000.0,233100000.0,233100000.0
