ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,totalcostofrevenue,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
CHD,2010,Q1,1.13,1.13,0.14,1.11,45400000.0,80000000.0,80000000.0,0.0,80000000.0,0.0,349100000.0,634600000.0,0.0,200000.0,0.0,84600000.0,349100000.0,285500000.0,8200000.0,153500000.0,132000000.0,-6600000.0,125400000.0,634600000.0,70796000.0,70800000.0,72000000.0
CHD,2010,Q2,0.52,0.52,0.07,0.51,42100000.0,74300000.0,74300000.0,0.0,74300000.0,0.0,350000000.0,640900000.0,0.0,0.0,0.0,88100000.0,350000000.0,290900000.0,5300000.0,170900000.0,120000000.0,-3600000.0,116400000.0,640900000.0,142885000.0,142000000.0,144400000.0
CHD,2010,Q3,0.49,0.49,0.09,0.48,36400000.0,69500000.0,69500000.0,0.0,69500000.0,0.0,367900000.0,656900000.0,0.0,-100000.0,0.0,85800000.0,367900000.0,289000000.0,8000000.0,176000000.0,113000000.0,-7100000.0,105900000.0,656900000.0,141837000.0,142200000.0,144400000.0
CHD,2010,Q4,0.33,0.33,0.09,0.33,23700000.0,46900000.0,46900000.0,0.0,46900000.0,0.0,364400000.0,656800000.0,0.0,-4600000.0,0.0,116300000.0,364400000.0,292400000.0,6300000.0,212400000.0,80000000.0,-9400000.0,70600000.0,656800000.0,141700000.0,142000000.0,144400000.0
CHD,2010,FY,1.91,1.91,0.31,1.87,147600000.0,270700000.0,270700000.0,0.0,270700000.0,0.0,1431400000.0,2589200000.0,0.0,-4500000.0,0.0,374800000.0,1431400000.0,1157800000.0,27800000.0,712800000.0,445000000.0,-26700000.0,418300000.0,2589200000.0,141700000.0,142000000.0,144400000.0
CHD,2011,Q1,0.59,0.59,0.17,0.58,48000000.0,83600000.0,83600000.0,0.0,83600000.0,0.0,354200000.0,642300000.0,0.0,500000.0,0.0,87800000.0,354200000.0,288100000.0,2700000.0,157000000.0,131100000.0,500000.0,131600000.0,642300000.0,141695000.0,142800000.0,145300000.0
CHD,2011,Q2,0.58,0.58,0.17,0.57,36400000.0,82600000.0,82600000.0,0.0,82600000.0,0.0,374900000.0,674900000.0,0.0,300000.0,0.0,94700000.0,374900000.0,300000000.0,2600000.0,182200000.0,117800000.0,1200000.0,119000000.0,674900000.0,142414000.0,143300000.0,145900000.0
CHD,2011,Q3,0.55,0.55,0.17,0.54,46400000.0,79600000.0,79600000.0,0.0,79600000.0,0.0,391100000.0,701000000.0,0.0,-1600000.0,0.0,91800000.0,391100000.0,309900000.0,2200000.0,183600000.0,126300000.0,-300000.0,126000000.0,701000000.0,144727000.0,143700000.0,146300000.0
CHD,2011,Q4,0.45,0.45,0.17,0.45,54200000.0,63800000.0,63800000.0,0.0,63800000.0,0.0,414600000.0,731100000.0,0.0,-400000.0,0.0,93500000.0,414600000.0,316500000.0,1200000.0,199100000.0,117400000.0,600000.0,118000000.0,731100000.0,143300000.0,143200000.0,145800000.0
CHD,2011,FY,2.16,2.16,0.68,2.12,185000000.0,309600000.0,309600000.0,0.0,309600000.0,0.0,1534800000.0,2749300000.0,0.0,-1200000.0,0.0,367800000.0,1534800000.0,1214500000.0,8700000.0,721900000.0,492600000.0,2000000.0,494600000.0,2749300000.0,143300000.0,143200000.0,145800000.0
