ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
COF,2009,Q1,-0.44,-0.44,0.38,-0.44,-58490000.0,-108062000.0,-83104000.0,-24958000.0,-172252000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857021000.0,0.0,0.0,0.0,-141594000.0,2882832000.0,391500000.0,391500000.0,391500000.0
COF,2009,Q2,-0.66,-0.66,0.05,-0.66,92000000.0,223000000.0,229000000.0,-6000000.0,-277000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772000000.0,0.0,0.0,0.0,321000000.0,3177000000.0,422000000.0,422000000.0,422000000.0
COF,2009,Q3,0.88,0.88,0.05,0.87,146000000.0,394000000.0,437000000.0,-43000000.0,394000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697000000.0,0.0,0.0,0.0,583000000.0,3558000000.0,449000000.0,449000000.0,449000000.0
COF,2009,Q4,0.97,0.97,0.05,0.97,169490000.0,375062000.0,404104000.0,-29042000.0,375252000.0,0.0,0.0,0.0,0.0,0.0,564000000.0,0.0,0.0,0.0,640979000.0,0.0,0.0,0.0,573594000.0,3365168000.0,428000000.0,428000000.0,428000000.0
COF,2009,FY,0.75,0.75,0.53,0.74,349000000.0,884000000.0,987000000.0,-103000000.0,320000000.0,0.0,0.0,0.0,0.0,0.0,564000000.0,0.0,0.0,0.0,2967000000.0,0.0,0.0,0.0,1336000000.0,12983000000.0,428000000.0,428000000.0,428000000.0
COF,2010,Q1,1.41,1.41,0.05,1.4,244000000.0,636000000.0,720000000.0,-84000000.0,636000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802000000.0,0.0,0.0,0.0,964000000.0,4289000000.0,451000000.0,451000000.0,451000000.0
COF,2010,Q2,1.34,1.34,0.05,1.33,369000000.0,608000000.0,812000000.0,-204000000.0,608000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738000000.0,0.0,0.0,0.0,1181000000.0,3904000000.0,452000000.0,452000000.0,452000000.0
COF,2010,Q3,1.78,1.78,0.05,1.76,335000000.0,803000000.0,818000000.0,-15000000.0,803000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706000000.0,0.0,0.0,0.0,1153000000.0,4016000000.0,453000000.0,453000000.0,453000000.0
COF,2010,Q4,1.54,1.54,0.05,1.52,332000000.0,696000000.0,700000000.0,-4000000.0,696000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650000000.0,0.0,0.0,0.0,1032000000.0,3962000000.0,452000000.0,452000000.0,452000000.0
COF,2010,FY,6.07,6.07,0.2,6.01,1280000000.0,2743000000.0,3050000000.0,-307000000.0,2743000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2896000000.0,0.0,0.0,0.0,4330000000.0,16171000000.0,452000000.0,452000000.0,452000000.0
COF,2011,Q1,2.24,2.24,0.05,2.21,354000000.0,1016000000.0,1032000000.0,-16000000.0,1016000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612000000.0,0.0,0.0,0.0,1386000000.0,4082000000.0,454000000.0,454000000.0,454000000.0
COF,2011,Q2,2.0,2.0,0.05,1.97,450000000.0,911000000.0,945000000.0,-34000000.0,911000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563000000.0,0.0,0.0,0.0,1395000000.0,3993000000.0,456000000.0,456000000.0,456000000.0
COF,2011,Q3,1.78,1.78,0.05,1.77,370000000.0,813000000.0,865000000.0,-52000000.0,813000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552000000.0,0.0,0.0,0.0,1235000000.0,4154000000.0,456000000.0,456000000.0,456000000.0
COF,2011,Q4,0.83,0.83,0.05,0.85,160000000.0,407000000.0,411000000.0,-4000000.0,381000000.0,26000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519000000.0,0.0,0.0,0.0,571000000.0,4050000000.0,455500000.0,455500000.0,455500000.0
COF,2011,FY,6.85,6.85,0.2,6.8,1334000000.0,3147000000.0,3253000000.0,-106000000.0,3121000000.0,26000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246000000.0,0.0,0.0,0.0,4587000000.0,16279000000.0,455500000.0,455500000.0,455500000.0
COF,2012,Q1,2.74,2.74,0.05,2.72,353000000.0,1403000000.0,1505000000.0,-102000000.0,1396000000.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565000000.0,0.0,0.0,0.0,1858000000.0,4935000000.0,509000000.0,509000000.0,509000000.0
COF,2012,Q2,0.16,0.16,0.05,0.16,43000000.0,93000000.0,193000000.0,-100000000.0,92000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615000000.0,0.0,0.0,0.0,236000000.0,5055000000.0,578000000.0,578000000.0,578000000.0
COF,2012,Q3,2.03,2.03,0.05,2.01,535000000.0,1178000000.0,1188000000.0,-10000000.0,1173000000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608000000.0,0.0,0.0,0.0,1723000000.0,5782000000.0,578300000.0,578300000.0,578300000.0
COF,2012,Q4,1.24,1.24,0.05,1.22,544000000.0,818000000.0,823000000.0,-5000000.0,801000000.0,2000000.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,587000000.0,0.0,0.0,0.0,1367000000.0,5624000000.0,561100000.0,561100000.0,561100000.0
COF,2012,FY,6.17,6.17,0.2,6.11,1475000000.0,3492000000.0,3709000000.0,-217000000.0,3462000000.0,15000000.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,2375000000.0,0.0,0.0,0.0,5184000000.0,21396000000.0,561100000.0,561100000.0,561100000.0
COF,2013,Q1,1.79,1.79,-0.05,1.77,541000000.0,1056000000.0,1134000000.0,-78000000.0,1038000000.0,5000000.0,0.0,0.0,0.0,0.0,13000000.0,0.0,0.0,0.0,481000000.0,0.0,0.0,0.0,1675000000.0,5551000000.0,580500000.0,580500000.0,580500000.0
COF,2013,Q2,1.88,1.88,-0.3,1.85,631000000.0,1108000000.0,1227000000.0,-119000000.0,1091000000.0,4000000.0,0.0,0.0,0.0,0.0,13000000.0,0.0,0.0,0.0,457000000.0,0.0,0.0,0.0,1858000000.0,5638000000.0,581500000.0,581500000.0,581500000.0
COF,2013,Q3,1.87,1.87,0.3,1.84,575000000.0,1105000000.0,1118000000.0,-13000000.0,1087000000.0,5000000.0,0.0,0.0,0.0,0.0,13000000.0,0.0,0.0,0.0,438000000.0,0.0,0.0,0.0,1693000000.0,5651000000.0,582300000.0,582300000.0,582300000.0
COF,2013,Q4,1.45,1.45,1.0,1.43,477000000.0,852000000.0,875000000.0,-23000000.0,835000000.0,3000000.0,0.0,0.0,0.0,0.0,14000000.0,0.0,0.0,0.0,416000000.0,0.0,0.0,0.0,1352000000.0,5544000000.0,579700000.0,579700000.0,579700000.0
COF,2013,FY,6.99,6.99,0.95,6.89,2224000000.0,4121000000.0,4354000000.0,-233000000.0,4051000000.0,17000000.0,0.0,0.0,0.0,0.0,53000000.0,0.0,0.0,0.0,1792000000.0,0.0,0.0,0.0,6578000000.0,22384000000.0,579700000.0,579700000.0,579700000.0
COF,2014,Q1,1.99,1.99,0.3,1.96,579000000.0,1154000000.0,1124000000.0,30000000.0,1136000000.0,5000000.0,0.0,0.0,0.0,0.0,13000000.0,0.0,0.0,0.0,403000000.0,0.0,0.0,0.0,1703000000.0,5370000000.0,571000000.0,571000000.0,571000000.0
COF,2014,Q2,2.07,2.07,0.3,2.04,581000000.0,1194000000.0,1204000000.0,-10000000.0,1177000000.0,4000000.0,0.0,0.0,0.0,0.0,13000000.0,0.0,0.0,0.0,397000000.0,0.0,0.0,0.0,1785000000.0,5468000000.0,567500000.0,567500000.0,567500000.0
COF,2014,Q3,1.89,1.89,0.3,1.86,536000000.0,1081000000.0,1125000000.0,-44000000.0,1056000000.0,5000000.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,390000000.0,0.0,0.0,0.0,1661000000.0,5639000000.0,559900000.0,559900000.0,559900000.0
COF,2014,Q4,1.76,1.76,0.3,1.73,450000000.0,999000000.0,970000000.0,29000000.0,974000000.0,4000000.0,0.0,0.0,0.0,0.0,21000000.0,0.0,0.0,0.0,389000000.0,0.0,0.0,0.0,1420000000.0,5813000000.0,563100000.0,563100000.0,563100000.0
COF,2014,FY,7.71,7.71,1.2,7.59,2146000000.0,4428000000.0,4423000000.0,5000000.0,4343000000.0,18000000.0,0.0,0.0,0.0,0.0,67000000.0,0.0,0.0,0.0,1579000000.0,0.0,0.0,0.0,6569000000.0,22290000000.0,563100000.0,563100000.0,563100000.0
COF,2015,Q1,2.03,2.03,0.3,2.0,529000000.0,1153000000.0,1134000000.0,19000000.0,1115000000.0,6000000.0,0.0,0.0,0.0,0.0,32000000.0,0.0,0.0,0.0,398000000.0,0.0,0.0,0.0,1663000000.0,5647000000.0,550200000.0,550200000.0,550200000.0
COF,2015,Q2,1.52,1.52,0.4,1.5,384000000.0,863000000.0,852000000.0,11000000.0,830000000.0,4000000.0,0.0,0.0,0.0,0.0,29000000.0,0.0,0.0,0.0,400000000.0,0.0,0.0,0.0,1236000000.0,5672000000.0,545600000.0,545600000.0,545600000.0
COF,2015,Q3,2.0,2.0,0.4,1.98,530000000.0,1114000000.0,1118000000.0,-4000000.0,1079000000.0,6000000.0,0.0,0.0,0.0,0.0,29000000.0,0.0,0.0,0.0,404000000.0,0.0,0.0,0.0,1648000000.0,5900000000.0,540600000.0,540600000.0,540600000.0
