ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
COG,2009,Q1,0.46,0.46,0.03,0.46,28091000.0,47580000.0,47580000.0,0.0,47580000.0,0.0,55228000.0,232145000.0,0.0,0.0,0.0,17065000.0,55228000.0,178711000.0,14226000.0,88814000.0,89897000.0,-14226000.0,75671000.0,233939000.0,103400000.0,103521000.0,104111000.0
COG,2009,Q2,0.25,0.25,0.03,0.24,13691000.0,25502000.0,25502000.0,0.0,25502000.0,0.0,33757000.0,204127000.0,0.0,0.0,0.0,17117000.0,33757000.0,171067000.0,15046000.0,116828000.0,54239000.0,-15046000.0,39193000.0,204824000.0,102000000.0,103640000.0,104815000.0
COG,2009,Q3,0.38,0.38,0.03,0.37,20969000.0,38897000.0,38897000.0,0.0,38897000.0,0.0,30798000.0,206413000.0,0.0,0.0,0.0,14921000.0,30798000.0,176223000.0,14857000.0,101500000.0,74723000.0,-14857000.0,59866000.0,207021000.0,102400000.0,103647000.0,104917000.0
COG,2009,Q4,0.18,0.18,0.02,0.18,12196000.0,36364000.0,36364000.0,0.0,36364000.0,0.0,55041000.0,246077000.0,0.0,0.0,0.0,19271000.0,55041000.0,192260000.0,14850000.0,128850000.0,63410000.0,-14850000.0,48560000.0,247301000.0,206000000.0,207231942.0,209365494.0
COG,2009,FY,0.72,0.72,0.06,0.71,74947000.0,148343000.0,148343000.0,0.0,148343000.0,0.0,174824000.0,888762000.0,0.0,0.0,0.0,68374000.0,174824000.0,718261000.0,58979000.0,435992000.0,282269000.0,-58979000.0,223290000.0,893085000.0,206000000.0,207231942.0,209365494.0
COG,2010,Q1,0.28,0.28,0.03,0.27,16981000.0,28696000.0,28696000.0,0.0,28696000.0,0.0,48040000.0,214725000.0,0.0,0.0,0.0,15746000.0,48040000.0,168305000.0,14912000.0,107716000.0,60589000.0,-14912000.0,45677000.0,216345000.0,102500000.0,103794000.0,104978000.0
COG,2010,Q2,0.21,0.21,0.03,0.21,14617000.0,21682000.0,21682000.0,0.0,21682000.0,0.0,40907000.0,199087000.0,0.0,0.0,0.0,12853000.0,40907000.0,159334000.0,15769000.0,107266000.0,52068000.0,-15769000.0,36299000.0,200241000.0,103200000.0,103915000.0,104964000.0
COG,2010,Q3,0.04,0.04,0.03,0.04,1617000.0,3898000.0,3898000.0,0.0,3898000.0,0.0,41679000.0,222935000.0,0.0,0.0,0.0,21077000.0,41679000.0,182383000.0,16758000.0,160110000.0,22273000.0,-16758000.0,5515000.0,224062000.0,97500000.0,103955000.0,105225000.0
COG,2010,Q4,0.24,0.24,0.02,0.24,61897000.0,49110000.0,49110000.0,0.0,49110000.0,0.0,44551000.0,221271000.0,0.0,0.0,0.0,29501000.0,44551000.0,177905000.0,20502000.0,46396000.0,131509000.0,-20502000.0,111007000.0,222456000.0,206800000.0,207823000.0,210390000.0
COG,2010,FY,0.5,0.5,0.06,0.49,95112000.0,103386000.0,103386000.0,0.0,103386000.0,0.0,175177000.0,858018000.0,0.0,0.0,0.0,79177000.0,175177000.0,687927000.0,67941000.0,421488000.0,266439000.0,-67941000.0,198498000.0,863104000.0,206800000.0,207823000.0,210390000.0
COG,2011,Q1,0.06,0.06,0.02,0.06,6137000.0,12886000.0,12886000.0,0.0,12886000.0,0.0,55237000.0,207098000.0,0.0,0.0,0.0,24299000.0,55237000.0,153789000.0,17367000.0,117399000.0,36390000.0,-17367000.0,19023000.0,209026000.0,214800000.0,208288000.0,210640000.0
COG,2011,Q2,0.26,0.26,0.02,0.26,33897000.0,54677000.0,54677000.0,0.0,54677000.0,0.0,48449000.0,239471000.0,0.0,0.0,0.0,26006000.0,48449000.0,192247000.0,18044000.0,85629000.0,106618000.0,-18044000.0,88574000.0,240696000.0,210300000.0,208528000.0,210674000.0
COG,2011,Q3,0.14,0.14,0.02,0.14,18234000.0,28482000.0,28482000.0,0.0,28482000.0,0.0,55264000.0,261146000.0,0.0,0.0,0.0,27949000.0,55264000.0,206853000.0,18517000.0,141620000.0,65233000.0,-18517000.0,46716000.0,262117000.0,203400000.0,208570000.0,210920000.0
COG,2011,Q4,0.06,0.06,0.01,0.06,54511000.0,26363000.0,26363000.0,0.0,26363000.0,0.0,65615000.0,265964000.0,0.0,0.0,0.0,26413000.0,65615000.0,202410000.0,17735000.0,103801000.0,98609000.0,-17735000.0,80874000.0,268025000.0,422100000.0,416996000.0,421522000.0
COG,2011,FY,0.29,0.29,0.03,0.29,112779000.0,122408000.0,122408000.0,0.0,122408000.0,0.0,224565000.0,973679000.0,0.0,0.0,0.0,104667000.0,224565000.0,755299000.0,71663000.0,448449000.0,306850000.0,-71663000.0,235187000.0,979864000.0,422100000.0,416996000.0,421522000.0
COG,2012,Q1,0.09,0.09,0.02,0.09,11426000.0,18318000.0,18318000.0,0.0,18318000.0,0.0,69450000.0,270207000.0,0.0,0.0,0.0,22549000.0,69450000.0,202686000.0,16917000.0,156025000.0,46661000.0,-16917000.0,29744000.0,272136000.0,203500000.0,209128000.0,210813000.0
COG,2012,Q2,0.17,0.17,0.02,0.17,23647000.0,35937000.0,35937000.0,0.0,35937000.0,0.0,66695000.0,263666000.0,0.0,0.0,0.0,46872000.0,66695000.0,198962000.0,18495000.0,120883000.0,78079000.0,-18495000.0,59584000.0,265657000.0,211400000.0,209512000.0,211158000.0
COG,2012,Q3,0.09,0.09,0.01,0.09,22948000.0,36608000.0,36608000.0,0.0,36608000.0,0.0,66957000.0,295004000.0,0.0,0.0,0.0,23829000.0,66957000.0,229917000.0,16219000.0,154142000.0,75775000.0,-16219000.0,59556000.0,296874000.0,406800000.0,419312000.0,422452000.0
COG,2012,Q4,0.1,0.1,0.01,0.1,48089000.0,40867000.0,40867000.0,0.0,40867000.0,0.0,86952000.0,367195000.0,0.0,0.0,0.0,27989000.0,86952000.0,282927000.0,16715000.0,177309000.0,105618000.0,-16662000.0,88956000.0,369879000.0,424900000.0,419075000.0,421987000.0
COG,2012,FY,0.31,0.31,0.04,0.31,106110000.0,131730000.0,131730000.0,0.0,131730000.0,0.0,290054000.0,1196072000.0,0.0,0.0,0.0,121239000.0,290054000.0,914492000.0,68346000.0,608359000.0,306133000.0,-68293000.0,237840000.0,1204546000.0,424900000.0,419075000.0,421987000.0
COG,2013,Q1,0.1,0.1,0.01,0.1,27935000.0,42824000.0,42824000.0,0.0,42824000.0,0.0,86107000.0,370341000.0,0.0,0.0,0.0,35704000.0,86107000.0,287178000.0,16255000.0,200164000.0,87014000.0,-16255000.0,70759000.0,373285000.0,428200000.0,420300000.0,422752000.0
COG,2013,Q2,0.21,0.21,0.01,0.21,58921000.0,89114000.0,89114000.0,0.0,89114000.0,0.0,96330000.0,446861000.0,0.0,0.0,0.0,21608000.0,96330000.0,353350000.0,16991000.0,188614000.0,164736000.0,-16701000.0,148035000.0,449680000.0,424400000.0,420698000.0,423490000.0
COG,2013,Q3,0.17,0.17,0.02,0.17,45847000.0,69889000.0,69889000.0,0.0,69889000.0,0.0,99639000.0,433275000.0,0.0,0.0,0.0,24697000.0,99639000.0,336211000.0,16074000.0,204679000.0,131532000.0,-15796000.0,115736000.0,435850000.0,411100000.0,420986000.0,423453000.0
COG,2013,Q4,0.19,0.19,0.02,0.19,73062000.0,77946000.0,77946000.0,0.0,77946000.0,0.0,118205000.0,482653000.0,0.0,0.0,0.0,22597000.0,118205000.0,369258000.0,16724000.0,202060000.0,167198000.0,-16190000.0,151008000.0,487463000.0,417600000.0,420188000.0,422375000.0
COG,2013,FY,0.67,0.67,0.06,0.66,205765000.0,279773000.0,279773000.0,0.0,279773000.0,0.0,400281000.0,1733130000.0,0.0,0.0,0.0,104606000.0,400281000.0,1345997000.0,66044000.0,795517000.0,550480000.0,-64942000.0,485538000.0,1746278000.0,417600000.0,420188000.0,422375000.0
COG,2014,Q1,0.26,0.26,0.02,0.26,70899000.0,107031000.0,107031000.0,0.0,107031000.0,0.0,125459000.0,505106000.0,0.0,0.0,0.0,21636000.0,125459000.0,384344000.0,16557000.0,189857000.0,194487000.0,-16557000.0,177930000.0,509803000.0,411700000.0,416900000.0,418513000.0
COG,2014,Q2,0.28,0.28,0.02,0.28,75899000.0,118420000.0,118420000.0,0.0,118420000.0,0.0,126612000.0,532242000.0,0.0,0.0,0.0,20127000.0,126612000.0,406575000.0,16334000.0,196678000.0,209897000.0,-15578000.0,194319000.0,533187000.0,422900000.0,417291000.0,419092000.0
COG,2014,Q3,0.24,0.24,0.02,0.24,72131000.0,100788000.0,100788000.0,0.0,100788000.0,0.0,129448000.0,437034000.0,0.0,0.0,0.0,19579000.0,129448000.0,382569000.0,17422000.0,193291000.0,189278000.0,-16359000.0,172919000.0,512017000.0,420000000.0,416173000.0,418093000.0
COG,2014,Q4,-0.53,-0.53,0.02,-0.53,-290996000.0,-221771000.0,-221771000.0,0.0,-221771000.0,0.0,143361000.0,464548000.0,0.0,0.0,0.0,21248000.0,143361000.0,474643000.0,23472000.0,965219000.0,-490576000.0,-22211000.0,-512767000.0,618004000.0,417900000.0,415840000.0,417601000.0
COG,2014,FY,0.25,0.25,0.08,0.25,-72067000.0,104468000.0,104468000.0,0.0,104468000.0,0.0,524880000.0,1938930000.0,0.0,0.0,0.0,82590000.0,524880000.0,1648131000.0,73785000.0,1545045000.0,103086000.0,-70705000.0,32401000.0,2173011000.0,417900000.0,415840000.0,417601000.0
COG,2015,Q1,0.1,0.1,0.02,0.1,23474000.0,40255000.0,40255000.0,0.0,40255000.0,0.0,160991000.0,427576000.0,0.0,0.0,0.0,22529000.0,160991000.0,303774000.0,23566000.0,217900000.0,85874000.0,-22145000.0,63729000.0,464765000.0,402600000.0,413344000.0,414771000.0
