ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,totalcostofrevenue,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
COP,2010,Q1,1.41,1.41,0.5,1.4,1878000000.0,2112000000.0,2112000000.0,0.0,2098000000.0,14000000.0,34048000000.0,44821000000.0,4037000000.0,13000000.0,0.0,444000000.0,38085000000.0,6736000000.0,301000000.0,3326000000.0,3410000000.0,580000000.0,3990000000.0,44821000000.0,1487900000.0,1492861000.0,1503565000.0
COP,2010,Q2,2.79,2.79,0.55,2.77,2011000000.0,4183000000.0,4183000000.0,0.0,4164000000.0,19000000.0,34707000000.0,45686000000.0,4247000000.0,50000000.0,0.0,438000000.0,38954000000.0,6732000000.0,349000000.0,1327000000.0,5405000000.0,789000000.0,6194000000.0,45686000000.0,1492500000.0,1489814000.0,1501257000.0
COP,2010,Q3,2.06,2.06,0.55,2.05,2205000000.0,3069000000.0,3069000000.0,0.0,3055000000.0,14000000.0,36634000000.0,47208000000.0,4227000000.0,-51000000.0,0.0,493000000.0,40861000000.0,6347000000.0,264000000.0,1762000000.0,4585000000.0,689000000.0,5274000000.0,47208000000.0,1483000000.0,1481522000.0,1493080000.0
COP,2010,Q4,1.42,1.42,0.55,1.4,1476000000.0,2053000000.0,941000000.0,1112000000.0,2041000000.0,12000000.0,-74308000000.0,-81500000000.0,-9723000000.0,173000000.0,0.0,-566000000.0,-84031000000.0,2531000000.0,253000000.0,-1550000000.0,4081000000.0,-1664000000.0,2417000000.0,-81500000000.0,1478900000.0,1479330000.0,1491067000.0
COP,2010,FY,7.68,7.68,2.15,7.62,7570000000.0,11417000000.0,10305000000.0,1112000000.0,11358000000.0,59000000.0,31081000000.0,56215000000.0,2788000000.0,185000000.0,0.0,809000000.0,33869000000.0,22346000000.0,1167000000.0,4865000000.0,17481000000.0,394000000.0,17875000000.0,56215000000.0,1478900000.0,1479330000.0,1491067000.0
COP,2011,Q1,2.11,2.11,0.66,2.09,2754000000.0,3042000000.0,3042000000.0,0.0,3028000000.0,14000000.0,45004000000.0,56530000000.0,4364000000.0,120000000.0,0.0,499000000.0,49368000000.0,7162000000.0,262000000.0,2241000000.0,4921000000.0,875000000.0,5796000000.0,56530000000.0,1435100000.0,1432285000.0,1445477000.0
COP,2011,Q2,2.43,2.43,0.66,2.41,2214000000.0,3419000000.0,2300000000.0,1119000000.0,3402000000.0,17000000.0,9276000000.0,17176000000.0,1198000000.0,64000000.0,0.0,203000000.0,10474000000.0,6702000000.0,242000000.0,2385000000.0,4317000000.0,197000000.0,4514000000.0,17176000000.0,1400000000.0,1399473000.0,1412147000.0
COP,2011,Q3,1.93,1.93,0.66,1.91,2110000000.0,2631000000.0,1495000000.0,1136000000.0,2616000000.0,15000000.0,9743000000.0,16506000000.0,904000000.0,-44000000.0,0.0,145000000.0,10647000000.0,5859000000.0,230000000.0,2423000000.0,3436000000.0,169000000.0,3605000000.0,16506000000.0,1355400000.0,1357710000.0,1369562000.0
COP,2011,Q4,2.57,2.57,0.66,2.56,1130000000.0,3410000000.0,351000000.0,3059000000.0,3390000000.0,20000000.0,-27800000000.0,-26016000000.0,-2467000000.0,100000000.0,0.0,18000000.0,-30267000000.0,4251000000.0,220000000.0,2054000000.0,2197000000.0,-716000000.0,1481000000.0,-26016000000.0,1375700000.0,1375035000.0,1387100000.0
COP,2011,FY,9.04,9.04,2.64,8.97,8208000000.0,12502000000.0,7188000000.0,5314000000.0,12436000000.0,66000000.0,36223000000.0,64196000000.0,3999000000.0,240000000.0,0.0,865000000.0,40222000000.0,23974000000.0,954000000.0,9103000000.0,14871000000.0,525000000.0,15396000000.0,64196000000.0,1375700000.0,1375035000.0,1387100000.0
