ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,totalcostofrevenue,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
DISH,2010,Q1,0.52,0.52,0.0,0.52,123549000.0,230915000.0,230915000.0,0.0,230947000.0,-32000.0,2179741000.0,3057395000.0,0.0,4655000.0,0.0,150820000.0,2179741000.0,877654000.0,112947000.0,420675000.0,456979000.0,-102515000.0,354464000.0,3057395000.0,444129000.0,446732000.0,447530000.0
DISH,2010,Q2,0.57,0.57,0.0,0.57,156722000.0,256984000.0,256984000.0,0.0,256990000.0,-6000.0,2193061000.0,3169042000.0,0.0,-3728000.0,0.0,155016000.0,2193061000.0,975981000.0,114690000.0,450171000.0,525810000.0,-112104000.0,413706000.0,3169042000.0,450860000.0,447986000.0,448868000.0
DISH,2010,Q3,0.55,0.55,0.0,0.55,129652000.0,244978000.0,244978000.0,0.0,244964000.0,14000.0,2263690000.0,3207728000.0,0.0,22327000.0,0.0,155425000.0,2263690000.0,944038000.0,108619000.0,489381000.0,454657000.0,-80027000.0,374630000.0,3207728000.0,445389000.0,445662000.0,446332000.0
DISH,2010,Q4,0.57,0.57,0.0,0.56,147550000.0,251855000.0,251855000.0,0.0,251828000.0,27000.0,2228160000.0,3206579000.0,0.0,7742000.0,0.0,164582000.0,2228160000.0,978419000.0,118521000.0,475037000.0,503382000.0,-103977000.0,399405000.0,3206579000.0,445579000.0,445865000.0,446597000.0
DISH,2010,FY,2.21,2.21,0.0,2.2,557473000.0,984732000.0,984732000.0,0.0,984729000.0,3000.0,8864652000.0,12640744000.0,0.0,30996000.0,0.0,625843000.0,8864652000.0,3776092000.0,454777000.0,1835264000.0,1940828000.0,-398623000.0,1542205000.0,12640744000.0,445579000.0,445865000.0,446597000.0
DISH,2011,Q1,1.24,1.24,0.0,1.22,331767000.0,549326000.0,549326000.0,0.0,549394000.0,-68000.0,2189974000.0,3224131000.0,0.0,11633000.0,0.0,161784000.0,2189974000.0,1034157000.0,120179000.0,50804000.0,983353000.0,-102260000.0,881093000.0,3224131000.0,443060000.0,443360000.0,448850000.0
DISH,2011,Q2,0.75,0.75,0.0,0.75,228187000.0,334838000.0,334838000.0,0.0,334760000.0,78000.0,2286340000.0,3590161000.0,0.0,-19794000.0,0.0,325262000.0,2286340000.0,1303821000.0,143564000.0,586039000.0,717782000.0,-154757000.0,563025000.0,3590161000.0,446347000.0,445579000.0,447297000.0
DISH,2011,Q3,0.72,0.72,0.0,0.71,179085000.0,318978000.0,318978000.0,0.0,319099000.0,-121000.0,2366046000.0,3602651000.0,0.0,20298000.0,0.0,382620000.0,2366046000.0,1236605000.0,155601000.0,611766000.0,624839000.0,-126776000.0,498063000.0,3602651000.0,443193000.0,446133000.0,447731000.0
DISH,2011,Q4,0.69,0.69,2.0,0.71,151726000.0,312436000.0,319232000.0,-6796000.0,312654000.0,440000.0,2070101000.0,2657120000.0,0.0,-3897000.0,0.0,-232301000.0,2070101000.0,587019000.0,138622000.0,-15990000.0,603009000.0,-132051000.0,470958000.0,2657120000.0,445855000.0,445434000.0,446865000.0
DISH,2011,FY,3.4,3.4,2.0,3.39,890765000.0,1515578000.0,1522374000.0,-6796000.0,1515907000.0,329000.0,8912461000.0,13074063000.0,0.0,8240000.0,0.0,637365000.0,8912461000.0,4161602000.0,557966000.0,1232619000.0,2928983000.0,-515844000.0,2413139000.0,13074063000.0,445855000.0,445434000.0,446865000.0
