ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
DOV,2009,Q1,0.29,0.29,0.25,0.29,32997000.0,53425000.0,61094000.0,-7669000.0,53425000.0,0.0,896942000.0,1379085000.0,0.0,1736000.0,0.0,367390000.0,896942000.0,482143000.0,22398000.0,367390000.0,114753000.0,-20662000.0,94091000.0,1379085000.0,184200000.0,186011000.0,186121000.0
DOV,2009,Q2,0.52,0.52,0.25,0.52,1121000.0,97080000.0,100874000.0,-3794000.0,97080000.0,0.0,897021000.0,1390331000.0,0.0,-1513000.0,0.0,364962000.0,897021000.0,493310000.0,24840000.0,364962000.0,128348000.0,-26353000.0,101995000.0,1390331000.0,186700000.0,186070000.0,186292000.0
DOV,2009,Q3,0.57,0.57,0.26,0.57,47261000.0,106884000.0,107484000.0,-600000.0,106884000.0,0.0,941345000.0,1499611000.0,0.0,903000.0,0.0,378125000.0,941345000.0,558266000.0,26299000.0,378125000.0,180141000.0,-25396000.0,154745000.0,1499611000.0,187500000.0,186148000.0,186358000.0
DOV,2009,Q4,0.53,0.53,0.26,0.53,39607000.0,99049000.0,103971000.0,-4922000.0,99049000.0,0.0,595879000.0,1075304000.0,0.0,2626000.0,0.0,311538000.0,595879000.0,479425000.0,26935000.0,311538000.0,167887000.0,-24309000.0,143578000.0,1075304000.0,186600000.0,186136000.0,186736000.0
DOV,2009,FY,1.91,1.91,1.02,1.91,120986000.0,356438000.0,373423000.0,-16985000.0,356438000.0,0.0,3331187000.0,5344331000.0,0.0,3752000.0,0.0,1422015000.0,3331187000.0,2013144000.0,100472000.0,1422015000.0,591129000.0,-96720000.0,494409000.0,5344331000.0,186600000.0,186136000.0,186736000.0
DOV,2010,Q1,0.58,0.58,0.26,0.58,55575000.0,108127000.0,121485000.0,-13358000.0,108127000.0,0.0,971113000.0,1583270000.0,0.0,1241000.0,0.0,409169000.0,971113000.0,612157000.0,27169000.0,409169000.0,202988000.0,-25928000.0,177060000.0,1583270000.0,186400000.0,187093000.0,187886000.0
DOV,2010,Q2,0.91,0.91,0.26,0.9,70762000.0,169870000.0,171893000.0,-2023000.0,169870000.0,0.0,1097998000.0,1786696000.0,0.0,4708000.0,0.0,423809000.0,1097998000.0,688698000.0,26942000.0,423809000.0,264889000.0,-22234000.0,242655000.0,1786696000.0,186700000.0,186823000.0,188720000.0
DOV,2010,Q3,1.2,1.2,0.28,1.19,37437000.0,223759000.0,219309000.0,4450000.0,223759000.0,0.0,1111364000.0,1802158000.0,0.0,-9786000.0,0.0,397927000.0,1111364000.0,690794000.0,26335000.0,397927000.0,292867000.0,-36121000.0,256746000.0,1802158000.0,186500000.0,186721000.0,188565000.0
DOV,2010,Q4,1.06,1.06,0.27,1.03,29851000.0,198348000.0,106810000.0,91538000.0,198348000.0,0.0,506386000.0,937383000.0,0.0,281000.0,0.0,268692000.0,506386000.0,430997000.0,25925000.0,268692000.0,162305000.0,-25644000.0,136661000.0,937383000.0,186897000.0,186897000.0,186897000.0
DOV,2010,FY,3.75,3.75,1.07,3.7,193625000.0,700104000.0,619497000.0,80607000.0,700104000.0,0.0,3686861000.0,6109507000.0,0.0,-3556000.0,0.0,1499597000.0,3686861000.0,2422646000.0,106371000.0,1499597000.0,923049000.0,-109927000.0,813122000.0,6109507000.0,186897000.0,186897000.0,186897000.0
DOV,2011,Q1,1.04,1.04,0.275,1.03,54027000.0,194905000.0,174791000.0,20114000.0,194905000.0,0.0,1100327000.0,1812078000.0,0.0,-1188000.0,0.0,453427000.0,1100327000.0,711751000.0,28318000.0,453427000.0,258324000.0,-29506000.0,228818000.0,1812078000.0,187400000.0,187400000.0,189200000.0
DOV,2011,Q2,1.34,1.34,0.275,1.32,58765000.0,249769000.0,239198000.0,10571000.0,249769000.0,0.0,1218974000.0,1994970000.0,0.0,-1477000.0,0.0,448399000.0,1218974000.0,775996000.0,28157000.0,448399000.0,327597000.0,-29634000.0,297963000.0,1994970000.0,186443000.0,186443000.0,186443000.0
DOV,2011,Q3,0.93,0.93,0.315,0.91,76095000.0,172280000.0,223438000.0,-51158000.0,172280000.0,0.0,1332324000.0,2138606000.0,0.0,-48000.0,0.0,476640000.0,1332324000.0,806282000.0,30061000.0,476640000.0,329642000.0,-30109000.0,299533000.0,2138606000.0,185770000.0,185770000.0,185770000.0
DOV,2011,Q4,1.51,1.51,0.31,1.48,48189000.0,278289000.0,135759000.0,142530000.0,278289000.0,0.0,872726000.0,1423500000.0,0.0,4651000.0,0.0,342488000.0,872726000.0,550774000.0,28989000.0,342488000.0,208286000.0,-24338000.0,183948000.0,1423500000.0,185882000.0,185882000.0,185882000.0
