ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,totalcostofrevenue,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
EMN,2010,Q1,1.39,1.39,0.0,1.37,52000000.0,105000000.0,105000000.0,0.0,101000000.0,4000000.0,1053000000.0,1370000000.0,0.0,-7000000.0,0.0,95000000.0,1053000000.0,317000000.0,25000000.0,128000000.0,189000000.0,-32000000.0,157000000.0,1370000000.0,72700000.0,72700000.0,73700000.0
EMN,2010,Q2,2.05,2.05,0.44,2.02,73000000.0,148000000.0,141000000.0,7000000.0,148000000.0,0.0,1118000000.0,1502000000.0,0.0,-7000000.0,0.0,102000000.0,1118000000.0,384000000.0,25000000.0,138000000.0,246000000.0,-32000000.0,214000000.0,1502000000.0,72200000.0,72200000.0,73300000.0
EMN,2010,Q3,1.19,1.19,0.22,1.16,82000000.0,170000000.0,162000000.0,8000000.0,170000000.0,0.0,1085000000.0,1507000000.0,0.0,3000000.0,0.0,114000000.0,1085000000.0,422000000.0,25000000.0,156000000.0,266000000.0,-22000000.0,244000000.0,1507000000.0,143800000.0,143800000.0,143800000.0
EMN,2010,Q4,0.04,0.04,0.21,0.04,-5000000.0,4000000.0,10000000.0,-6000000.0,6000000.0,-2000000.0,1127000000.0,1463000000.0,0.0,1000000.0,0.0,123000000.0,1127000000.0,336000000.0,139000000.0,193000000.0,143000000.0,-138000000.0,5000000.0,1463000000.0,144200000.0,144200000.0,144200000.0
EMN,2010,FY,2.95,2.95,0.895,2.88,202000000.0,427000000.0,418000000.0,9000000.0,425000000.0,2000000.0,4383000000.0,5842000000.0,0.0,-10000000.0,0.0,434000000.0,4383000000.0,1459000000.0,214000000.0,615000000.0,844000000.0,-224000000.0,620000000.0,5842000000.0,144200000.0,144200000.0,144200000.0
EMN,2011,Q1,1.7,1.7,0.235,1.66,100000000.0,240000000.0,201000000.0,39000000.0,240000000.0,0.0,1300000000.0,1758000000.0,0.0,6000000.0,0.0,108000000.0,1300000000.0,458000000.0,19000000.0,144000000.0,314000000.0,-13000000.0,301000000.0,1758000000.0,141400000.0,141400000.0,141400000.0
EMN,2011,Q2,1.55,1.55,0.235,1.51,101000000.0,220000000.0,219000000.0,1000000.0,220000000.0,0.0,1411000000.0,1885000000.0,0.0,5000000.0,0.0,118000000.0,1411000000.0,474000000.0,18000000.0,141000000.0,333000000.0,-13000000.0,320000000.0,1885000000.0,141400000.0,141400000.0,141400000.0
EMN,2011,Q3,1.25,1.25,0.26,1.22,80000000.0,174000000.0,174000000.0,0.0,174000000.0,0.0,1379000000.0,1812000000.0,0.0,3000000.0,0.0,114000000.0,1379000000.0,433000000.0,20000000.0,162000000.0,271000000.0,-17000000.0,254000000.0,1812000000.0,139100000.0,139100000.0,139100000.0
EMN,2011,Q4,0.09,0.09,0.28,0.09,-7000000.0,13000000.0,13000000.0,0.0,12000000.0,1000000.0,1519000000.0,1723000000.0,0.0,6000000.0,0.0,141000000.0,1519000000.0,204000000.0,19000000.0,185000000.0,19000000.0,-13000000.0,6000000.0,1723000000.0,139700000.0,139700000.0,139700000.0
EMN,2011,FY,4.63,4.63,0.99,4.52,274000000.0,647000000.0,607000000.0,40000000.0,646000000.0,1000000.0,5609000000.0,7178000000.0,0.0,20000000.0,0.0,481000000.0,5609000000.0,1569000000.0,76000000.0,632000000.0,937000000.0,-56000000.0,881000000.0,7178000000.0,139700000.0,139700000.0,139700000.0
