ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
EW,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EW,2009,Q2,0.42,0.42,0.0,0.41,15300000.0,47500000.0,47500000.0,0.0,47500000.0,0.0,101900000.0,335500000.0,0.0,2000000.0,0.0,128500000.0,101900000.0,233600000.0,200000.0,172600000.0,61000000.0,1800000.0,62800000.0,335500000.0,113100000.0,112400000.0,117000000.0
EW,2009,Q3,0.65,0.65,0.0,0.63,20700000.0,73500000.0,73500000.0,0.0,73500000.0,0.0,98500000.0,325700000.0,0.0,200000.0,0.0,126100000.0,98500000.0,227200000.0,600000.0,132600000.0,94600000.0,-400000.0,94200000.0,325700000.0,113100000.0,112700000.0,117500000.0
EW,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EW,2009,FY,2.04,2.04,0.0,1.95,75300000.0,229100000.0,229100000.0,0.0,229100000.0,0.0,399100000.0,1321400000.0,0.0,3700000.0,0.0,508800000.0,399100000.0,922300000.0,2700000.0,620500000.0,301800000.0,2600000.0,304400000.0,1321400000.0,112300000.0,112500000.0,117500000.0
EW,2010,Q1,0.42,0.42,0.0,0.4,17800000.0,47700000.0,47700000.0,0.0,47700000.0,0.0,98600000.0,340500000.0,0.0,3000000.0,0.0,134000000.0,98600000.0,241900000.0,200000.0,179200000.0,62700000.0,2800000.0,65500000.0,340500000.0,113600000.0,113200000.0,119000000.0
EW,2010,Q2,0.51,0.51,0.0,0.48,8900000.0,57500000.0,57500000.0,0.0,57500000.0,0.0,100400000.0,365200000.0,0.0,1600000.0,0.0,140600000.0,100400000.0,264800000.0,0.0,199500000.0,65300000.0,1100000.0,66400000.0,365200000.0,112700000.0,113400000.0,118800000.0
EW,2010,Q3,0.42,0.42,0.0,0.4,18200000.0,48000000.0,48000000.0,0.0,48000000.0,0.0,95800000.0,348900000.0,0.0,3100000.0,0.0,133000000.0,95800000.0,253100000.0,0.0,189600000.0,63500000.0,2700000.0,66200000.0,348900000.0,114300000.0,113600000.0,118900000.0
EW,2010,Q4,0.57,0.57,0.0,0.57,5300000.0,64800000.0,64800000.0,0.0,64800000.0,0.0,113500000.0,392400000.0,0.0,-7700000.0,0.0,142400000.0,113500000.0,278900000.0,2200000.0,200700000.0,78200000.0,-8100000.0,70100000.0,392400000.0,113500000.0,113700000.0,119200000.0
EW,2010,FY,1.92,1.92,0.0,1.83,50200000.0,218000000.0,218000000.0,0.0,218000000.0,0.0,408300000.0,1447000000.0,0.0,0.0,0.0,550000000.0,408300000.0,1038700000.0,2400000.0,769000000.0,269700000.0,-1500000.0,268200000.0,1447000000.0,113500000.0,113700000.0,119200000.0
