ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
GD,2009,Q1,1.53,1.53,0.0,1.53,276000000.0,590000000.0,593000000.0,-3000000.0,590000000.0,0.0,6849000000.0,8264000000.0,0.0,3000000.0,0.0,510000000.0,6849000000.0,1415000000.0,39000000.0,510000000.0,905000000.0,-36000000.0,869000000.0,8264000000.0,385600000.0,385600000.0,385600000.0
GD,2009,Q2,1.6,1.6,0.38,1.6,286000000.0,618000000.0,621000000.0,-3000000.0,618000000.0,0.0,6646000000.0,8100000000.0,0.0,0.0,0.0,509000000.0,6646000000.0,1454000000.0,38000000.0,509000000.0,945000000.0,-38000000.0,907000000.0,8100000000.0,385035000.0,385035000.0,385035000.0
GD,2009,Q3,1.48,1.48,0.38,1.47,253000000.0,572000000.0,575000000.0,-3000000.0,572000000.0,0.0,6393000000.0,7719000000.0,0.0,-6000000.0,0.0,452000000.0,6393000000.0,1326000000.0,40000000.0,452000000.0,874000000.0,-46000000.0,828000000.0,7719000000.0,385243000.0,385243000.0,385243000.0
GD,2009,Q4,1.6,1.6,-0.76,1.57,291000000.0,614000000.0,618000000.0,-4000000.0,614000000.0,0.0,6464000000.0,7898000000.0,0.0,1000000.0,0.0,483000000.0,6464000000.0,1434000000.0,43000000.0,483000000.0,951000000.0,-42000000.0,909000000.0,7898000000.0,385475000.0,385475000.0,385475000.0
GD,2009,FY,6.21,6.21,0.0,6.17,1106000000.0,2394000000.0,2407000000.0,-13000000.0,2394000000.0,0.0,26352000000.0,31981000000.0,0.0,-2000000.0,0.0,1954000000.0,26352000000.0,5629000000.0,160000000.0,1954000000.0,3675000000.0,-162000000.0,3513000000.0,31981000000.0,385475000.0,385475000.0,385475000.0
GD,2010,Q1,1.55,1.55,0.42,1.53,275000000.0,597000000.0,599000000.0,-2000000.0,597000000.0,0.0,6346000000.0,7750000000.0,0.0,0.0,0.0,486000000.0,6346000000.0,1404000000.0,44000000.0,486000000.0,918000000.0,-44000000.0,874000000.0,7750000000.0,384823000.0,384823000.0,384823000.0
GD,2010,Q2,1.69,1.69,0.42,1.67,294000000.0,648000000.0,651000000.0,-3000000.0,648000000.0,0.0,6641000000.0,8104000000.0,0.0,2000000.0,0.0,478000000.0,6641000000.0,1463000000.0,42000000.0,478000000.0,985000000.0,-40000000.0,945000000.0,8104000000.0,384304000.0,384304000.0,384304000.0
GD,2010,Q3,1.71,1.71,0.42,1.7,279000000.0,650000000.0,649000000.0,1000000.0,650000000.0,0.0,6564000000.0,8011000000.0,0.0,0.0,0.0,481000000.0,6564000000.0,1447000000.0,38000000.0,481000000.0,966000000.0,-38000000.0,928000000.0,8011000000.0,379088000.0,379088000.0,379088000.0
GD,2010,Q4,1.93,1.93,-1.26,1.91,314000000.0,729000000.0,729000000.0,0.0,729000000.0,0.0,7006000000.0,8601000000.0,0.0,0.0,0.0,519000000.0,7006000000.0,1595000000.0,33000000.0,519000000.0,1076000000.0,-33000000.0,1043000000.0,8601000000.0,381240000.0,381240000.0,381240000.0
GD,2010,FY,6.88,6.88,0.0,6.81,1162000000.0,2624000000.0,2628000000.0,-4000000.0,2624000000.0,0.0,26557000000.0,32466000000.0,0.0,2000000.0,0.0,1964000000.0,26557000000.0,5909000000.0,157000000.0,1964000000.0,3945000000.0,-155000000.0,3790000000.0,32466000000.0,381240000.0,381240000.0,381240000.0
