ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
IRM,2009,Q1,0.14,0.14,0.0,0.14,31577000.0,26944000.0,26944000.0,0.0,28799000.0,-1855000.0,316980000.0,723346000.0,0.0,-7155000.0,0.0,210393000.0,316980000.0,406366000.0,55521000.0,285169000.0,121197000.0,-62676000.0,58521000.0,723346000.0,205700000.0,202066000.0,203312000.0
IRM,2009,Q2,0.43,0.43,0.0,0.43,13761000.0,87512000.0,87512000.0,0.0,87638000.0,-126000.0,312698000.0,746028000.0,0.0,18394000.0,0.0,215854000.0,312698000.0,433330000.0,55175000.0,295276000.0,138054000.0,-36781000.0,101273000.0,746028000.0,203800000.0,202502000.0,204198813.0
IRM,2009,Q3,0.21,0.21,0.0,0.21,38613000.0,43177000.0,43177000.0,0.0,43186000.0,-9000.0,321470000.0,764885000.0,0.0,-1390000.0,0.0,218633000.0,321470000.0,443415000.0,59469000.0,300766000.0,142649000.0,-60859000.0,81790000.0,764885000.0,205600000.0,203216000.0,204892910.0
IRM,2009,Q4,0.29,0.29,0.0,0.29,29811000.0,61746000.0,73884000.0,-12138000.0,58327000.0,3419000.0,250723000.0,540125000.0,0.0,2750000.0,0.0,105054000.0,250723000.0,289402000.0,42380000.0,146077000.0,143325000.0,-39630000.0,103695000.0,540125000.0,203700000.0,202812000.0,204271000.0
IRM,2009,FY,1.07,1.07,0.0,1.07,113762000.0,219379000.0,231517000.0,-12138000.0,217950000.0,1429000.0,1201871000.0,2774384000.0,0.0,12599000.0,0.0,749934000.0,1201871000.0,1572513000.0,212545000.0,1027288000.0,545225000.0,-199946000.0,345279000.0,2774384000.0,203700000.0,202812000.0,204271000.0
IRM,2010,Q1,0.13,0.13,0.0625,0.12,41471000.0,25839000.0,25839000.0,0.0,25566000.0,273000.0,325232000.0,776506000.0,0.0,-8819000.0,0.0,233852000.0,325232000.0,451274000.0,56562000.0,318583000.0,132691000.0,-65381000.0,67310000.0,776506000.0,196700000.0,203581000.0,204705000.0
IRM,2010,Q2,0.2,0.2,0.0625,0.2,52274000.0,41752000.0,48928000.0,-7176000.0,41292000.0,460000.0,294681000.0,724783000.0,0.0,-4148000.0,0.0,196775000.0,294681000.0,430102000.0,52617000.0,272135000.0,157967000.0,-56765000.0,101202000.0,724783000.0,206500000.0,203006000.0,204210000.0
IRM,2010,Q3,-0.76,-0.76,0.0625,-0.76,29310000.0,-150817000.0,27490000.0,-178307000.0,-153776000.0,2959000.0,299622000.0,731132000.0,0.0,1856000.0,0.0,180156000.0,299622000.0,431510000.0,52054000.0,324512000.0,106998000.0,-50198000.0,56800000.0,731132000.0,202300000.0,201249000.0,201249000.0
IRM,2010,Q4,0.14,0.14,0.19,0.15,44428000.0,30548000.0,64482000.0,-33934000.0,29332000.0,1216000.0,273327000.0,659928000.0,0.0,2343000.0,0.0,162028000.0,273327000.0,386601000.0,43326000.0,236708000.0,149893000.0,-40983000.0,108910000.0,659928000.0,198600000.0,201991000.0,201991000.0
IRM,2010,FY,-0.29,-0.29,0.375,-0.29,167483000.0,-52678000.0,166739000.0,-219417000.0,-57586000.0,4908000.0,1192862000.0,2892349000.0,0.0,-8768000.0,0.0,772811000.0,1192862000.0,1699487000.0,204559000.0,1151938000.0,547549000.0,-213327000.0,334222000.0,2892349000.0,198600000.0,201991000.0,201991000.0
