ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
KO,2009,Q1,0.58,0.58,0.41,0.58,456000000.0,1359000000.0,1359000000.0,0.0,1348000000.0,11000000.0,2590000000.0,7169000000.0,0.0,-40000000.0,0.0,2716000000.0,2590000000.0,4579000000.0,85000000.0,2716000000.0,1863000000.0,-48000000.0,1815000000.0,7169000000.0,2324100000.0,2313000000.0,2319000000.0
KO,2009,Q2,0.88,0.88,0.41,0.88,679000000.0,2049000000.0,2049000000.0,0.0,2037000000.0,12000000.0,2913000000.0,8267000000.0,0.0,20000000.0,0.0,2844000000.0,2913000000.0,5354000000.0,97000000.0,2916000000.0,2438000000.0,290000000.0,2728000000.0,8267000000.0,2314800000.0,2313000000.0,2323000000.0
KO,2009,Q3,0.82,0.82,0.41,0.81,523000000.0,1920000000.0,1920000000.0,0.0,1896000000.0,24000000.0,2934000000.0,8044000000.0,0.0,33000000.0,0.0,2912000000.0,2934000000.0,5110000000.0,89000000.0,2960000000.0,2150000000.0,293000000.0,2443000000.0,8044000000.0,2312200000.0,2316000000.0,2332000000.0
KO,2009,Q4,0.67,0.67,0.41,0.67,382000000.0,1578000000.0,1578000000.0,0.0,1543000000.0,35000000.0,2651000000.0,7510000000.0,0.0,27000000.0,0.0,2886000000.0,2651000000.0,4859000000.0,84000000.0,3079000000.0,1780000000.0,180000000.0,1960000000.0,7510000000.0,2313200000.0,2314000000.0,2329000000.0
KO,2009,FY,2.95,2.95,1.64,2.93,2040000000.0,6906000000.0,6906000000.0,0.0,6824000000.0,82000000.0,11088000000.0,30990000000.0,0.0,40000000.0,0.0,11358000000.0,11088000000.0,19902000000.0,355000000.0,11671000000.0,8231000000.0,715000000.0,8946000000.0,30990000000.0,2313200000.0,2314000000.0,2329000000.0
KO,2010,Q1,0.7,0.7,0.44,0.69,553000000.0,1626000000.0,1626000000.0,0.0,1614000000.0,12000000.0,2541000000.0,7525000000.0,0.0,-115000000.0,0.0,2705000000.0,2541000000.0,4984000000.0,85000000.0,2801000000.0,2183000000.0,-4000000.0,2179000000.0,7525000000.0,2305700000.0,2304000000.0,2327000000.0
KO,2010,Q2,1.03,1.03,0.44,1.02,741000000.0,2382000000.0,2382000000.0,0.0,2369000000.0,13000000.0,2955000000.0,8674000000.0,0.0,18000000.0,0.0,2878000000.0,2955000000.0,5719000000.0,81000000.0,2956000000.0,2763000000.0,360000000.0,3123000000.0,8674000000.0,2300000000.0,2306000000.0,2325000000.0
KO,2010,Q3,0.89,0.89,0.44,0.88,633000000.0,2067000000.0,2067000000.0,0.0,2055000000.0,12000000.0,2918000000.0,8426000000.0,0.0,-12000000.0,0.0,3064000000.0,2918000000.0,5508000000.0,80000000.0,3164000000.0,2344000000.0,356000000.0,2700000000.0,8426000000.0,2309000000.0,2310000000.0,2336000000.0
KO,2010,Q4,1.25,1.25,0.22,1.25,443000000.0,5762000000.0,5762000000.0,0.0,5749000000.0,13000000.0,4279000000.0,10494000000.0,0.0,5294000000.0,0.0,4547000000.0,4279000000.0,6215000000.0,487000000.0,5092000000.0,1123000000.0,5082000000.0,6205000000.0,10494000000.0,4622400000.0,4616000000.0,4667000000.0
KO,2010,FY,2.55,2.55,0.88,2.53,2370000000.0,11837000000.0,11837000000.0,0.0,11787000000.0,50000000.0,12693000000.0,35119000000.0,0.0,5185000000.0,0.0,13194000000.0,12693000000.0,22426000000.0,733000000.0,14013000000.0,8413000000.0,5794000000.0,14207000000.0,35119000000.0,4622400000.0,4616000000.0,4667000000.0
