ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,totalcostofrevenue,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
LEG,2010,Q1,0.3,0.3,0.26,0.29,21500000.0,46900000.0,47500000.0,-600000.0,45100000.0,1800000.0,650900000.0,816400000.0,0.0,0.0,0.0,92300000.0,650900000.0,165500000.0,9300000.0,88300000.0,77200000.0,-8200000.0,69000000.0,816400000.0,150300000.0,152600000.0,154300000.0
LEG,2010,Q2,0.35,0.35,0.26,0.34,23500000.0,54100000.0,53600000.0,500000.0,52700000.0,1400000.0,694600000.0,874300000.0,0.0,0.0,0.0,88800000.0,694600000.0,179700000.0,9200000.0,94600000.0,85100000.0,-8000000.0,77100000.0,874300000.0,150600000.0,151500000.0,153800000.0
LEG,2010,Q3,0.31,0.31,0.27,0.31,18100000.0,49300000.0,49900000.0,-600000.0,47400000.0,1900000.0,697800000.0,866500000.0,0.0,0.0,0.0,87600000.0,697800000.0,168700000.0,9300000.0,93100000.0,75600000.0,-7600000.0,68000000.0,866500000.0,152900000.0,150700000.0,152900000.0
LEG,2010,Q4,0.21,0.21,0.27,0.21,8800000.0,32500000.0,32600000.0,-100000.0,31400000.0,1100000.0,660400000.0,801900000.0,0.0,0.0,0.0,85600000.0,660400000.0,141500000.0,9900000.0,91400000.0,50100000.0,-8700000.0,41400000.0,801900000.0,151225065.0,151225065.0,151225065.0
LEG,2010,FY,1.17,1.17,1.06,1.15,71900000.0,182800000.0,183600000.0,-800000.0,176600000.0,6200000.0,2703700000.0,3359100000.0,0.0,0.0,0.0,354300000.0,2703700000.0,655400000.0,37700000.0,367400000.0,288000000.0,-32500000.0,255500000.0,3359100000.0,151225065.0,151225065.0,151225065.0
LEG,2011,Q1,0.3,0.3,0.27,0.3,19900000.0,46300000.0,46300000.0,0.0,45000000.0,1300000.0,725800000.0,895800000.0,0.0,0.0,0.0,95800000.0,725800000.0,170000000.0,9500000.0,95800000.0,74200000.0,-8000000.0,66200000.0,895800000.0,150000000.0,149200000.0,150800000.0
LEG,2011,Q2,0.38,0.38,0.27,0.37,16500000.0,55500000.0,55500000.0,0.0,54700000.0,800000.0,763300000.0,945200000.0,0.0,0.0,0.0,98100000.0,763300000.0,181900000.0,9400000.0,102800000.0,79100000.0,-7100000.0,72000000.0,945200000.0,143900000.0,145600000.0,147400000.0
LEG,2011,Q3,0.31,0.31,0.28,0.31,18100000.0,45300000.0,45300000.0,0.0,44900000.0,400000.0,770500000.0,940900000.0,0.0,0.0,0.0,93900000.0,770500000.0,170400000.0,9600000.0,98800000.0,71600000.0,-8200000.0,63400000.0,940900000.0,144800000.0,143800000.0,145100000.0
LEG,2011,Q4,0.06,0.06,0.28,0.06,5400000.0,9300000.0,26700000.0,-17400000.0,8700000.0,600000.0,690800000.0,837000000.0,0.0,0.0,0.0,90200000.0,690800000.0,146200000.0,9800000.0,105800000.0,40400000.0,-8300000.0,32100000.0,837000000.0,145400000.0,145400000.0,145400000.0
LEG,2011,FY,1.05,1.05,1.1,1.04,59900000.0,156400000.0,173800000.0,-17400000.0,153300000.0,3100000.0,2950400000.0,3618900000.0,0.0,0.0,0.0,378000000.0,2950400000.0,668500000.0,38300000.0,403200000.0,265300000.0,-31600000.0,233700000.0,3618900000.0,145400000.0,145400000.0,145400000.0
LEG,2012,Q1,0.31,0.31,0.28,0.3,22300000.0,44500000.0,44500000.0,0.0,44000000.0,500000.0,768500000.0,946800000.0,0.0,0.0,0.0,97900000.0,768500000.0,178300000.0,9500000.0,103700000.0,74600000.0,-7800000.0,66800000.0,946800000.0,141900000.0,143600000.0,145100000.0
LEG,2012,Q2,0.45,0.45,0.28,0.45,21500000.0,65400000.0,57300000.0,8100000.0,64900000.0,500000.0,747900000.0,934600000.0,0.0,0.0,0.0,91800000.0,747900000.0,186700000.0,9600000.0,99900000.0,86800000.0,-8000000.0,78800000.0,934600000.0,144200000.0,144100000.0,145400000.0
LEG,2012,Q3,0.46,0.46,0.29,0.45,28600000.0,66600000.0,66600000.0,0.0,65800000.0,800000.0,773200000.0,978100000.0,0.0,0.0,0.0,94100000.0,773200000.0,204900000.0,11300000.0,100000000.0,104900000.0,-9700000.0,95200000.0,978100000.0,143000000.0,144400000.0,146100000.0
LEG,2012,Q4,0.5,0.5,0.29,0.5,-16700000.0,74000000.0,63400000.0,10600000.0,73500000.0,500000.0,429300000.0,555000000.0,0.0,0.0,0.0,64300000.0,429300000.0,125700000.0,13000000.0,67600000.0,58100000.0,-11400000.0,46700000.0,555000000.0,144300000.0,144300000.0,144300000.0
LEG,2012,FY,1.72,1.72,1.14,1.7,55700000.0,250500000.0,231800000.0,18700000.0,248200000.0,2300000.0,2718900000.0,3414500000.0,0.0,0.0,0.0,348100000.0,2718900000.0,695600000.0,43400000.0,371200000.0,324400000.0,-36900000.0,287500000.0,3414500000.0,144300000.0,144300000.0,144300000.0
LEG,2013,Q1,0.34,0.34,0.29,0.33,19900000.0,49500000.0,49400000.0,100000.0,49100000.0,400000.0,743800000.0,932700000.0,0.0,0.0,0.0,107200000.0,743800000.0,188900000.0,12800000.0,109500000.0,79400000.0,-10100000.0,69300000.0,932700000.0,144400000.0,145900000.0,148000000.0
LEG,2013,Q2,0.49,0.49,0.29,0.48,24300000.0,71900000.0,65100000.0,6800000.0,71300000.0,600000.0,759700000.0,958800000.0,0.0,0.0,0.0,98800000.0,759700000.0,199100000.0,10900000.0,100600000.0,98500000.0,-9100000.0,89400000.0,958800000.0,145500000.0,145800000.0,148100000.0
LEG,2013,Q3,0.49,0.49,0.3,0.49,24000000.0,72000000.0,66500000.0,5500000.0,71300000.0,700000.0,698000000.0,877600000.0,0.0,0.0,0.0,85400000.0,698000000.0,179600000.0,10600000.0,80200000.0,99400000.0,-8900000.0,90500000.0,877600000.0,145500000.0,144900000.0,147000000.0
LEG,2013,Q4,0.04,0.04,0.3,0.04,-16900000.0,6300000.0,5300000.0,1000000.0,5600000.0,700000.0,565800000.0,708100000.0,0.0,0.0,0.0,76500000.0,565800000.0,142300000.0,10400000.0,145000000.0,-2700000.0,-8900000.0,-11600000.0,708100000.0,145200000.0,145200000.0,145200000.0
LEG,2013,FY,1.36,1.36,1.18,1.34,51300000.0,199700000.0,186300000.0,13400000.0,197300000.0,2400000.0,2767300000.0,3477200000.0,0.0,0.0,0.0,367900000.0,2767300000.0,709900000.0,44700000.0,435300000.0,274600000.0,-37000000.0,237600000.0,3477200000.0,145200000.0,145200000.0,145200000.0
LEG,2014,Q1,0.37,0.37,0.3,0.37,20800000.0,53700000.0,56000000.0,-2300000.0,53100000.0,600000.0,698700000.0,875500000.0,0.0,0.0,0.0,92100000.0,698700000.0,176800000.0,10400000.0,91000000.0,85800000.0,-9000000.0,76800000.0,875500000.0,143500000.0,142400000.0,144000000.0
LEG,2014,Q2,-0.17,-0.17,0.3,-0.17,23600000.0,-23100000.0,69600000.0,-92700000.0,-23900000.0,800000.0,755400000.0,956100000.0,0.0,0.0,0.0,94100000.0,755400000.0,200700000.0,10400000.0,98500000.0,102200000.0,-9000000.0,93200000.0,956100000.0,140600000.0,141400000.0,143100000.0
LEG,2014,Q3,0.34,0.34,0.31,0.34,13100000.0,49000000.0,53400000.0,-4400000.0,48200000.0,800000.0,788300000.0,997400000.0,0.0,0.0,0.0,131400000.0,788300000.0,209100000.0,10400000.0,133700000.0,75400000.0,-8900000.0,66500000.0,997400000.0,141800000.0,140800000.0,142500000.0
LEG,2014,Q4,0.15,0.15,0.31,0.14,12800000.0,21600000.0,46200000.0,-24600000.0,20600000.0,1000000.0,749500000.0,953300000.0,0.0,5100000.0,0.0,132000000.0,749500000.0,203800000.0,10600000.0,140800000.0,63000000.0,-4000000.0,59000000.0,953300000.0,141400000.0,141400000.0,141400000.0
LEG,2014,FY,0.69,0.69,1.22,0.68,70300000.0,101200000.0,225200000.0,-124000000.0,98000000.0,3200000.0,2991900000.0,3782300000.0,0.0,5100000.0,0.0,449600000.0,2991900000.0,790400000.0,41800000.0,464000000.0,326400000.0,-30900000.0,295500000.0,3782300000.0,141400000.0,141400000.0,141400000.0
LEG,2015,Q1,0.51,0.51,0.31,0.5,28700000.0,72800000.0,73300000.0,-500000.0,71700000.0,1100000.0,748400000.0,966200000.0,0.0,0.0,0.0,97500000.0,748400000.0,217800000.0,11000000.0,106100000.0,111700000.0,-9700000.0,102000000.0,966200000.0,140600000.0,141900000.0,143800000.0
LEG,2015,Q2,0.55,0.55,0.31,0.54,32300000.0,78500000.0,76700000.0,1800000.0,77700000.0,800000.0,766600000.0,997300000.0,0.0,0.0,0.0,106600000.0,766600000.0,230700000.0,11200000.0,111500000.0,119200000.0,-10200000.0,109000000.0,997300000.0,141300000.0,141400000.0,143400000.0
LEG,2015,Q3,0.68,0.68,0.32,0.67,36100000.0,96100000.0,96200000.0,-100000.0,95200000.0,900000.0,768000000.0,1009100000.0,0.0,0.0,0.0,96900000.0,768000000.0,241100000.0,10300000.0,99600000.0,141500000.0,-9200000.0,132300000.0,1009100000.0,140000000.0,140400000.0,142500000.0
LEG,2015,Q4,0.57,0.57,0.32,0.57,24700000.0,81800000.0,81800000.0,0.0,80500000.0,1300000.0,711000000.0,944600000.0,0.0,500000.0,0.0,115900000.0,711000000.0,233600000.0,8600000.0,120000000.0,113600000.0,-7100000.0,106500000.0,944600000.0,140900000.0,140900000.0,140900000.0
