ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
MCD,2008,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,2008,Q2,1.05,1.05,0.375,1.04,508300000.0,1190500000.0,1190500000.0,0.0,1190500000.0,0.0,3850500000.0,6075300000.0,0.0,190900000.0,0.0,598700000.0,3850500000.0,2224800000.0,146300000.0,570600000.0,1654200000.0,44600000.0,1698800000.0,6075300000.0,1133800000.0,1128900000.0,1148800000.0
MCD,2008,Q3,1.07,1.07,0.875,1.05,507600000.0,1191300000.0,1191300000.0,0.0,1191300000.0,0.0,3904100000.0,6267300000.0,0.0,6800000.0,0.0,582100000.0,3904100000.0,2363200000.0,131600000.0,539500000.0,1823700000.0,-124800000.0,1698900000.0,6267300000.0,1113400000.0,1116600000.0,1136000000.0
MCD,2008,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,2008,FY,3.83,3.83,1.625,3.76,1844800000.0,4313200000.0,4313200000.0,0.0,4313200000.0,0.0,6816400000.0,23522400000.0,0.0,237700000.0,0.0,10422300000.0,6816400000.0,16706000000.0,522600000.0,10263100000.0,6442900000.0,-284900000.0,6158000000.0,23522400000.0,1126200000.0,1126600000.0,1146000000.0
MCD,2009,Q1,0.88,0.88,0.5,0.87,392900000.0,979500000.0,979500000.0,0.0,979500000.0,0.0,3217200000.0,5077400000.0,0.0,92900000.0,0.0,497300000.0,3217200000.0,1860200000.0,120900000.0,459800000.0,1400400000.0,-28000000.0,1372400000.0,5077400000.0,1113100000.0,1109600000.0,1124400000.0
MCD,2009,Q2,1.0,1.0,0.5,0.98,498300000.0,1093700000.0,1093700000.0,0.0,1093700000.0,0.0,3477300000.0,5647200000.0,0.0,29800000.0,0.0,531500000.0,3477300000.0,2169900000.0,119300000.0,488400000.0,1681500000.0,-89500000.0,1592000000.0,5647200000.0,1093700000.0,1097300000.0,1111400000.0
MCD,2009,Q3,1.16,1.16,1.05,1.15,560600000.0,1261000000.0,1261000000.0,0.0,1261000000.0,0.0,3638400000.0,6046700000.0,0.0,6600000.0,0.0,549600000.0,3638400000.0,2408300000.0,117800000.0,475500000.0,1932800000.0,-111200000.0,1821600000.0,6046700000.0,1087100000.0,1084500000.0,1098200000.0
MCD,2009,Q4,1.13,1.13,0.0,1.11,484200000.0,1216800000.0,1216800000.0,0.0,1216800000.0,0.0,-3853200000.0,5973400000.0,0.0,-10100000.0,0.0,8129000000.0,-3853200000.0,9826600000.0,115200000.0,8000300000.0,1826300000.0,-125300000.0,1701000000.0,5973400000.0,1091400000.0,1092200000.0,1107400000.0
MCD,2009,FY,4.17,4.17,2.05,4.11,1936000000.0,4551000000.0,4551000000.0,0.0,4551000000.0,0.0,6479700000.0,22744700000.0,0.0,119200000.0,0.0,9707400000.0,6479700000.0,16265000000.0,473200000.0,9424000000.0,6841000000.0,-354000000.0,6487000000.0,22744700000.0,1091400000.0,1092200000.0,1107400000.0
MCD,2010,Q1,1.01,1.01,0.55,1.0,467100000.0,1089800000.0,1089800000.0,0.0,1089800000.0,0.0,3450200000.0,5610100000.0,0.0,-6200000.0,0.0,546300000.0,3450200000.0,2159900000.0,111000000.0,485800000.0,1674100000.0,-117200000.0,1556900000.0,5610100000.0,1079000000.0,1076000000.0,1090100000.0
MCD,2010,Q2,1.14,1.14,0.55,1.13,509500000.0,1225800000.0,1225800000.0,0.0,1225800000.0,0.0,3549100000.0,5945500000.0,0.0,-1900000.0,0.0,564900000.0,3549100000.0,2396400000.0,108100000.0,551100000.0,1845300000.0,-110000000.0,1735300000.0,5945500000.0,1075300000.0,1072100000.0,1085900000.0
MCD,2010,Q3,1.31,1.31,1.16,1.29,586100000.0,1388400000.0,1388400000.0,0.0,1388400000.0,0.0,3698400000.0,6304900000.0,0.0,-7200000.0,0.0,556300000.0,3698400000.0,2606500000.0,114800000.0,510000000.0,2096500000.0,-122000000.0,1974500000.0,6304900000.0,1059800000.0,1061000000.0,1074900000.0
MCD,2010,Q4,1.18,1.18,0.0,1.16,491300000.0,1242300000.0,1242300000.0,0.0,1242300000.0,0.0,-4019800000.0,6214100000.0,0.0,-6600000.0,0.0,8425200000.0,-4019800000.0,10233900000.0,117000000.0,8376700000.0,1857200000.0,-123600000.0,1733600000.0,6214100000.0,1066000000.0,1066000000.0,1080300000.0
MCD,2010,FY,4.64,4.64,2.26,4.58,2054000000.0,4946300000.0,4946300000.0,0.0,4946300000.0,0.0,6677900000.0,24074600000.0,0.0,-21900000.0,0.0,10092700000.0,6677900000.0,17396700000.0,450900000.0,9923600000.0,7473100000.0,-472800000.0,7000300000.0,24074600000.0,1066000000.0,1066000000.0,1080300000.0
MCD,2011,Q1,1.16,1.16,0.61,1.15,489900000.0,1209000000.0,1209000000.0,0.0,1209000000.0,0.0,3771000000.0,6111600000.0,0.0,-6900000.0,0.0,563600000.0,3771000000.0,2340600000.0,120100000.0,514700000.0,1825900000.0,-127000000.0,1698900000.0,6111600000.0,1042200000.0,1042400000.0,1054600000.0
MCD,2011,Q2,1.36,1.36,0.61,1.35,656200000.0,1410200000.0,1410200000.0,0.0,1410200000.0,0.0,4179800000.0,6905400000.0,0.0,-900000.0,0.0,588000000.0,4179800000.0,2725600000.0,121800000.0,536500000.0,2189100000.0,-122700000.0,2066400000.0,6905400000.0,1036900000.0,1035600000.0,1047700000.0
MCD,2011,Q3,1.47,1.47,1.31,1.45,755900000.0,1507300000.0,1507300000.0,0.0,1507300000.0,0.0,4259500000.0,7166300000.0,0.0,-7500000.0,0.0,580900000.0,4259500000.0,2906800000.0,124000000.0,512100000.0,2394700000.0,-131500000.0,2263200000.0,7166300000.0,1025400000.0,1028800000.0,1041300000.0
MCD,2011,Q4,1.34,1.34,0.0,1.32,607100000.0,1376600000.0,1376600000.0,0.0,1376600000.0,0.0,-4561600000.0,6822700000.0,0.0,-9400000.0,0.0,9331900000.0,-4561600000.0,11384300000.0,126900000.0,9264300000.0,2120000000.0,-136300000.0,1983700000.0,6822700000.0,1032500000.0,1032100000.0,1044900000.0
MCD,2011,FY,5.33,5.33,2.53,5.27,2509100000.0,5503100000.0,5503100000.0,0.0,5503100000.0,0.0,7648700000.0,27006000000.0,0.0,-24700000.0,0.0,11064400000.0,7648700000.0,19357300000.0,492800000.0,10827600000.0,8529700000.0,-517500000.0,8012200000.0,27006000000.0,1032500000.0,1032100000.0,1044900000.0
MCD,2012,Q1,1.24,1.24,0.7,1.23,580800000.0,1266700000.0,1266700000.0,0.0,1266700000.0,0.0,4029100000.0,6546600000.0,0.0,11800000.0,0.0,592500000.0,4029100000.0,2517500000.0,128900000.0,552900000.0,1964600000.0,-117100000.0,1847500000.0,6546600000.0,1021500000.0,1018200000.0,1030000000.0
MCD,2012,Q2,1.33,1.33,0.7,1.32,662900000.0,1347000000.0,1347000000.0,0.0,1347000000.0,0.0,4200000000.0,6915900000.0,0.0,-15100000.0,0.0,617300000.0,4200000000.0,2715900000.0,130000000.0,560900000.0,2155000000.0,-145100000.0,2009900000.0,6915900000.0,1012800000.0,1013800000.0,1023900000.0
MCD,2012,Q3,1.45,1.45,1.47,1.43,698600000.0,1455000000.0,1455000000.0,0.0,1455000000.0,0.0,4297800000.0,7152400000.0,0.0,-5500000.0,0.0,620900000.0,4297800000.0,2854600000.0,128100000.0,567400000.0,2287200000.0,-133600000.0,2153600000.0,7152400000.0,1003400000.0,1006100000.0,1015400000.0
MCD,2012,Q4,1.39,1.39,0.0,1.38,671900000.0,1396100000.0,1396100000.0,0.0,1396100000.0,0.0,-4681700000.0,6952100000.0,0.0,-200000.0,0.0,9530000000.0,-4681700000.0,11633800000.0,129600000.0,9436000000.0,2197800000.0,-129800000.0,2068000000.0,6952100000.0,1010100000.0,1010100000.0,1020200000.0
MCD,2012,FY,5.41,5.41,2.87,5.36,2614200000.0,5464800000.0,5464800000.0,0.0,5464800000.0,0.0,7845200000.0,27567000000.0,0.0,-9000000.0,0.0,11360700000.0,7845200000.0,19721800000.0,516600000.0,11117200000.0,8604600000.0,-525600000.0,8079000000.0,27567000000.0,1010100000.0,1010100000.0,1020200000.0
MCD,2013,Q1,1.27,1.27,0.77,1.26,546600000.0,1270200000.0,1270200000.0,0.0,1270200000.0,0.0,4121200000.0,6605300000.0,0.0,-4600000.0,0.0,596500000.0,4121200000.0,2484100000.0,128100000.0,534600000.0,1949500000.0,-132700000.0,1816800000.0,6605300000.0,1000200000.0,1002700000.0,1010800000.0
MCD,2013,Q2,1.39,1.39,0.77,1.38,663400000.0,1396500000.0,1396500000.0,0.0,1396500000.0,0.0,4318600000.0,7083800000.0,0.0,-8000000.0,0.0,607000000.0,4318600000.0,2765200000.0,129800000.0,567500000.0,2197700000.0,-137800000.0,2059900000.0,7083800000.0,1004700000.0,1001400000.0,1008700000.0
MCD,2013,Q3,1.53,1.53,1.58,1.52,750400000.0,1522200000.0,1522200000.0,0.0,1522200000.0,0.0,4412800000.0,7323400000.0,0.0,-13600000.0,0.0,554300000.0,4412800000.0,2910600000.0,130500000.0,493900000.0,2416700000.0,-144100000.0,2272600000.0,7323400000.0,994900000.0,997300000.0,1004200000.0
MCD,2013,Q4,1.4,1.4,0.0,1.39,658200000.0,1397000000.0,1397000000.0,0.0,1397000000.0,0.0,-4866900000.0,7093200000.0,0.0,-5800000.0,0.0,9845100000.0,-4866900000.0,11960100000.0,139400000.0,9759700000.0,2200400000.0,-145200000.0,2055200000.0,7093200000.0,999300000.0,998400000.0,1006000000.0
MCD,2013,FY,5.59,5.59,3.12,5.55,2618600000.0,5585900000.0,5585900000.0,0.0,5585900000.0,0.0,7985700000.0,28105700000.0,0.0,-32000000.0,0.0,11602900000.0,7985700000.0,20120000000.0,527800000.0,11355700000.0,8764300000.0,-559800000.0,8204500000.0,28105700000.0,999300000.0,998400000.0,1006000000.0
MCD,2014,Q1,1.22,1.22,0.81,1.21,578500000.0,1204800000.0,1204800000.0,0.0,1204800000.0,0.0,4184200000.0,6700300000.0,0.0,-17200000.0,0.0,620400000.0,4184200000.0,2516100000.0,135500000.0,580100000.0,1936000000.0,-152700000.0,1783300000.0,6700300000.0,987500000.0,989600000.0,995900000.0
MCD,2014,Q2,1.4,1.4,0.81,1.4,684400000.0,1387100000.0,1387100000.0,0.0,1387100000.0,0.0,4397400000.0,7181700000.0,0.0,20400000.0,0.0,629200000.0,4397400000.0,2784300000.0,137900000.0,595300000.0,2189000000.0,-117500000.0,2071500000.0,7181700000.0,990800000.0,987400000.0,993200000.0
MCD,2014,Q3,1.09,1.09,1.66,1.09,852700000.0,1068400000.0,1068400000.0,0.0,1068400000.0,0.0,4305900000.0,6987100000.0,0.0,-2100000.0,0.0,575800000.0,4305900000.0,2681200000.0,149300000.0,608700000.0,2072500000.0,-151400000.0,1921100000.0,6987100000.0,980200000.0,978700000.0,983800000.0
MCD,2014,Q4,1.14,1.14,0.0,1.12,498600000.0,1097500000.0,1097500000.0,0.0,1097500000.0,0.0,-5060500000.0,6572200000.0,0.0,-1900000.0,0.0,9821100000.0,-5060500000.0,11632700000.0,153700000.0,9881000000.0,1751700000.0,-155600000.0,1596100000.0,6572200000.0,981000000.0,980500000.0,986300000.0
MCD,2014,FY,4.85,4.85,3.28,4.82,2614200000.0,4757800000.0,4757800000.0,0.0,4757800000.0,0.0,7827000000.0,27441300000.0,0.0,-800000.0,0.0,11646500000.0,7827000000.0,19614300000.0,576400000.0,11665100000.0,7949200000.0,-577200000.0,7372000000.0,27441300000.0,981000000.0,980500000.0,986300000.0
MCD,2015,Q1,0.84,0.84,0.85,0.84,442600000.0,811500000.0,811500000.0,0.0,811500000.0,0.0,3757900000.0,5958900000.0,0.0,15900000.0,0.0,582800000.0,3757900000.0,2201000000.0,147300000.0,815500000.0,1385500000.0,-131400000.0,1254100000.0,5958900000.0,966100000.0,960600000.0,965500000.0
MCD,2015,Q2,1.26,1.26,0.85,1.26,510000000.0,1202400000.0,1202400000.0,0.0,1202400000.0,0.0,4007300000.0,6497700000.0,0.0,12300000.0,0.0,592400000.0,4007300000.0,2490400000.0,149200000.0,641100000.0,1849300000.0,-136900000.0,1712400000.0,6497700000.0,954300000.0,953200000.0,957600000.0
MCD,2015,Q3,1.41,1.41,0.85,1.4,569200000.0,1309200000.0,1309200000.0,0.0,1309200000.0,0.0,4023800000.0,6615100000.0,0.0,9000000.0,0.0,584000000.0,4023800000.0,2591300000.0,160900000.0,561000000.0,2030300000.0,-151900000.0,1878400000.0,6615100000.0,928500000.0,930300000.0,934800000.0
MCD,2015,Q4,1.31,1.31,0.89,1.3,504600000.0,1206200000.0,1206200000.0,0.0,1206200000.0,0.0,-4589900000.0,6341300000.0,0.0,11300000.0,0.0,9099800000.0,-4589900000.0,10931200000.0,180900000.0,9050800000.0,1880400000.0,-169600000.0,1710800000.0,6341300000.0,939700000.0,939400000.0,944600000.0
MCD,2015,FY,4.82,4.82,3.44,4.8,2026400000.0,4529300000.0,4529300000.0,0.0,4529300000.0,0.0,7199100000.0,25413000000.0,0.0,48500000.0,0.0,10859000000.0,7199100000.0,18213900000.0,638300000.0,11068400000.0,7145500000.0,-589800000.0,6555700000.0,25413000000.0,939700000.0,939400000.0,944600000.0
MCD,2016,Q1,1.27,1.27,0.89,1.25,451600000.0,1124800000.0,1124800000.0,0.0,1124800000.0,0.0,3590400000.0,5903900000.0,0.0,14400000.0,0.0,578000000.0,3590400000.0,2313500000.0,218300000.0,533200000.0,1780300000.0,-203900000.0,1576400000.0,5903900000.0,885700000.0,888900000.0,896300000.0
MCD,2016,Q2,1.27,1.27,0.89,1.25,557300000.0,1092900000.0,1092900000.0,0.0,1092900000.0,0.0,3679000000.0,6265000000.0,0.0,16200000.0,0.0,596100000.0,3679000000.0,2586000000.0,223900000.0,728100000.0,1857900000.0,-207700000.0,1650200000.0,6265000000.0,860600000.0,864000000.0,871200000.0
MCD,2016,Q3,1.52,1.52,0.89,1.5,629100000.0,1275400000.0,1275400000.0,0.0,1275400000.0,0.0,3677100000.0,6424100000.0,0.0,-11400000.0,0.0,582900000.0,3677100000.0,2747000000.0,221400000.0,609700000.0,2137300000.0,-232800000.0,1904500000.0,6424100000.0,839100000.0,841400000.0,847700000.0
MCD,2016,Q4,1.43,1.43,0.94,1.44,541500000.0,1193400000.0,1193400000.0,0.0,1193400000.0,0.0,-4331200000.0,6028900000.0,0.0,-12900000.0,0.0,8429400000.0,-4331200000.0,10360100000.0,221200000.0,8391100000.0,1969000000.0,-234100000.0,1734900000.0,6028900000.0,853600000.0,854400000.0,861200000.0
MCD,2016,FY,5.49,5.49,3.61,5.44,2179500000.0,4686500000.0,4686500000.0,0.0,4686500000.0,0.0,6615300000.0,24621900000.0,0.0,6300000.0,0.0,10186400000.0,6615300000.0,18006600000.0,884800000.0,10262100000.0,7744500000.0,-878500000.0,6866000000.0,24621900000.0,853600000.0,854400000.0,861200000.0
MCD,2017,Q1,1.48,1.48,0.94,1.47,592700000.0,1214800000.0,1214800000.0,0.0,1214800000.0,0.0,3246500000.0,5675900000.0,0.0,-7900000.0,0.0,521300000.0,3246500000.0,2429400000.0,218600000.0,395400000.0,2034000000.0,-226500000.0,1807500000.0,5675900000.0,820800000.0,818800000.0,825200000.0
MCD,2017,Q2,1.72,1.72,0.94,1.7,666300000.0,1395100000.0,1395100000.0,0.0,1395100000.0,0.0,3341300000.0,6049700000.0,0.0,-2800000.0,0.0,525400000.0,3341300000.0,2708400000.0,230900000.0,413300000.0,2295100000.0,-233700000.0,2061400000.0,6049700000.0,811100000.0,811600000.0,819200000.0
MCD,2017,Q3,2.34,2.34,1.95,2.32,935800000.0,1883700000.0,1883700000.0,0.0,1883700000.0,0.0,2937100000.0,5754600000.0,0.0,-23200000.0,0.0,567000000.0,2937100000.0,2817500000.0,236700000.0,-261900000.0,3079400000.0,-259900000.0,2819500000.0,5754600000.0,805000000.0,805300000.0,813500000.0
MCD,2017,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,2017,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
