ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
MET,2009,Q1,-0.71,-0.71,0.0,-0.71,-377000000.0,-548000000.0,-585000000.0,37000000.0,-574000000.0,-4000000.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-962000000.0,10214000000.0,808500000.0,808500000.0,808500000.0
MET,2009,Q2,-1.74,-1.74,0.0,-1.74,-956000000.0,-1418000000.0,-1419000000.0,1000000.0,-1433000000.0,-16000000.0,0.0,0.0,0.0,0.0,31000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2375000000.0,8265000000.0,821594380.0,821594380.0,821594380.0
MET,2009,Q3,-0.79,-0.79,0.0,-0.79,-551000000.0,-625000000.0,-624000000.0,-1000000.0,-650000000.0,-5000000.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1175000000.0,10238000000.0,821764490.0,821764490.0,821764490.0
MET,2009,Q4,0.35,0.35,0.74,0.35,-141000000.0,313000000.0,292000000.0,21000000.0,289000000.0,-7000000.0,0.0,0.0,0.0,0.0,31000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151000000.0,11940000000.0,818462150.0,818462150.0,818462150.0
MET,2009,FY,-2.89,-2.89,0.74,-2.89,-2025000000.0,-2278000000.0,-2336000000.0,58000000.0,-2368000000.0,-32000000.0,0.0,0.0,0.0,0.0,122000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4361000000.0,40657000000.0,818462150.0,818462150.0,818462150.0
MET,2010,Q1,0.98,0.98,0.0,0.97,356000000.0,834000000.0,829000000.0,5000000.0,805000000.0,-1000000.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1185000000.0,13100000000.0,822654945.0,822654945.0,822654945.0
MET,2010,Q2,1.85,1.85,0.0,1.84,827000000.0,1547000000.0,1536000000.0,11000000.0,1526000000.0,-10000000.0,0.0,0.0,0.0,0.0,31000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2363000000.0,14138000000.0,822905671.0,822905671.0,822905671.0
MET,2010,Q3,0.33,0.33,0.0,0.32,68000000.0,320000000.0,317000000.0,3000000.0,286000000.0,4000000.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385000000.0,12338000000.0,875782191.0,875782191.0,875782191.0
MET,2010,Q4,-0.28,-0.28,0.74,-0.27,-141000000.0,-38000000.0,-63000000.0,25000000.0,-72000000.0,11000000.0,0.0,0.0,0.0,0.0,31000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204000000.0,12671000000.0,882436532.0,882436532.0,882436532.0
MET,2010,FY,2.88,2.88,0.74,2.86,1110000000.0,2663000000.0,2619000000.0,44000000.0,2545000000.0,4000000.0,0.0,0.0,0.0,0.0,122000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3729000000.0,52247000000.0,882436532.0,882436532.0,882436532.0
