ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
MGM,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGM,2009,Q2,-0.6,-0.6,0.0,-0.6,-97812000.0,-212575000.0,-212575000.0,0.0,-212575000.0,0.0,740505000.0,1655210000.0,0.0,-246495000.0,0.0,316623000.0,740505000.0,753650000.0,201287000.0,622551000.0,131099000.0,-441486000.0,-310387000.0,1494155000.0,354300000.0,354300000.0,354300000.0
MGM,2009,Q3,-1.7,-1.7,0.0,-1.7,-407860000.0,-750388000.0,-750388000.0,0.0,-750388000.0,0.0,764032000.0,1705421000.0,0.0,-13787000.0,0.0,322694000.0,764032000.0,769191000.0,181899000.0,1732610000.0,-963419000.0,-194829000.0,-1158248000.0,1533223000.0,441400000.0,441400000.0,441400000.0
MGM,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGM,2009,FY,-3.41,-3.41,0.0,-3.41,-720911000.0,-1291682000.0,-1291682000.0,0.0,-1291682000.0,0.0,3078428000.0,6676281000.0,0.0,-273286000.0,0.0,1243957000.0,3078428000.0,2932160000.0,775431000.0,3896036000.0,-963876000.0,-1048717000.0,-2012593000.0,6010588000.0,378513000.0,378513000.0,378513000.0
MGM,2010,Q1,-0.22,-0.22,0.0,-0.22,-60352000.0,-96741000.0,-96741000.0,0.0,-96741000.0,0.0,800653000.0,1615489000.0,0.0,118505000.0,0.0,300932000.0,800653000.0,656739000.0,264175000.0,668162000.0,-11423000.0,-145670000.0,-157093000.0,1457392000.0,439700000.0,439700000.0,439700000.0
MGM,2010,Q2,-2.0,-2.0,0.0,-2.0,-479495000.0,-883476000.0,-883476000.0,0.0,-883476000.0,0.0,843173000.0,1706880000.0,0.0,-22985000.0,0.0,314354000.0,843173000.0,704156000.0,291169000.0,1752973000.0,-1048817000.0,-314154000.0,-1362971000.0,1547329000.0,441297000.0,441297000.0,441297000.0
MGM,2010,Q3,-0.72,-0.72,0.0,-0.72,-192936000.0,-317991000.0,-317991000.0,0.0,-317991000.0,0.0,842460000.0,1728450000.0,0.0,-19887000.0,0.0,323171000.0,842460000.0,724657000.0,285139000.0,930558000.0,-205901000.0,-305026000.0,-510927000.0,1567117000.0,441328000.0,441328000.0,441328000.0
MGM,2010,Q4,-0.25,-0.25,0.0,-0.25,-45845000.0,-139189000.0,-139189000.0,0.0,-139189000.0,0.0,947641000.0,1638710000.0,0.0,-19147000.0,0.0,314587000.0,947641000.0,536522000.0,273097000.0,429312000.0,107210000.0,-292244000.0,-185034000.0,1484163000.0,450449000.0,450449000.0,450449000.0
MGM,2010,FY,-3.19,-3.19,0.0,-3.19,-778628000.0,-1437397000.0,-1437397000.0,0.0,-1437397000.0,0.0,3433927000.0,6689529000.0,0.0,56486000.0,0.0,1253044000.0,3433927000.0,2622074000.0,1113580000.0,3781005000.0,-1158931000.0,-1057094000.0,-2216025000.0,6056001000.0,450449000.0,450449000.0,450449000.0
