ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
MHK,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHK,2009,Q2,0.68,0.68,0.0,0.67,3037000.0,47207000.0,47207000.0,0.0,46261000.0,946000.0,1038624000.0,1406012000.0,0.0,5568000.0,0.0,292710000.0,1038624000.0,367388000.0,30002000.0,292710000.0,74678000.0,-24434000.0,50244000.0,1406012000.0,68000000.0,68449000.0,68613000.0
MHK,2009,Q3,0.5,0.5,0.0,0.5,2015000.0,35395000.0,35395000.0,0.0,34348000.0,1047000.0,1013106000.0,1382565000.0,0.0,1657000.0,0.0,301388000.0,1013106000.0,369459000.0,32318000.0,301388000.0,68071000.0,-30661000.0,37410000.0,1382565000.0,69000000.0,68456000.0,68653000.0
MHK,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHK,2009,FY,-0.08,-0.08,0.0,-0.08,-76694000.0,-1019000.0,-1019000.0,0.0,-5499000.0,4480000.0,4111794000.0,5344024000.0,0.0,5588000.0,0.0,1188500000.0,4111794000.0,1232230000.0,127031000.0,1188500000.0,43730000.0,-121443000.0,-77713000.0,5344024000.0,68452000.0,68452000.0,68452000.0
MHK,2010,Q1,0.3,0.3,0.0,0.3,2974000.0,21270000.0,21270000.0,0.0,20538000.0,732000.0,1005990000.0,1347236000.0,0.0,4531000.0,0.0,287625000.0,1005990000.0,341246000.0,33908000.0,287625000.0,53621000.0,-29377000.0,24244000.0,1347236000.0,68000000.0,68523000.0,68730000.0
MHK,2010,Q2,0.95,0.95,0.0,0.95,-18814000.0,68965000.0,68965000.0,0.0,68081000.0,884000.0,1025330000.0,1400086000.0,0.0,-544000.0,0.0,285030000.0,1025330000.0,374756000.0,39031000.0,285030000.0,89726000.0,-39575000.0,50151000.0,1400086000.0,68585000.0,68585000.0,68585000.0
MHK,2010,Q3,0.74,0.74,0.0,0.74,7513000.0,52264000.0,52264000.0,0.0,51094000.0,1170000.0,964620000.0,1309552000.0,0.0,4641000.0,0.0,259750000.0,964620000.0,344932000.0,30046000.0,259750000.0,85182000.0,-25405000.0,59777000.0,1309552000.0,68593000.0,68593000.0,68593000.0
MHK,2010,Q4,0.67,0.67,0.0,0.66,11040000.0,47436000.0,47436000.0,0.0,45758000.0,1678000.0,920532000.0,1262198000.0,0.0,3002000.0,0.0,256026000.0,920532000.0,341666000.0,30166000.0,256026000.0,85640000.0,-27164000.0,58476000.0,1262198000.0,68578000.0,68578000.0,68578000.0
MHK,2010,FY,2.66,2.66,0.0,2.65,2713000.0,189935000.0,189935000.0,0.0,185471000.0,4464000.0,3916472000.0,5319072000.0,0.0,11630000.0,0.0,1088431000.0,3916472000.0,1402600000.0,133151000.0,1088431000.0,314169000.0,-121521000.0,192648000.0,5319072000.0,68578000.0,68578000.0,68578000.0
MHK,2011,Q1,0.34,0.34,0.0,0.34,4966000.0,24538000.0,24538000.0,0.0,23442000.0,1096000.0,1002003000.0,1343595000.0,0.0,15000.0,0.0,285508000.0,1002003000.0,341592000.0,26595000.0,285508000.0,56084000.0,-26580000.0,29504000.0,1343595000.0,68900000.0,68674000.0,68904000.0
MHK,2011,Q2,0.89,0.89,0.0,0.88,13450000.0,62094000.0,62094000.0,0.0,60903000.0,1191000.0,1095607000.0,1477854000.0,0.0,-396000.0,0.0,280547000.0,1095607000.0,382247000.0,25760000.0,280547000.0,101700000.0,-26156000.0,75544000.0,1477854000.0,68000000.0,68744000.0,68981000.0
MHK,2011,Q3,0.68,0.68,0.0,0.68,5223000.0,47696000.0,47696000.0,0.0,46646000.0,1050000.0,1084889000.0,1442512000.0,0.0,-13413000.0,0.0,266159000.0,1084889000.0,357623000.0,25132000.0,266159000.0,91464000.0,-38545000.0,52919000.0,1442512000.0,69000000.0,68759000.0,68954000.0
MHK,2011,Q4,0.62,0.62,0.0,0.62,-1990000.0,43897000.0,43897000.0,0.0,42931000.0,966000.0,1042880000.0,1378297000.0,0.0,-257000.0,0.0,269123000.0,1042880000.0,335417000.0,24130000.0,269123000.0,66294000.0,-24387000.0,41907000.0,1378297000.0,69000000.0,68736000.0,68964000.0
MHK,2011,FY,2.53,2.53,0.0,2.52,21649000.0,178225000.0,178225000.0,0.0,173922000.0,4303000.0,4225379000.0,5642258000.0,0.0,-14051000.0,0.0,1101337000.0,4225379000.0,1416879000.0,101617000.0,1101337000.0,315542000.0,-115668000.0,199874000.0,5642258000.0,69000000.0,68736000.0,68964000.0
MHK,2012,Q1,0.59,0.59,0.0,0.58,10291000.0,41012000.0,41012000.0,0.0,40377000.0,635000.0,1049609000.0,1409035000.0,0.0,1825000.0,0.0,287450000.0,1049609000.0,359426000.0,22498000.0,287450000.0,71976000.0,-20673000.0,51303000.0,1409035000.0,68000000.0,68862000.0,69141000.0
MHK,2012,Q2,1.06,1.06,0.0,1.06,15246000.0,73188000.0,73188000.0,0.0,73188000.0,0.0,1081329000.0,1469793000.0,0.0,-440000.0,0.0,280746000.0,1081329000.0,388464000.0,18844000.0,280746000.0,107718000.0,-19284000.0,88434000.0,1469793000.0,69000000.0,68984000.0,69259000.0
MHK,2012,Q3,1.02,1.02,0.0,1.01,15359000.0,70304000.0,70304000.0,0.0,70304000.0,0.0,1100656000.0,1473493000.0,0.0,-322000.0,0.0,268883000.0,1100656000.0,372837000.0,17969000.0,268883000.0,103954000.0,-18291000.0,85663000.0,1473493000.0,69000000.0,69010000.0,69337000.0
MHK,2012,Q4,0.96,0.96,0.0,0.96,12703000.0,66389000.0,66389000.0,0.0,66389000.0,0.0,1066328000.0,1435659000.0,0.0,-1366000.0,0.0,273471000.0,1066328000.0,369331000.0,15402000.0,273471000.0,95860000.0,-16768000.0,79092000.0,1435659000.0,69000000.0,68988000.0,69306000.0
MHK,2012,FY,3.63,3.63,0.0,3.61,53599000.0,250893000.0,250893000.0,0.0,250258000.0,635000.0,4297922000.0,5787980000.0,0.0,-303000.0,0.0,1110550000.0,4297922000.0,1490058000.0,74713000.0,1110550000.0,379508000.0,-75016000.0,304492000.0,5787980000.0,69000000.0,68988000.0,69306000.0
MHK,2013,Q1,0.73,0.73,0.0,0.72,10732000.0,50567000.0,50567000.0,0.0,50495000.0,72000.0,1109749000.0,1486815000.0,0.0,-6387000.0,0.0,290224000.0,1109749000.0,377066000.0,19156000.0,290224000.0,86842000.0,-25543000.0,61299000.0,1486815000.0,69000000.0,69375000.0,69897000.0
MHK,2013,Q2,1.17,1.17,0.0,1.16,23240000.0,84382000.0,85743000.0,-1361000.0,84572000.0,-190000.0,1462243000.0,1976299000.0,0.0,1097000.0,0.0,380858000.0,1462243000.0,514056000.0,25312000.0,380858000.0,133198000.0,-24215000.0,108983000.0,1976299000.0,72000000.0,72406000.0,72867000.0
