ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,totalcostofrevenue,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
NEM,2010,Q1,1.11,1.11,0.1,1.11,141000000.0,743000000.0,743000000.0,0.0,546000000.0,197000000.0,869000000.0,2242000000.0,0.0,48000000.0,0.0,134000000.0,869000000.0,1373000000.0,75000000.0,460000000.0,913000000.0,-27000000.0,886000000.0,2242000000.0,491000000.0,491000000.0,491000000.0
NEM,2010,Q2,0.78,0.78,0.1,0.77,283000000.0,537000000.0,537000000.0,0.0,382000000.0,155000000.0,848000000.0,2153000000.0,0.0,44000000.0,0.0,104000000.0,848000000.0,1305000000.0,69000000.0,458000000.0,847000000.0,-25000000.0,822000000.0,2153000000.0,492000000.0,492000000.0,492000000.0
NEM,2010,Q3,1.09,1.09,0.15,1.07,360000000.0,814000000.0,814000000.0,0.0,537000000.0,277000000.0,891000000.0,2597000000.0,0.0,5000000.0,0.0,95000000.0,891000000.0,1706000000.0,66000000.0,468000000.0,1238000000.0,-61000000.0,1177000000.0,2597000000.0,493000000.0,493000000.0,493000000.0
NEM,2010,Q4,1.65,1.65,0.15,1.6,72000000.0,1022000000.0,1050000000.0,-28000000.0,812000000.0,210000000.0,876000000.0,2548000000.0,0.0,12000000.0,0.0,106000000.0,876000000.0,1672000000.0,69000000.0,503000000.0,1169000000.0,-57000000.0,1112000000.0,2548000000.0,492000000.0,492000000.0,492000000.0
NEM,2010,FY,4.63,4.63,0.5,4.55,856000000.0,3116000000.0,3144000000.0,-28000000.0,2277000000.0,839000000.0,3484000000.0,9540000000.0,0.0,109000000.0,0.0,439000000.0,3484000000.0,6056000000.0,279000000.0,1889000000.0,4167000000.0,-170000000.0,3997000000.0,9540000000.0,492000000.0,492000000.0,492000000.0
NEM,2011,Q1,1.04,1.04,0.15,1.03,305000000.0,670000000.0,670000000.0,0.0,514000000.0,156000000.0,940000000.0,2465000000.0,0.0,31000000.0,0.0,118000000.0,940000000.0,1525000000.0,65000000.0,518000000.0,1007000000.0,-34000000.0,973000000.0,2465000000.0,493000000.0,493000000.0,493000000.0
NEM,2011,Q2,0.78,0.78,0.2,0.77,187000000.0,524000000.0,660000000.0,-136000000.0,387000000.0,137000000.0,917000000.0,2384000000.0,0.0,48000000.0,0.0,137000000.0,917000000.0,1467000000.0,63000000.0,605000000.0,862000000.0,-15000000.0,847000000.0,2384000000.0,494000000.0,494000000.0,494000000.0
NEM,2011,Q3,1.0,1.0,0.3,0.98,371000000.0,675000000.0,675000000.0,0.0,493000000.0,182000000.0,1008000000.0,2744000000.0,0.0,-76000000.0,0.0,86000000.0,1008000000.0,1736000000.0,65000000.0,559000000.0,1177000000.0,-141000000.0,1036000000.0,2744000000.0,494000000.0,494000000.0,494000000.0
NEM,2011,Q4,-2.08,-2.08,0.35,-2.05,-150000000.0,-897000000.0,-897000000.0,0.0,-1028000000.0,131000000.0,1025000000.0,2765000000.0,0.0,9000000.0,0.0,122000000.0,1025000000.0,1740000000.0,-193000000.0,2744000000.0,-1004000000.0,-42000000.0,-1046000000.0,2765000000.0,494000000.0,494000000.0,494000000.0
NEM,2011,FY,0.74,0.74,1.0,0.73,713000000.0,972000000.0,1108000000.0,-136000000.0,366000000.0,606000000.0,3890000000.0,10358000000.0,0.0,12000000.0,0.0,463000000.0,3890000000.0,6468000000.0,0.0,4426000000.0,2042000000.0,-232000000.0,1810000000.0,10358000000.0,494000000.0,494000000.0,494000000.0
NEM,2012,Q1,0.99,0.99,0.35,0.97,343000000.0,603000000.0,674000000.0,-71000000.0,490000000.0,113000000.0,1017000000.0,2683000000.0,0.0,33000000.0,0.0,174000000.0,1017000000.0,1666000000.0,52000000.0,611000000.0,1055000000.0,-19000000.0,1036000000.0,2683000000.0,495000000.0,495000000.0,495000000.0
NEM,2012,Q2,0.56,0.56,0.35,0.56,175000000.0,371000000.0,371000000.0,0.0,279000000.0,92000000.0,1002000000.0,2229000000.0,0.0,36000000.0,0.0,183000000.0,1002000000.0,1227000000.0,0.0,635000000.0,592000000.0,-35000000.0,557000000.0,2229000000.0,496000000.0,496000000.0,496000000.0
NEM,2012,Q3,0.74,0.74,0.35,0.74,228000000.0,447000000.0,480000000.0,-33000000.0,367000000.0,80000000.0,1088000000.0,2480000000.0,0.0,52000000.0,0.0,182000000.0,1088000000.0,1392000000.0,0.0,660000000.0,732000000.0,-15000000.0,717000000.0,2480000000.0,496000000.0,496000000.0,496000000.0
NEM,2012,Q4,1.35,1.35,0.35,1.34,130000000.0,690000000.0,662000000.0,28000000.0,666000000.0,24000000.0,1227000000.0,2572000000.0,0.0,157000000.0,0.0,122000000.0,1227000000.0,1345000000.0,-52000000.0,639000000.0,706000000.0,98000000.0,804000000.0,2572000000.0,496000000.0,496000000.0,496000000.0
NEM,2012,FY,3.64,3.64,1.4,3.61,876000000.0,2111000000.0,2187000000.0,-76000000.0,1802000000.0,309000000.0,4334000000.0,9964000000.0,0.0,278000000.0,0.0,661000000.0,4334000000.0,5630000000.0,0.0,2545000000.0,3085000000.0,29000000.0,3114000000.0,9964000000.0,496000000.0,496000000.0,496000000.0
NEM,2013,Q1,0.63,0.63,0.425,0.63,180000000.0,314000000.0,356000000.0,0.0,314000000.0,0.0,1057000000.0,2188000000.0,0.0,26000000.0,0.0,156000000.0,1057000000.0,1131000000.0,0.0,552000000.0,579000000.0,-39000000.0,540000000.0,2188000000.0,497000000.0,497000000.0,497000000.0
NEM,2013,Q2,-4.14,-4.14,0.35,-4.14,-287000000.0,-2273000000.0,-2347000000.0,74000000.0,-2059000000.0,-214000000.0,1682000000.0,2018000000.0,0.0,50000000.0,0.0,131000000.0,1682000000.0,336000000.0,0.0,2947000000.0,-2611000000.0,-20000000.0,-2631000000.0,2018000000.0,497000000.0,497000000.0,497000000.0
NEM,2013,Q3,0.8,0.8,0.25,0.8,161000000.0,394000000.0,415000000.0,-21000000.0,398000000.0,-4000000.0,1078000000.0,2020000000.0,0.0,290000000.0,0.0,132000000.0,1078000000.0,942000000.0,0.0,581000000.0,361000000.0,214000000.0,575000000.0,2020000000.0,498000000.0,498000000.0,498000000.0
NEM,2013,Q4,-2.38,-2.38,0.2,-2.38,-809000000.0,-1230000000.0,-1280000000.0,8000000.0,-1187000000.0,-43000000.0,1482000000.0,2188000000.0,0.0,-17000000.0,0.0,84000000.0,1482000000.0,706000000.0,0.0,2687000000.0,-1981000000.0,-109000000.0,-2090000000.0,2188000000.0,498000000.0,498000000.0,498000000.0
NEM,2013,FY,-5.09,-5.09,1.225,-5.09,-755000000.0,-2795000000.0,-2856000000.0,61000000.0,-2534000000.0,-261000000.0,5299000000.0,8414000000.0,0.0,349000000.0,0.0,503000000.0,5299000000.0,3115000000.0,0.0,6767000000.0,-3652000000.0,46000000.0,-3606000000.0,8414000000.0,498000000.0,498000000.0,498000000.0
NEM,2014,Q1,0.2,0.2,0.15,0.2,78000000.0,48000000.0,65000000.0,-17000000.0,100000000.0,-52000000.0,1083000000.0,1764000000.0,0.0,46000000.0,0.0,97000000.0,1083000000.0,681000000.0,0.0,491000000.0,190000000.0,-47000000.0,143000000.0,1764000000.0,498000000.0,498000000.0,498000000.0
NEM,2014,Q2,0.36,0.36,0.025,0.36,-53000000.0,145000000.0,147000000.0,-2000000.0,180000000.0,-35000000.0,1060000000.0,1765000000.0,0.0,3000000.0,0.0,112000000.0,1060000000.0,705000000.0,0.0,522000000.0,183000000.0,-91000000.0,92000000.0,1765000000.0,499000000.0,499000000.0,499000000.0
NEM,2014,Q3,0.43,0.43,0.025,0.43,-47000000.0,75000000.0,72000000.0,3000000.0,213000000.0,-138000000.0,1185000000.0,1746000000.0,0.0,79000000.0,0.0,108000000.0,1185000000.0,561000000.0,0.0,526000000.0,35000000.0,-10000000.0,25000000.0,1746000000.0,499000000.0,499000000.0,499000000.0
NEM,2014,Q4,0.03,0.03,0.03,0.03,226000000.0,61000000.0,329000000.0,-268000000.0,15000000.0,46000000.0,591000000.0,1544000000.0,0.0,30000000.0,0.0,12000000.0,591000000.0,953000000.0,0.0,368000000.0,585000000.0,-24000000.0,561000000.0,1544000000.0,499000000.0,499000000.0,499000000.0
NEM,2014,FY,1.02,1.02,0.225,1.02,204000000.0,329000000.0,613000000.0,-284000000.0,508000000.0,-179000000.0,3919000000.0,6819000000.0,0.0,158000000.0,0.0,329000000.0,3919000000.0,2900000000.0,0.0,1907000000.0,993000000.0,-172000000.0,821000000.0,6819000000.0,499000000.0,499000000.0,499000000.0
NEM,2015,Q1,0.37,0.37,0.025,0.37,193000000.0,183000000.0,221000000.0,8000000.0,183000000.0,0.0,1027000000.0,1972000000.0,0.0,11000000.0,0.0,75000000.0,1027000000.0,945000000.0,0.0,448000000.0,497000000.0,-74000000.0,423000000.0,1972000000.0,499000000.0,499000000.0,499000000.0
NEM,2015,Q2,0.14,0.14,0.025,0.14,152000000.0,72000000.0,139000000.0,9000000.0,72000000.0,0.0,1027000000.0,1908000000.0,0.0,-23000000.0,0.0,95000000.0,1027000000.0,881000000.0,0.0,478000000.0,403000000.0,-105000000.0,298000000.0,1908000000.0,505000000.0,505000000.0,505000000.0
NEM,2015,Q3,0.42,0.42,0.025,0.42,61000000.0,285000000.0,159000000.0,126000000.0,219000000.0,66000000.0,925000000.0,1560000000.0,0.0,142000000.0,0.0,86000000.0,925000000.0,635000000.0,0.0,465000000.0,170000000.0,68000000.0,238000000.0,1560000000.0,529000000.0,529000000.0,529000000.0
NEM,2015,Q4,-0.5,-0.5,0.03,-0.5,-15000000.0,-236000000.0,-660000000.0,302000000.0,-254000000.0,18000000.0,599000000.0,645000000.0,0.0,5000000.0,0.0,101000000.0,599000000.0,46000000.0,0.0,659000000.0,-613000000.0,-51000000.0,-664000000.0,645000000.0,516000000.0,516000000.0,516000000.0
NEM,2015,FY,0.43,0.43,0.1,0.43,391000000.0,304000000.0,-141000000.0,445000000.0,220000000.0,84000000.0,3578000000.0,6085000000.0,0.0,135000000.0,0.0,357000000.0,3578000000.0,2507000000.0,0.0,2050000000.0,457000000.0,-162000000.0,295000000.0,6085000000.0,516000000.0,516000000.0,516000000.0
NEM,2016,Q1,0.1,0.1,0.025,0.1,227000000.0,135000000.0,-24000000.0,159000000.0,52000000.0,95000000.0,851000000.0,1462000000.0,0.0,96000000.0,0.0,71000000.0,851000000.0,611000000.0,0.0,425000000.0,186000000.0,22000000.0,208000000.0,1462000000.0,530000000.0,530000000.0,530000000.0
NEM,2016,Q2,0.04,0.04,0.025,0.04,238000000.0,62000000.0,-2000000.0,64000000.0,23000000.0,39000000.0,902000000.0,1669000000.0,0.0,1000000.0,0.0,77000000.0,902000000.0,767000000.0,0.0,461000000.0,306000000.0,-65000000.0,241000000.0,1669000000.0,575000000.0,575000000.0,575000000.0
NEM,2016,Q3,-0.67,-0.67,0.025,-0.67,90000000.0,-313000000.0,135000000.0,-448000000.0,-358000000.0,45000000.0,983000000.0,1791000000.0,0.0,-4000000.0,0.0,84000000.0,983000000.0,808000000.0,0.0,517000000.0,291000000.0,-68000000.0,223000000.0,1791000000.0,531000000.0,531000000.0,531000000.0
NEM,2016,Q4,-0.65,-0.65,0.05,-0.65,8000000.0,-807000000.0,-899000000.0,92000000.0,-344000000.0,-475000000.0,1036000000.0,1789000000.0,0.0,-24000000.0,0.0,59000000.0,1036000000.0,753000000.0,0.0,1546000000.0,-793000000.0,-93000000.0,-886000000.0,1789000000.0,530000000.0,530000000.0,530000000.0
NEM,2016,FY,-1.18,-1.18,0.125,-1.18,563000000.0,-923000000.0,-790000000.0,-133000000.0,-627000000.0,-296000000.0,3772000000.0,6711000000.0,0.0,69000000.0,0.0,291000000.0,3772000000.0,2939000000.0,0.0,2949000000.0,-10000000.0,-204000000.0,-214000000.0,6711000000.0,530000000.0,530000000.0,530000000.0
NEM,2017,Q1,0.09,0.09,0.05,0.09,110000000.0,58000000.0,81000000.0,-23000000.0,46000000.0,12000000.0,933000000.0,1659000000.0,0.0,-9000000.0,0.0,72000000.0,933000000.0,726000000.0,0.0,457000000.0,269000000.0,-76000000.0,193000000.0,1659000000.0,532000000.0,532000000.0,532000000.0
NEM,2017,Q2,0.33,0.33,0.05,0.33,167000000.0,151000000.0,166000000.0,-15000000.0,177000000.0,-26000000.0,999000000.0,1875000000.0,0.0,31000000.0,0.0,72000000.0,999000000.0,876000000.0,0.0,507000000.0,369000000.0,-33000000.0,336000000.0,1875000000.0,533000000.0,533000000.0,533000000.0
NEM,2017,Q3,0.38,0.38,0.075,0.38,72000000.0,198000000.0,205000000.0,-7000000.0,206000000.0,-8000000.0,1053000000.0,1879000000.0,0.0,10000000.0,0.0,59000000.0,1053000000.0,826000000.0,0.0,504000000.0,322000000.0,-46000000.0,276000000.0,1879000000.0,533000000.0,533000000.0,533000000.0
NEM,2017,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEM,2017,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
