ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
ORLY,2008,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORLY,2008,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORLY,2008,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORLY,2008,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORLY,2008,FY,1.5,1.5,0.0,1.48,116300000.0,186232000.0,186232000.0,0.0,186232000.0,0.0,1948627000.0,3576553000.0,0.0,-17289000.0,0.0,1292309000.0,1948627000.0,1627926000.0,18981000.0,1292309000.0,335617000.0,-33085000.0,302532000.0,3576553000.0,124200000.0,124526000.0,125413000.0
ORLY,2009,Q1,0.47,0.47,0.0,0.46,39350000.0,62835000.0,62835000.0,0.0,62835000.0,0.0,621079000.0,1163749000.0,0.0,483000.0,0.0,429334000.0,621079000.0,542670000.0,12060000.0,429334000.0,113336000.0,-11151000.0,102185000.0,1163749000.0,133700000.0,135043000.0,136234000.0
ORLY,2009,Q2,0.63,0.63,0.0,0.62,53950000.0,85515000.0,85515000.0,0.0,85515000.0,0.0,647608000.0,1251377000.0,0.0,390000.0,0.0,454094000.0,647608000.0,603769000.0,10961000.0,454094000.0,149675000.0,-10210000.0,139465000.0,1251377000.0,135700000.0,135773000.0,137548000.0
ORLY,2009,Q3,0.64,0.64,0.0,0.63,52050000.0,87225000.0,87225000.0,0.0,87225000.0,0.0,647684000.0,1258239000.0,0.0,825000.0,0.0,461359000.0,647684000.0,610555000.0,11086000.0,461359000.0,149196000.0,-9921000.0,139275000.0,1258239000.0,136300000.0,136774000.0,138704000.0
ORLY,2009,Q4,0.52,0.52,0.0,0.52,44050000.0,71923000.0,71923000.0,0.0,71923000.0,0.0,604163000.0,1173697000.0,0.0,1214000.0,0.0,444122000.0,604163000.0,569534000.0,11069000.0,444122000.0,125412000.0,-9439000.0,115973000.0,1173697000.0,136100000.0,136230000.0,137882000.0
ORLY,2009,FY,2.26,2.26,0.0,2.23,189400000.0,307498000.0,307498000.0,0.0,307498000.0,0.0,2520534000.0,4847062000.0,0.0,2912000.0,0.0,1788909000.0,2520534000.0,2326528000.0,45176000.0,1788909000.0,537619000.0,-40721000.0,496898000.0,4847062000.0,136100000.0,136230000.0,137882000.0
