ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,totalcostofrevenue,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
PFE,2010,Q1,0.25,0.25,0.18,0.25,1135000000.0,2035000000.0,2014000000.0,21000000.0,2026000000.0,9000000.0,4202000000.0,16576000000.0,0.0,0.0,0.0,4403000000.0,4202000000.0,12374000000.0,0.0,9225000000.0,3149000000.0,0.0,3149000000.0,16576000000.0,8104000000.0,8061000000.0,8101000000.0
PFE,2010,Q2,0.31,0.31,0.18,0.31,1472000000.0,2485000000.0,2454000000.0,31000000.0,2475000000.0,10000000.0,3684000000.0,17132000000.0,0.0,0.0,0.0,4774000000.0,3684000000.0,13448000000.0,0.0,9522000000.0,3926000000.0,0.0,3926000000.0,17132000000.0,7983900000.0,8046000000.0,8072000000.0
PFE,2010,Q3,0.11,0.11,0.18,0.11,558000000.0,871000000.0,856000000.0,15000000.0,866000000.0,5000000.0,3790000000.0,15995000000.0,0.0,0.0,0.0,4599000000.0,3790000000.0,12205000000.0,0.0,10791000000.0,1414000000.0,0.0,1414000000.0,15995000000.0,7872700000.0,8027000000.0,8057000000.0
PFE,2010,Q4,0.36,0.36,0.18,0.35,-2012000000.0,2897000000.0,2994000000.0,-97000000.0,2890000000.0,7000000.0,3112000000.0,15462000000.0,0.0,0.0,0.0,5197000000.0,3112000000.0,12350000000.0,0.0,11368000000.0,982000000.0,0.0,982000000.0,15462000000.0,8016500000.0,8036000000.0,8074000000.0
PFE,2010,FY,1.03,1.03,0.72,1.02,1153000000.0,8288000000.0,8318000000.0,-30000000.0,8257000000.0,31000000.0,14788000000.0,65165000000.0,0.0,0.0,0.0,18973000000.0,14788000000.0,50377000000.0,0.0,40906000000.0,9471000000.0,0.0,9471000000.0,65165000000.0,8016500000.0,8036000000.0,8074000000.0
PFE,2011,Q1,0.28,0.28,0.2,0.28,894000000.0,2234000000.0,2224000000.0,10000000.0,2222000000.0,12000000.0,3693000000.0,16502000000.0,0.0,0.0,0.0,4503000000.0,3693000000.0,12809000000.0,0.0,9691000000.0,3118000000.0,0.0,3118000000.0,16502000000.0,7935700000.0,7982000000.0,8035000000.0
PFE,2011,Q2,0.33,0.33,0.2,0.33,1077000000.0,2618000000.0,2521000000.0,97000000.0,2610000000.0,8000000.0,3571000000.0,16485000000.0,0.0,0.0,0.0,4800000000.0,3571000000.0,12914000000.0,0.0,9316000000.0,3598000000.0,0.0,3598000000.0,16485000000.0,7909100000.0,7875000000.0,7935000000.0
PFE,2011,Q3,0.48,0.48,0.2,0.48,1216000000.0,3749000000.0,2325000000.0,1424000000.0,3738000000.0,11000000.0,3409000000.0,16609000000.0,0.0,0.0,0.0,4457000000.0,3409000000.0,13200000000.0,0.0,9659000000.0,3541000000.0,0.0,3541000000.0,16609000000.0,7787500000.0,7770000000.0,7810000000.0
PFE,2011,Q4,0.19,0.19,0.2,0.18,434000000.0,1448000000.0,790000000.0,658000000.0,1439000000.0,9000000.0,1827000000.0,11439000000.0,0.0,0.0,0.0,3821000000.0,1827000000.0,9612000000.0,0.0,8388000000.0,1224000000.0,0.0,1224000000.0,11439000000.0,7819500000.0,7817000000.0,7870000000.0
PFE,2011,FY,1.28,1.28,0.8,1.27,3621000000.0,10049000000.0,7860000000.0,2189000000.0,10009000000.0,40000000.0,12500000000.0,61035000000.0,0.0,0.0,0.0,17581000000.0,12500000000.0,48535000000.0,0.0,37054000000.0,11481000000.0,0.0,11481000000.0,61035000000.0,7819500000.0,7817000000.0,7870000000.0
PFE,2012,Q1,0.24,0.24,0.22,0.24,711000000.0,1803000000.0,1724000000.0,79000000.0,1794000000.0,9000000.0,2745000000.0,14885000000.0,0.0,0.0,0.0,3968000000.0,2745000000.0,12140000000.0,0.0,9705000000.0,2435000000.0,0.0,2435000000.0,14885000000.0,7475000000.0,7537000000.0,7598000000.0
PFE,2012,Q2,0.44,0.44,0.22,0.43,1180000000.0,3260000000.0,3000000000.0,260000000.0,3253000000.0,7000000.0,2376000000.0,13968000000.0,0.0,0.0,0.0,3665000000.0,2376000000.0,11592000000.0,0.0,7412000000.0,4180000000.0,0.0,4180000000.0,13968000000.0,7393200000.0,7476000000.0,7537000000.0
PFE,2012,Q3,0.43,0.43,0.22,0.43,-183000000.0,3214000000.0,2989000000.0,225000000.0,3208000000.0,6000000.0,2309000000.0,12953000000.0,0.0,0.0,0.0,3491000000.0,2309000000.0,10644000000.0,0.0,7838000000.0,2806000000.0,0.0,2806000000.0,12953000000.0,7460500000.0,7436000000.0,7508000000.0
PFE,2012,Q4,0.85,0.85,0.22,0.84,513000000.0,6321000000.0,1308000000.0,5013000000.0,6315000000.0,6000000.0,2391000000.0,12851000000.0,0.0,-4022000000.0,0.0,4047000000.0,2391000000.0,10460000000.0,0.0,4617000000.0,5843000000.0,-4022000000.0,1821000000.0,12851000000.0,7433700000.0,7442000000.0,7508000000.0
PFE,2012,FY,1.96,1.96,0.88,1.94,2221000000.0,14598000000.0,9021000000.0,5577000000.0,14570000000.0,28000000.0,9821000000.0,54657000000.0,0.0,-4022000000.0,0.0,15171000000.0,9821000000.0,44836000000.0,0.0,29572000000.0,15264000000.0,-4022000000.0,11242000000.0,54657000000.0,7433700000.0,7442000000.0,7508000000.0
PFE,2013,Q1,0.38,0.38,0.24,0.38,1109000000.0,2765000000.0,2616000000.0,149000000.0,2750000000.0,15000000.0,2263000000.0,12410000000.0,0.0,0.0,0.0,3217000000.0,2263000000.0,10147000000.0,0.0,6422000000.0,3725000000.0,0.0,3725000000.0,12410000000.0,7236800000.0,7187000000.0,7269000000.0
PFE,2013,Q2,2.0,2.0,0.24,1.98,1782000000.0,14134000000.0,3575000000.0,10559000000.0,14095000000.0,39000000.0,2242000000.0,12973000000.0,0.0,0.0,0.0,3591000000.0,2242000000.0,10731000000.0,0.0,5374000000.0,5357000000.0,0.0,5357000000.0,12973000000.0,7047500000.0,7042000000.0,7117000000.0
PFE,2013,Q3,0.39,0.39,0.24,0.39,985000000.0,2599000000.0,2588000000.0,11000000.0,2590000000.0,9000000.0,2287000000.0,12643000000.0,0.0,-411000000.0,0.0,3395000000.0,2287000000.0,10356000000.0,0.0,6372000000.0,3984000000.0,-411000000.0,3573000000.0,12643000000.0,6641000000.0,6581000000.0,6656000000.0
PFE,2013,Q4,0.46,0.46,0.24,0.44,430000000.0,2574000000.0,2631000000.0,-57000000.0,2568000000.0,6000000.0,2794000000.0,13558000000.0,0.0,943000000.0,0.0,4152000000.0,2794000000.0,10764000000.0,0.0,8646000000.0,2118000000.0,943000000.0,3061000000.0,13558000000.0,6812100000.0,6813000000.0,6895000000.0
PFE,2013,FY,3.23,3.23,0.96,3.19,4306000000.0,22072000000.0,11410000000.0,10662000000.0,22003000000.0,69000000.0,9586000000.0,51584000000.0,0.0,532000000.0,0.0,14355000000.0,9586000000.0,41998000000.0,0.0,26814000000.0,15184000000.0,532000000.0,15716000000.0,51584000000.0,6812100000.0,6813000000.0,6895000000.0
PFE,2014,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,2014,Q2,0.46,0.46,0.26,0.45,1082000000.0,2921000000.0,2921000000.0,0.0,2912000000.0,9000000.0,2462000000.0,12773000000.0,0.0,53000000.0,0.0,3520000000.0,2462000000.0,10311000000.0,0.0,6361000000.0,3950000000.0,53000000.0,4003000000.0,12773000000.0,6330400000.0,6368000000.0,6444000000.0
PFE,2014,Q3,0.42,0.42,0.26,0.42,0.0,2672000000.0,393000000.0,0.0,2672000000.0,0.0,0.0,364000000.0,0.0,0.0,0.0,0.0,0.0,364000000.0,0.0,-29000000.0,393000000.0,0.0,393000000.0,364000000.0,6330000000.0,6330000000.0,6330000000.0
PFE,2014,Q4,0.2,0.2,0.26,0.19,1456000000.0,1237000000.0,3540000000.0,0.0,1222000000.0,14000000.0,5070000000.0,25115000000.0,0.0,-439000000.0,0.0,7537000000.0,5070000000.0,20045000000.0,0.0,14609000000.0,5436000000.0,-439000000.0,4997000000.0,25115000000.0,6343800000.0,6346000000.0,6424000000.0
PFE,2014,FY,1.44,1.44,1.04,1.42,3120000000.0,9168000000.0,9119000000.0,0.0,9135000000.0,32000000.0,9577000000.0,49605000000.0,0.0,-1009000000.0,0.0,14097000000.0,9577000000.0,40028000000.0,0.0,26779000000.0,13249000000.0,-1009000000.0,12240000000.0,49605000000.0,6343800000.0,6346000000.0,6424000000.0
PFE,2015,Q1,0.38,0.38,0.28,0.38,706000000.0,2381000000.0,2376000000.0,0.0,2376000000.0,6000000.0,1838000000.0,10864000000.0,0.0,46000000.0,0.0,3104000000.0,1838000000.0,9026000000.0,0.0,5989000000.0,3037000000.0,46000000.0,3082000000.0,10864000000.0,6252600000.0,6203000000.0,6292000000.0
PFE,2015,Q2,0.43,0.43,0.28,0.42,905000000.0,2635000000.0,2635000000.0,1000000.0,2626000000.0,9000000.0,2180000000.0,11853000000.0,0.0,-55000000.0,0.0,3386000000.0,2180000000.0,9673000000.0,0.0,6078000000.0,3595000000.0,-55000000.0,3539000000.0,11853000000.0,6107000000.0,6159000000.0,6243000000.0
PFE,2015,Q3,0.35,0.35,0.28,0.34,567000000.0,2139000000.0,2130000000.0,8000000.0,2130000000.0,9000000.0,2219000000.0,12087000000.0,0.0,-661000000.0,0.0,3270000000.0,2219000000.0,9868000000.0,0.0,6510000000.0,3358000000.0,-661000000.0,2697000000.0,12087000000.0,6085700000.0,6168000000.0,6243000000.0
PFE,2015,Q4,-0.03,-0.03,0.28,-0.03,-188000000.0,-169000000.0,-166000000.0,-9000000.0,-172000000.0,2000000.0,3411000000.0,14047000000.0,0.0,-2187000000.0,0.0,5049000000.0,3411000000.0,10636000000.0,0.0,8802000000.0,1834000000.0,-2190000000.0,-353000000.0,14047000000.0,6159300000.0,6176000000.0,6257000000.0
PFE,2015,FY,1.13,1.13,1.12,1.11,1990000000.0,6986000000.0,6975000000.0,0.0,6960000000.0,26000000.0,9648000000.0,48851000000.0,0.0,-2860000000.0,0.0,14809000000.0,9648000000.0,39203000000.0,0.0,27379000000.0,11824000000.0,-2860000000.0,8965000000.0,48851000000.0,6159300000.0,6176000000.0,6257000000.0
PFE,2016,Q1,0.49,0.49,0.3,0.49,513000000.0,3048000000.0,3048000000.0,0.0,3038000000.0,9000000.0,2851000000.0,13005000000.0,0.0,-330000000.0,0.0,3385000000.0,2851000000.0,10154000000.0,0.0,6263000000.0,3891000000.0,-330000000.0,3561000000.0,13005000000.0,6200000000.0,6150000000.0,6225000000.0
PFE,2016,Q2,0.34,0.34,0.3,0.33,347000000.0,2063000000.0,2062000000.0,1000000.0,2047000000.0,16000000.0,3174000000.0,13147000000.0,0.0,-1068000000.0,0.0,3471000000.0,3174000000.0,9973000000.0,0.0,6496000000.0,3477000000.0,-1068000000.0,2410000000.0,13147000000.0,6020600000.0,6068000000.0,6149000000.0
PFE,2016,Q3,0.22,0.22,0.3,0.21,284000000.0,1319000000.0,1320000000.0,0.0,1320000000.0,0.0,3085000000.0,13045000000.0,0.0,-1417000000.0,0.0,3559000000.0,3085000000.0,9960000000.0,0.0,6939000000.0,3021000000.0,-1417000000.0,1604000000.0,13045000000.0,6000000000.0,6066000000.0,6138000000.0
PFE,2016,Q4,0.13,0.13,0.3,0.14,-21000000.0,816000000.0,799000000.0,-1000000.0,810000000.0,6000000.0,3219000000.0,13627000000.0,0.0,-840000000.0,0.0,4422000000.0,3219000000.0,10408000000.0,0.0,8791000000.0,1617000000.0,-840000000.0,776000000.0,13627000000.0,6114400000.0,6089000000.0,6159000000.0
PFE,2016,FY,1.18,1.18,1.2,1.17,1123000000.0,7246000000.0,7229000000.0,0.0,7215000000.0,31000000.0,12329000000.0,52824000000.0,0.0,-3655000000.0,0.0,14837000000.0,12329000000.0,40495000000.0,0.0,28489000000.0,12006000000.0,-3655000000.0,8351000000.0,52824000000.0,6114400000.0,6089000000.0,6159000000.0
PFE,2017,Q1,0.52,0.52,0.32,0.51,821000000.0,3130000000.0,3130000000.0,0.0,3121000000.0,9000000.0,2470000000.0,12779000000.0,0.0,1000000.0,0.0,3308000000.0,2470000000.0,10309000000.0,0.0,6359000000.0,3950000000.0,1000000.0,3951000000.0,12779000000.0,6001900000.0,6006000000.0,6092000000.0
PFE,2017,Q2,0.52,0.52,0.32,0.51,739000000.0,3078000000.0,3077000000.0,2000000.0,3073000000.0,5000000.0,2663000000.0,12896000000.0,0.0,66000000.0,0.0,3425000000.0,2663000000.0,10233000000.0,0.0,6483000000.0,3750000000.0,66000000.0,3815000000.0,12896000000.0,5909600000.0,5958000000.0,6037000000.0
PFE,2017,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,2017,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,2017,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
