ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,totalcostofrevenue,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
PVH,2010,Q1,-0.53,-0.53,0.075,-0.53,-3219000.0,-27613000.0,-27613000.0,0.0,-27613000.0,0.0,302011000.0,619044000.0,0.0,-52390000.0,0.0,287200000.0,302011000.0,317033000.0,8382000.0,287200000.0,29833000.0,-60665000.0,-30832000.0,619044000.0,52100000.0,52100000.0,52100000.0
PVH,2010,Q2,-1.07,-1.07,0.0,-1.07,-12747000.0,-70624000.0,-70624000.0,0.0,-70624000.0,0.0,528027000.0,1103268000.0,0.0,-88100000.0,0.0,524637000.0,528027000.0,575241000.0,46356000.0,524637000.0,50604000.0,-133975000.0,-83371000.0,1103268000.0,65875000.0,65875000.0,65875000.0
PVH,2010,Q3,1.42,1.42,0.0375,1.39,37218000.0,99848000.0,99848000.0,0.0,99848000.0,0.0,722952000.0,1516419000.0,0.0,0.0,0.0,615176000.0,722952000.0,793467000.0,41734000.0,615176000.0,178291000.0,-41225000.0,137066000.0,1516419000.0,70315000.0,70315000.0,71833000.0
PVH,2010,Q4,1.01,1.01,-0.08,1.02,579000.0,52766000.0,52766000.0,0.0,52766000.0,0.0,661907000.0,1398117000.0,0.0,0.0,0.0,644768000.0,661907000.0,736210000.0,38739000.0,644768000.0,91442000.0,-38097000.0,53345000.0,1398117000.0,62744000.0,62744000.0,67132000.0
PVH,2010,FY,0.83,0.83,0.0375,0.81,21831000.0,54377000.0,54377000.0,0.0,54377000.0,0.0,2214897000.0,4636848000.0,0.0,-140490000.0,0.0,2071781000.0,2214897000.0,2421951000.0,135211000.0,2071781000.0,350170000.0,-273962000.0,76208000.0,4636848000.0,62744000.0,62744000.0,67132000.0
PVH,2011,Q1,0.81,0.81,0.075,0.79,29707000.0,57667000.0,57667000.0,0.0,57667000.0,0.0,640605000.0,1369184000.0,0.0,0.0,0.0,591902000.0,640605000.0,728579000.0,49677000.0,591902000.0,136677000.0,-49303000.0,87374000.0,1369184000.0,71194000.0,71194000.0,72996000.0
PVH,2011,Q2,0.94,0.94,0.0,0.92,35304000.0,66729000.0,66729000.0,0.0,66729000.0,0.0,610312000.0,1334444000.0,0.0,0.0,0.0,590653000.0,610312000.0,724132000.0,31799000.0,590653000.0,133479000.0,-31446000.0,102033000.0,1334444000.0,70988000.0,70988000.0,72532000.0
PVH,2011,Q3,1.57,1.57,0.0375,1.54,53061000.0,112239000.0,112239000.0,0.0,112239000.0,0.0,825192000.0,1654160000.0,0.0,0.0,0.0,632982000.0,825192000.0,828968000.0,31680000.0,632982000.0,195986000.0,-30686000.0,165300000.0,1654160000.0,71490000.0,71490000.0,72882000.0
PVH,2011,Q4,0.54,0.54,-0.08,0.53,-30684000.0,39062000.0,39062000.0,0.0,39062000.0,0.0,758626000.0,1532836000.0,0.0,0.0,0.0,734313000.0,758626000.0,774210000.0,32432000.0,734313000.0,39897000.0,-31519000.0,8378000.0,1532836000.0,71424000.0,71424000.0,72936000.0
PVH,2011,FY,3.86,3.86,0.0375,3.78,87388000.0,275697000.0,275697000.0,0.0,275697000.0,0.0,2834735000.0,5890624000.0,0.0,0.0,0.0,2549850000.0,2834735000.0,3055889000.0,145588000.0,2549850000.0,506039000.0,-142954000.0,363085000.0,5890624000.0,71424000.0,71424000.0,72936000.0
PVH,2012,Q1,1.33,1.33,0.075,1.3,31362000.0,95476000.0,95476000.0,0.0,95476000.0,0.0,670577000.0,1427406000.0,0.0,0.0,0.0,602671000.0,670577000.0,756829000.0,29517000.0,602671000.0,154158000.0,-27320000.0,126838000.0,1427406000.0,68539000.0,68539000.0,73443000.0
PVH,2012,Q2,1.24,1.24,0.0,1.22,34981000.0,89918000.0,89918000.0,0.0,89918000.0,0.0,593962000.0,1336623000.0,0.0,0.0,0.0,589333000.0,593962000.0,742661000.0,28552000.0,589333000.0,153328000.0,-28429000.0,124899000.0,1336623000.0,70403000.0,70403000.0,70403000.0
PVH,2012,Q3,2.31,2.31,0.0375,2.27,45156000.0,167698000.0,167698000.0,0.0,167698000.0,0.0,773686000.0,1642770000.0,0.0,0.0,0.0,631139000.0,773686000.0,869084000.0,28660000.0,631139000.0,237945000.0,-25091000.0,212854000.0,1642770000.0,70586000.0,70586000.0,70586000.0
PVH,2012,Q4,1.1,1.1,-0.08,1.08,-2199000.0,80708000.0,80708000.0,0.0,80708000.0,0.0,755575000.0,1636201000.0,0.0,0.0,0.0,771157000.0,755575000.0,880626000.0,31971000.0,771157000.0,109469000.0,-30960000.0,78509000.0,1636201000.0,70400000.0,70400000.0,70400000.0
PVH,2012,FY,5.98,5.98,0.0375,5.87,109300000.0,433800000.0,433800000.0,0.0,433800000.0,0.0,2793800000.0,6043000000.0,0.0,0.0,0.0,2594300000.0,2793800000.0,3249200000.0,118700000.0,2594300000.0,654900000.0,-111800000.0,543100000.0,6043000000.0,70400000.0,70400000.0,70400000.0
PVH,2013,Q1,-0.13,-0.13,0.075,-0.13,-17200000.0,-10300000.0,-10300000.0,0.0,-10300000.0,0.0,958300000.0,1910200000.0,0.0,0.0,0.0,895400000.0,958300000.0,951900000.0,88300000.0,895400000.0,56500000.0,-84000000.0,-27500000.0,1910200000.0,80000000.0,80000000.0,80000000.0
PVH,2013,Q2,-0.07,-0.07,0.0375,-0.07,43600000.0,-5300000.0,-5300000.0,0.0,-5400000.0,100000.0,938700000.0,1964800000.0,0.0,0.0,0.0,941200000.0,938700000.0,1026100000.0,49500000.0,941200000.0,84900000.0,-46600000.0,38300000.0,1964800000.0,77143000.0,77143000.0,77143000.0
PVH,2013,Q3,2.41,2.41,0.0375,2.37,6700000.0,196600000.0,196600000.0,0.0,196700000.0,-100000.0,1087300000.0,2259100000.0,0.0,0.0,0.0,927400000.0,1087300000.0,1171800000.0,47900000.0,927400000.0,244400000.0,-41100000.0,203300000.0,2259100000.0,81500000.0,81500000.0,81500000.0
PVH,2013,Q4,-0.44,-0.44,-0.11,-0.43,152200000.0,-37600000.0,-37600000.0,0.0,-37500000.0,-100000.0,982800000.0,2052300000.0,0.0,0.0,0.0,909500000.0,982800000.0,1069500000.0,46900000.0,909500000.0,160000000.0,-45400000.0,114600000.0,2052300000.0,81200000.0,81200000.0,81200000.0
PVH,2013,FY,1.77,1.77,0.0375,1.74,185300000.0,143400000.0,143400000.0,0.0,143500000.0,-100000.0,3967100000.0,8186400000.0,0.0,0.0,0.0,3673500000.0,3967100000.0,4219300000.0,232600000.0,3673500000.0,545800000.0,-217100000.0,328700000.0,8186400000.0,81200000.0,81200000.0,81200000.0
PVH,2014,Q1,0.43,0.43,0.0375,0.42,8700000.0,35200000.0,35200000.0,0.0,35300000.0,-100000.0,930500000.0,1963700000.0,0.0,0.0,0.0,859100000.0,930500000.0,1033200000.0,135200000.0,859100000.0,174100000.0,-130200000.0,43900000.0,1963700000.0,82200000.0,82200000.0,82200000.0
PVH,2014,Q2,1.54,1.54,0.075,1.52,-1000000.0,126500000.0,126500000.0,0.0,126500000.0,0.0,920900000.0,1975600000.0,0.0,0.0,0.0,895800000.0,920900000.0,1054700000.0,35000000.0,895800000.0,158900000.0,-33400000.0,125500000.0,1975600000.0,82300000.0,82300000.0,82300000.0
PVH,2014,Q3,2.74,2.74,0.0375,2.71,22100000.0,225700000.0,225700000.0,0.0,225700000.0,0.0,1065600000.0,2233100000.0,0.0,0.0,0.0,892900000.0,1065600000.0,1167500000.0,33600000.0,892900000.0,274600000.0,-26800000.0,247800000.0,2233100000.0,82400000.0,82400000.0,82400000.0
PVH,2014,Q4,0.62,0.62,-0.11,0.62,-77300000.0,51500000.0,51500000.0,0.0,51500000.0,0.0,997500000.0,2068800000.0,0.0,0.0,0.0,1065800000.0,997500000.0,1071300000.0,32800000.0,1065800000.0,5500000.0,-31300000.0,-25800000.0,2068800000.0,82400000.0,82400000.0,82400000.0
PVH,2014,FY,5.33,5.33,0.0375,5.27,-47500000.0,438900000.0,438900000.0,0.0,439000000.0,-100000.0,3914500000.0,8241200000.0,0.0,0.0,0.0,3713600000.0,3914500000.0,4326700000.0,236600000.0,3713600000.0,613100000.0,-221700000.0,391400000.0,8241200000.0,82400000.0,82400000.0,82400000.0
PVH,2015,Q1,1.38,1.38,0.075,1.37,32900000.0,114100000.0,114100000.0,0.0,114100000.0,0.0,893700000.0,1879300000.0,0.0,0.0,0.0,814900000.0,893700000.0,985600000.0,30900000.0,814900000.0,170700000.0,-23700000.0,147000000.0,1879300000.0,82600000.0,82600000.0,82600000.0
PVH,2015,Q2,1.24,1.24,0.0375,1.22,23900000.0,102200000.0,102200000.0,0.0,102200000.0,0.0,861900000.0,1864000000.0,0.0,0.0,0.0,850500000.0,861900000.0,1002100000.0,29200000.0,848000000.0,154100000.0,-28000000.0,126100000.0,1864000000.0,82700000.0,82700000.0,82700000.0
PVH,2015,Q3,2.69,2.69,0.0375,2.67,4300000.0,221900000.0,221900000.0,0.0,221900000.0,0.0,1063500000.0,2164500000.0,0.0,0.0,0.0,853800000.0,1063500000.0,1101000000.0,28400000.0,847400000.0,253600000.0,-27400000.0,226200000.0,2164500000.0,82400000.0,82400000.0,82400000.0
PVH,2015,Q4,1.64,1.64,-0.11,1.63,14000000.0,134200000.0,134200000.0,0.0,134200000.0,0.0,1039600000.0,2112500000.0,0.0,0.0,0.0,898500000.0,1039600000.0,1072900000.0,28500000.0,907400000.0,165500000.0,-17300000.0,148200000.0,2112500000.0,82400000.0,82400000.0,82400000.0
PVH,2015,FY,6.95,6.95,0.0375,6.89,75100000.0,572400000.0,572400000.0,0.0,572400000.0,0.0,3858700000.0,8020300000.0,0.0,0.0,0.0,3417700000.0,3858700000.0,4161600000.0,117000000.0,3417700000.0,743900000.0,-96400000.0,647500000.0,8020300000.0,82400000.0,82400000.0,82400000.0
PVH,2016,Q1,2.85,2.85,0.075,2.83,34000000.0,231600000.0,231600000.0,0.0,231600000.0,0.0,910900000.0,1917800000.0,0.0,0.0,0.0,865200000.0,910900000.0,1006900000.0,29900000.0,712300000.0,294600000.0,-29000000.0,265600000.0,1917800000.0,81300000.0,81300000.0,81300000.0
PVH,2016,Q2,1.12,1.12,0.0375,1.11,24400000.0,90500000.0,90500000.0,0.0,90500000.0,0.0,899500000.0,1933300000.0,0.0,0.0,0.0,874700000.0,899500000.0,1033800000.0,29200000.0,890800000.0,143000000.0,-28100000.0,114900000.0,1933300000.0,80700000.0,80700000.0,80700000.0
PVH,2016,Q3,1.58,1.58,0.0375,1.56,42600000.0,126100000.0,126100000.0,0.0,126200000.0,-100000.0,1052700000.0,2244300000.0,0.0,0.0,0.0,918000000.0,1052700000.0,1191600000.0,31200000.0,993700000.0,197900000.0,-29200000.0,168700000.0,2244300000.0,80000000.0,80000000.0,80000000.0
