ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
RE,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE,2009,Q2,4.44,4.44,0.48,4.43,40279000.0,272588000.0,272588000.0,0.0,272588000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17116000.0,0.0,0.0,0.0,312867000.0,1154203000.0,61400000.0,61400000.0,61500000.0
RE,2009,Q3,3.76,3.76,0.48,3.75,45073000.0,228618000.0,228618000.0,0.0,228618000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17376000.0,0.0,0.0,0.0,273691000.0,1139132000.0,60800000.0,60800000.0,61000000.0
RE,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RE,2009,FY,13.26,13.26,1.92,13.22,132332000.0,806989000.0,806989000.0,0.0,806989000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72081000.0,0.0,0.0,0.0,939321000.0,4426497000.0,60661000.0,60661000.0,60661000.0
RE,2010,Q1,-0.38,-0.38,0.48,-0.38,12885000.0,-22652000.0,-22652000.0,0.0,-22652000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16642000.0,0.0,0.0,0.0,-9767000.0,1153270000.0,59600000.0,59600000.0,59600000.0
RE,2010,Q2,2.7,2.7,0.48,2.7,3667000.0,156673000.0,156673000.0,0.0,156673000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13016000.0,0.0,0.0,0.0,160340000.0,1086415000.0,57691000.0,57691000.0,57691000.0
RE,2010,Q3,3.12,3.12,0.48,3.11,30238000.0,174200000.0,174200000.0,0.0,174200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13138000.0,0.0,0.0,0.0,204438000.0,1164952000.0,55526000.0,55526000.0,55526000.0
RE,2010,Q4,5.29,5.29,0.48,5.27,-66306000.0,302533000.0,302533000.0,0.0,302533000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13034000.0,0.0,0.0,0.0,236227000.0,1245340000.0,56900000.0,56900000.0,57100000.0
RE,2010,FY,10.73,10.73,1.92,10.7,-19516000.0,610754000.0,610754000.0,0.0,610754000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55830000.0,0.0,0.0,0.0,591238000.0,4649977000.0,56900000.0,56900000.0,57100000.0
RE,2011,Q1,-5.81,-5.81,0.48,-5.81,-25776000.0,-315894000.0,-315894000.0,0.0,-315894000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12998000.0,0.0,0.0,0.0,-341670000.0,1193447000.0,54056000.0,54056000.0,54056000.0
RE,2011,Q2,2.42,2.42,0.48,2.41,9513000.0,131312000.0,131312000.0,0.0,131312000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13116000.0,0.0,0.0,0.0,140825000.0,1163675000.0,53949000.0,53949000.0,53949000.0
RE,2011,Q3,1.16,1.16,0.48,1.16,-53666000.0,63054000.0,63054000.0,0.0,63054000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13085000.0,0.0,0.0,0.0,9388000.0,1011709000.0,53822000.0,53822000.0,53822000.0
RE,2011,Q4,0.74,0.74,0.48,0.75,-83532000.0,41042000.0,41042000.0,0.0,41042000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13120000.0,0.0,0.0,0.0,-42490000.0,1272811000.0,54000000.0,54000000.0,54000000.0
RE,2011,FY,-1.49,-1.49,1.92,-1.49,-153461000.0,-80486000.0,-80486000.0,0.0,-80486000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52319000.0,0.0,0.0,0.0,-233947000.0,4641642000.0,54000000.0,54000000.0,54000000.0
RE,2012,Q1,5.7,5.7,0.48,5.68,38117000.0,304704000.0,304704000.0,0.0,304704000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13178000.0,0.0,0.0,0.0,342821000.0,1235946000.0,53047000.0,53047000.0,53047000.0
RE,2012,Q2,4.1,4.1,0.48,4.08,24851000.0,214551000.0,214551000.0,0.0,214551000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13244000.0,0.0,0.0,0.0,239402000.0,1168811000.0,51855000.0,51855000.0,51855000.0
RE,2012,Q3,4.84,4.84,0.48,4.82,68283000.0,250922000.0,250922000.0,0.0,250922000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331000.0,0.0,0.0,0.0,319205000.0,1205650000.0,51444000.0,51444000.0,51444000.0
RE,2012,Q4,1.21,1.21,0.48,1.21,-20679000.0,58777000.0,58777000.0,0.0,58777000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13930000.0,0.0,0.0,0.0,38098000.0,1258720000.0,52300000.0,52300000.0,52500000.0
RE,2012,FY,15.85,15.85,1.92,15.79,110572000.0,828954000.0,828954000.0,0.0,828954000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53683000.0,0.0,0.0,0.0,939526000.0,4869127000.0,52300000.0,52300000.0,52500000.0
RE,2013,Q1,7.56,7.56,0.48,7.5,85496000.0,384343000.0,384343000.0,0.0,384343000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13481000.0,0.0,0.0,0.0,469839000.0,1354192000.0,50423000.0,50423000.0,50423000.0
RE,2013,Q2,5.6,5.6,0.48,5.56,46813000.0,275642000.0,275642000.0,0.0,275642000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17362000.0,0.0,0.0,0.0,322455000.0,1337181000.0,48762000.0,48762000.0,48762000.0
