ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
SNI,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNI,2009,Q2,0.49,0.49,0.0,0.48,47504000.0,103853000.0,104847000.0,-994000.0,79524000.0,24329000.0,61561000.0,381880000.0,0.0,240000.0,0.0,50240000.0,61561000.0,329711000.0,399000.0,183069000.0,146642000.0,5709000.0,152351000.0,391272000.0,162300000.0,162300000.0,165700000.0
SNI,2009,Q3,0.4,0.4,0.0,0.39,41544000.0,85099000.0,84423000.0,676000.0,65320000.0,19779000.0,61675000.0,356726000.0,0.0,-1321000.0,0.0,47675000.0,61675000.0,302786000.0,285000.0,180086000.0,122700000.0,3267000.0,125967000.0,364461000.0,163300000.0,163300000.0,167500000.0
SNI,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNI,2009,FY,1.81,1.81,0.3,1.81,170733000.0,384874000.0,360459000.0,24415000.0,299326000.0,85548000.0,210865000.0,1335824000.0,0.0,-14174000.0,0.0,198220000.0,210865000.0,1156463000.0,2810000.0,626913000.0,529550000.0,1642000.0,531192000.0,1367328000.0,165400000.0,164921000.0,165381000.0
SNI,2010,Q1,0.44,0.44,0.075,0.43,44875000.0,95782000.0,95782000.0,0.0,72458000.0,23324000.0,71290000.0,461917000.0,0.0,-597000.0,0.0,76619000.0,71290000.0,398103000.0,8481000.0,254544000.0,143559000.0,-2902000.0,140657000.0,469393000.0,164700000.0,164700000.0,168500000.0
SNI,2010,Q2,0.64,0.64,0.0,0.63,61884000.0,141705000.0,133531000.0,8174000.0,106208000.0,35497000.0,64310000.0,471507000.0,0.0,377000.0,0.0,64580000.0,64310000.0,414420000.0,9291000.0,218457000.0,195963000.0,-548000.0,195415000.0,478730000.0,166000000.0,166000000.0,168600000.0
SNI,2010,Q3,0.61,0.61,0.0,0.61,55803000.0,136137000.0,136454000.0,-317000.0,101693000.0,34444000.0,64708000.0,456739000.0,0.0,-898000.0,0.0,63823000.0,64708000.0,402177000.0,8774000.0,207188000.0,194989000.0,-2732000.0,192257000.0,466885000.0,166731000.0,166731000.0,166731000.0
SNI,2010,Q4,0.77,0.77,0.22,0.78,56865000.0,155385000.0,150467000.0,4918000.0,130613000.0,24772000.0,291758000.0,455318000.0,0.0,-458000.0,0.0,350465000.0,291758000.0,175927000.0,8621000.0,-31840000.0,207767000.0,-435000.0,207332000.0,467685000.0,167100000.0,166800000.0,168009000.0
SNI,2010,FY,2.46,2.46,0.3,2.45,219427000.0,529009000.0,516234000.0,12775000.0,410972000.0,118037000.0,492066000.0,1845481000.0,0.0,-1576000.0,0.0,555487000.0,492066000.0,1390627000.0,35167000.0,648349000.0,742278000.0,-6617000.0,735661000.0,1882693000.0,167100000.0,166800000.0,168009000.0
SNI,2011,Q1,0.6,0.6,0.075,0.59,62211000.0,145317000.0,144552000.0,765000.0,100525000.0,44792000.0,72940000.0,468113000.0,0.0,47000.0,0.0,60331000.0,72940000.0,407891000.0,8615000.0,202218000.0,205673000.0,1090000.0,206763000.0,480831000.0,167500000.0,168426000.0,169694000.0
SNI,2011,Q2,0.46,0.46,0.0,0.46,79472000.0,121856000.0,177321000.0,-55465000.0,77429000.0,44427000.0,123297000.0,522177000.0,0.0,421000.0,0.0,136586000.0,123297000.0,410687000.0,8576000.0,158763000.0,251924000.0,4869000.0,256793000.0,533984000.0,168300000.0,168815000.0,170048000.0
SNI,2011,Q3,0.61,0.61,0.0,0.61,33183000.0,129988000.0,136540000.0,-6552000.0,98603000.0,31385000.0,147563000.0,492463000.0,0.0,-23972000.0,0.0,137710000.0,147563000.0,356181000.0,9157000.0,160364000.0,195817000.0,-26094000.0,169723000.0,503744000.0,161600000.0,161789000.0,162276000.0
SNI,2011,Q4,0.83,0.83,0.3,0.83,71586000.0,178235000.0,178235000.0,0.0,135001000.0,43234000.0,183065000.0,540908000.0,0.0,6316000.0,0.0,233275000.0,183065000.0,370424000.0,9773000.0,137240000.0,233184000.0,16637000.0,249821000.0,553489000.0,164600000.0,164657000.0,165572000.0
SNI,2011,FY,2.5,2.5,0.375,2.49,246452000.0,575396000.0,636648000.0,-61252000.0,411558000.0,163838000.0,526865000.0,2023661000.0,0.0,-17188000.0,0.0,567902000.0,526865000.0,1545183000.0,36121000.0,658585000.0,886598000.0,-3498000.0,883100000.0,2072048000.0,164600000.0,164657000.0,165572000.0
SNI,2012,Q1,0.74,0.74,0.12,0.73,66596000.0,156951000.0,156951000.0,0.0,114903000.0,42048000.0,137781000.0,524599000.0,0.0,7154000.0,0.0,158329000.0,137781000.0,397564000.0,12180000.0,182904000.0,214660000.0,8887000.0,223547000.0,535345000.0,155300000.0,156118000.0,157068000.0
