ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
SO,2009,Q1,0.16,0.16,0.42,0.16,167169000.0,141916000.0,141916000.0,0.0,125721000.0,16195000.0,2384992000.0,3638871000.0,0.0,-13826000.0,0.0,0.0,2384992000.0,1281315000.0,225727000.0,791638000.0,489677000.0,-180592000.0,309085000.0,3666307000.0,785800000.0,779858000.0,781645000.0
SO,2009,Q2,0.61,0.61,0.4375,0.6,225717000.0,494808000.0,494808000.0,0.0,478613000.0,16195000.0,2413540000.0,3859165000.0,0.0,23299000.0,0.0,0.0,2413540000.0,1471624000.0,250014000.0,585430000.0,886194000.0,-165669000.0,720525000.0,3885164000.0,784600000.0,790748000.0,792068000.0
SO,2009,Q3,0.99,0.99,0.4375,0.99,435947000.0,806170000.0,806170000.0,0.0,789975000.0,16195000.0,2721207000.0,4516781000.0,0.0,-10466000.0,0.0,0.0,2721207000.0,1960275000.0,226345000.0,544999000.0,1415276000.0,-173159000.0,1242117000.0,4681482000.0,798000000.0,798418000.0,800178000.0
SO,2009,Q4,0.31,0.31,0.44,0.31,67167000.0,265106000.0,265106000.0,0.0,248691000.0,16415000.0,2432261000.0,3627183000.0,0.0,76125000.0,0.0,0.0,2432261000.0,1077786000.0,202914000.0,600933000.0,476853000.0,-144580000.0,332273000.0,3510047000.0,793700000.0,795000000.0,796000000.0
SO,2009,FY,2.07,2.07,1.7325,2.06,896000000.0,1708000000.0,1708000000.0,0.0,1643000000.0,65000000.0,9952000000.0,15642000000.0,0.0,41000000.0,0.0,0.0,9952000000.0,5791000000.0,905000000.0,2523000000.0,3268000000.0,-664000000.0,2604000000.0,15743000000.0,793700000.0,795000000.0,796000000.0
SO,2010,Q1,0.6,0.6,0.4375,0.6,236000000.0,511000000.0,511000000.0,0.0,495000000.0,16000000.0,2680000000.0,4136000000.0,0.0,-2000000.0,0.0,0.0,2680000000.0,1477000000.0,222000000.0,555000000.0,922000000.0,-175000000.0,747000000.0,4157000000.0,825000000.0,822526000.0,824787000.0
SO,2010,Q2,0.62,0.62,0.455,0.61,247000000.0,526000000.0,526000000.0,0.0,510000000.0,16000000.0,2676000000.0,4187000000.0,0.0,-5000000.0,0.0,0.0,2676000000.0,1532000000.0,219000000.0,581000000.0,951000000.0,-178000000.0,773000000.0,4208000000.0,822600000.0,828000000.0,833000000.0
SO,2010,Q3,0.98,0.98,0.455,0.97,442000000.0,834000000.0,834000000.0,0.0,817000000.0,17000000.0,3198000000.0,5299000000.0,0.0,-3000000.0,0.0,0.0,3198000000.0,2122000000.0,225000000.0,663000000.0,1459000000.0,-183000000.0,1276000000.0,5320000000.0,833700000.0,836000000.0,842000000.0
SO,2010,Q4,0.17,0.17,0.45,0.18,101000000.0,169000000.0,169000000.0,0.0,153000000.0,16000000.0,2718000000.0,3752000000.0,0.0,5000000.0,0.0,0.0,2718000000.0,1053000000.0,229000000.0,583000000.0,470000000.0,-200000000.0,270000000.0,3771000000.0,833300000.0,832000000.0,837000000.0
SO,2010,FY,2.37,2.37,1.8025,2.36,1026000000.0,2040000000.0,2040000000.0,0.0,1975000000.0,65000000.0,11272000000.0,17374000000.0,0.0,-59000000.0,0.0,0.0,11272000000.0,6184000000.0,895000000.0,2382000000.0,3802000000.0,-736000000.0,3066000000.0,17456000000.0,833300000.0,832000000.0,837000000.0
