ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
TJX,2009,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJX,2009,Q2,0.48,0.48,0.11,0.45,125302000.0,200223000.0,212073000.0,-11850000.0,200223000.0,0.0,3447443000.0,4554395000.0,0.0,0.0,0.0,766936000.0,3447443000.0,1106952000.0,2641000.0,766936000.0,340016000.0,-2641000.0,337375000.0,4554395000.0,417100000.0,421289000.0,445423000.0
TJX,2009,Q3,0.57,0.57,0.11,0.54,164141000.0,235849000.0,254117000.0,-18268000.0,235849000.0,0.0,3536990000.0,4761530000.0,0.0,0.0,0.0,807833000.0,3536990000.0,1224540000.0,5449000.0,800833000.0,423707000.0,-5449000.0,418258000.0,4761530000.0,413800000.0,417107000.0,440749000.0
TJX,2009,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJX,2009,FY,2.1,2.1,0.44,2.0,536054000.0,880617000.0,914886000.0,-34269000.0,880617000.0,0.0,14429185000.0,18999505000.0,0.0,0.0,0.0,3135589000.0,14429185000.0,4570320000.0,14291000.0,3105089000.0,1465231000.0,-14291000.0,1450940000.0,18999505000.0,419300000.0,419076000.0,442255000.0
TJX,2010,Q1,0.51,0.51,0.12,0.49,130006000.0,209214000.0,209214000.0,0.0,209214000.0,0.0,3273346000.0,4354224000.0,0.0,0.0,0.0,735057000.0,3273346000.0,1080878000.0,6601000.0,735057000.0,345821000.0,-6601000.0,339220000.0,4354224000.0,410200000.0,412544000.0,431920000.0
TJX,2010,Q2,0.62,0.62,0.12,0.61,151540000.0,261561000.0,261561000.0,0.0,261561000.0,0.0,3534302000.0,4747528000.0,0.0,0.0,0.0,790876000.0,3534302000.0,1213226000.0,9249000.0,790876000.0,422350000.0,-9249000.0,413101000.0,4747528000.0,421900000.0,423891000.0,430453000.0
TJX,2010,Q3,0.82,0.82,0.12,0.81,218206000.0,347799000.0,347799000.0,0.0,347799000.0,0.0,3802179000.0,5244946000.0,0.0,0.0,0.0,864097000.0,3802179000.0,1442767000.0,12665000.0,864097000.0,578670000.0,-12665000.0,566005000.0,5244946000.0,424100000.0,421654000.0,428092000.0
TJX,2010,Q4,0.47,0.47,0.06,0.47,238238000.0,394998000.0,394998000.0,0.0,394998000.0,0.0,4358602000.0,5941746000.0,0.0,0.0,0.0,938914000.0,4358602000.0,1583144000.0,10994000.0,938914000.0,644230000.0,-10994000.0,633236000.0,5941746000.0,836900000.0,835592000.0,855239000.0
TJX,2010,FY,1.45,1.45,0.24,1.42,737990000.0,1213572000.0,1213572000.0,0.0,1213572000.0,0.0,14968429000.0,20288444000.0,0.0,0.0,0.0,3328944000.0,14968429000.0,5320015000.0,39509000.0,3328944000.0,1991071000.0,-39509000.0,1951562000.0,20288444000.0,836900000.0,835592000.0,855239000.0
