ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
UTX,2009,Q1,0.79,0.79,0.39,0.78,276000000.0,799000000.0,799000000.0,0.0,722000000.0,77000000.0,9107000000.0,12199000000.0,0.0,0.0,0.0,1483000000.0,9107000000.0,3142000000.0,175000000.0,1892000000.0,1250000000.0,-175000000.0,1075000000.0,12249000000.0,913900000.0,918000000.0,926000000.0
UTX,2009,Q2,1.06,1.06,0.39,1.05,394000000.0,1066000000.0,1066000000.0,0.0,976000000.0,90000000.0,9601000000.0,13060000000.0,0.0,0.0,0.0,1574000000.0,9601000000.0,3595000000.0,177000000.0,1958000000.0,1637000000.0,-177000000.0,1460000000.0,13196000000.0,920800000.0,919000000.0,929000000.0
UTX,2009,Q3,1.15,1.15,0.39,1.14,456000000.0,1145000000.0,1145000000.0,0.0,1058000000.0,87000000.0,9836000000.0,13187000000.0,0.0,0.0,0.0,1424000000.0,9836000000.0,3539000000.0,170000000.0,1768000000.0,1771000000.0,-170000000.0,1601000000.0,13375000000.0,920000000.0,917000000.0,929000000.0
UTX,2009,Q4,1.17,1.17,0.37,1.15,455000000.0,1169000000.0,1169000000.0,0.0,1073000000.0,96000000.0,10317000000.0,13979000000.0,0.0,0.0,0.0,1555000000.0,10317000000.0,3288000000.0,95000000.0,1569000000.0,1719000000.0,-95000000.0,1624000000.0,13605000000.0,918200000.0,917400000.0,928800000.0
UTX,2009,FY,4.17,4.17,1.54,4.12,1581000000.0,4179000000.0,4179000000.0,0.0,3829000000.0,350000000.0,38861000000.0,52425000000.0,0.0,0.0,0.0,6036000000.0,38861000000.0,13564000000.0,617000000.0,7187000000.0,6377000000.0,-617000000.0,5760000000.0,52425000000.0,918200000.0,917400000.0,928800000.0
UTX,2010,Q1,0.95,0.95,0.425,0.93,405000000.0,947000000.0,947000000.0,0.0,866000000.0,81000000.0,8732000000.0,12040000000.0,0.0,0.0,0.0,1424000000.0,8732000000.0,3308000000.0,171000000.0,1785000000.0,1523000000.0,-171000000.0,1352000000.0,12040000000.0,911600000.0,913600000.0,929300000.0
UTX,2010,Q2,1.22,1.22,0.425,1.2,521000000.0,1212000000.0,1212000000.0,0.0,1110000000.0,102000000.0,10015000000.0,13802000000.0,0.0,0.0,0.0,1491000000.0,10015000000.0,3787000000.0,149000000.0,1905000000.0,1882000000.0,-149000000.0,1733000000.0,13802000000.0,909800000.0,910400000.0,925400000.0
UTX,2010,Q3,1.32,1.32,0.425,1.3,468000000.0,1299000000.0,1299000000.0,0.0,1198000000.0,101000000.0,9667000000.0,13620000000.0,0.0,0.0,0.0,1478000000.0,9667000000.0,3953000000.0,161000000.0,2025000000.0,1928000000.0,-161000000.0,1767000000.0,13620000000.0,907600000.0,905600000.0,919500000.0
UTX,2010,Q4,1.33,1.33,0.42,1.31,331000000.0,1253000000.0,1065000000.0,188000000.0,1199000000.0,54000000.0,9540000000.0,12813000000.0,0.0,0.0,0.0,1405000000.0,9540000000.0,3273000000.0,169000000.0,1708000000.0,1565000000.0,-169000000.0,1396000000.0,12813000000.0,907300000.0,907900000.0,922700000.0
UTX,2010,FY,4.82,4.82,1.7,4.74,1725000000.0,4711000000.0,4523000000.0,188000000.0,4373000000.0,338000000.0,37954000000.0,52275000000.0,0.0,0.0,0.0,5798000000.0,37954000000.0,14321000000.0,650000000.0,7423000000.0,6898000000.0,-650000000.0,6248000000.0,52275000000.0,907300000.0,907900000.0,922700000.0
UTX,2011,Q1,1.13,1.13,0.0,1.11,486000000.0,1101000000.0,1054000000.0,47000000.0,1012000000.0,89000000.0,9164000000.0,12680000000.0,0.0,0.0,0.0,1456000000.0,9164000000.0,3516000000.0,148000000.0,1828000000.0,1688000000.0,-148000000.0,1540000000.0,12680000000.0,898700000.0,898700000.0,898700000.0
UTX,2011,Q2,1.48,1.48,0.0,1.45,612000000.0,1430000000.0,1397000000.0,33000000.0,1318000000.0,112000000.0,10468000000.0,14469000000.0,0.0,0.0,0.0,1576000000.0,10468000000.0,4001000000.0,141000000.0,1851000000.0,2150000000.0,-141000000.0,2009000000.0,14469000000.0,892900000.0,892900000.0,892900000.0
UTX,2011,Q3,1.49,1.49,0.0,1.47,628000000.0,1421000000.0,1384000000.0,37000000.0,1324000000.0,97000000.0,10338000000.0,14235000000.0,0.0,0.0,0.0,1512000000.0,10338000000.0,3897000000.0,139000000.0,1746000000.0,2151000000.0,-139000000.0,2012000000.0,14235000000.0,888800000.0,888800000.0,888800000.0
