ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
VAR,2009,Q1,0.56,0.56,0.0,0.55,30476000.0,68797000.0,69579000.0,-782000.0,68797000.0,0.0,289712000.0,508669000.0,0.0,0.0,0.0,83233000.0,289712000.0,218957000.0,953000.0,120211000.0,98746000.0,1309000.0,100055000.0,508669000.0,122900000.0,123818000.0,125167000.0
VAR,2009,Q2,0.55,0.55,0.0,0.54,42554000.0,67813000.0,79358000.0,-11545000.0,67813000.0,0.0,313200000.0,553591000.0,0.0,0.0,0.0,81183000.0,313200000.0,240391000.0,1194000.0,118162000.0,122229000.0,-317000.0,121912000.0,553591000.0,123300000.0,123782000.0,124497000.0
VAR,2009,Q3,0.69,0.69,0.0,0.68,16904000.0,85351000.0,85351000.0,0.0,85351000.0,0.0,293631000.0,509871000.0,0.0,0.0,0.0,78427000.0,293631000.0,216240000.0,920000.0,113752000.0,102488000.0,-233000.0,102255000.0,509871000.0,123700000.0,124237000.0,124991000.0
VAR,2009,Q4,0.77,0.77,0.0,0.78,53233000.0,97061000.0,97188000.0,-127000.0,97061000.0,0.0,357012000.0,641929000.0,0.0,0.0,0.0,96141000.0,357012000.0,284917000.0,1030000.0,134234000.0,150683000.0,-262000.0,150421000.0,641929000.0,124100000.0,124034000.0,124995000.0
VAR,2009,FY,2.57,2.57,0.0,2.55,143167000.0,319022000.0,331476000.0,-12454000.0,319022000.0,0.0,1253555000.0,2214060000.0,0.0,0.0,0.0,338984000.0,1253555000.0,960505000.0,4097000.0,486359000.0,474146000.0,497000.0,474643000.0,2214060000.0,124100000.0,124034000.0,124995000.0
VAR,2010,Q1,0.64,0.64,0.0,0.63,40016000.0,78775000.0,78775000.0,0.0,78775000.0,0.0,299889000.0,540906000.0,0.0,0.0,0.0,83542000.0,299889000.0,241017000.0,1104000.0,121930000.0,119087000.0,-296000.0,118791000.0,540906000.0,123100000.0,123690000.0,125061000.0
VAR,2010,Q2,0.74,0.74,0.0,0.73,44063000.0,91114000.0,91114000.0,0.0,91114000.0,0.0,331593000.0,585571000.0,0.0,0.0,0.0,79502000.0,331593000.0,253978000.0,1099000.0,118422000.0,135556000.0,-379000.0,135177000.0,585571000.0,123100000.0,122938000.0,124337000.0
VAR,2010,Q3,0.7,0.7,0.0,0.69,38003000.0,85494000.0,91944000.0,-6450000.0,85494000.0,0.0,323670000.0,578051000.0,0.0,0.0,0.0,84742000.0,323670000.0,254381000.0,1472000.0,123616000.0,130765000.0,-818000.0,129947000.0,578051000.0,122100000.0,122072000.0,124511000.0
VAR,2010,Q4,0.88,0.88,0.0,0.86,43362000.0,105039000.0,105648000.0,-609000.0,105039000.0,0.0,375791000.0,652057000.0,0.0,0.0,0.0,86906000.0,375791000.0,276266000.0,433000.0,127472000.0,148794000.0,216000.0,149010000.0,652057000.0,121800000.0,121816000.0,124025000.0
VAR,2010,FY,2.96,2.96,0.0,2.91,165444000.0,360422000.0,367481000.0,-7059000.0,360422000.0,0.0,1330943000.0,2356585000.0,0.0,0.0,0.0,334692000.0,1330943000.0,1025642000.0,4108000.0,491440000.0,534202000.0,-1277000.0,532925000.0,2356585000.0,121800000.0,121816000.0,124025000.0
VAR,2011,Q1,0.82,0.82,0.0,0.8,40612000.0,96489000.0,96489000.0,0.0,96489000.0,0.0,313013000.0,579852000.0,0.0,0.0,0.0,91310000.0,313013000.0,266839000.0,555000.0,129812000.0,137027000.0,74000.0,137101000.0,579852000.0,117700000.0,118170000.0,121212000.0
VAR,2011,Q2,0.87,0.87,0.0,0.86,48118000.0,103079000.0,103079000.0,0.0,103079000.0,0.0,359461000.0,648455000.0,0.0,0.0,0.0,93924000.0,359461000.0,288994000.0,809000.0,137797000.0,151197000.0,0.0,151197000.0,648455000.0,118500000.0,117959000.0,120386000.0
VAR,2011,Q3,0.84,0.84,0.0,0.83,41966000.0,98605000.0,98605000.0,0.0,98605000.0,0.0,369683000.0,649438000.0,0.0,0.0,0.0,94838000.0,369683000.0,279755000.0,504000.0,139264000.0,140491000.0,80000.0,140571000.0,649438000.0,117400000.0,116874000.0,119064000.0
