ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
VLO,2009,Q1,0.6,0.6,0.15,0.59,148000000.0,309000000.0,364000000.0,-55000000.0,309000000.0,0.0,11373000000.0,13328000000.0,0.0,-1000000.0,0.0,990000000.0,11373000000.0,1955000000.0,80000000.0,1362000000.0,593000000.0,-81000000.0,512000000.0,13328000000.0,515000000.0,514000000.0,519000000.0
VLO,2009,Q2,-0.48,-0.48,0.15,-0.48,-108000000.0,-254000000.0,-191000000.0,-63000000.0,-254000000.0,0.0,16185000000.0,17376000000.0,0.0,-23000000.0,0.0,903000000.0,16185000000.0,1191000000.0,84000000.0,1383000000.0,-192000000.0,-107000000.0,-299000000.0,17376000000.0,529200000.0,525000000.0,525000000.0
VLO,2009,Q3,-1.12,-1.12,0.15,-1.12,-18000000.0,-629000000.0,-343000000.0,-286000000.0,-629000000.0,0.0,18225000000.0,18573000000.0,0.0,8000000.0,0.0,167000000.0,18225000000.0,348000000.0,131000000.0,586000000.0,-238000000.0,-123000000.0,-361000000.0,18573000000.0,561600000.0,561000000.0,561000000.0
VLO,2009,Q4,-2.67,-2.67,0.15,-2.66,-65000000.0,-1408000000.0,-103000000.0,-1305000000.0,-1408000000.0,0.0,16578000000.0,15322000000.0,0.0,33000000.0,0.0,-1488000000.0,16578000000.0,-1256000000.0,121000000.0,-1176000000.0,-80000000.0,-88000000.0,-168000000.0,15322000000.0,540100000.0,541000000.0,541000000.0
VLO,2009,FY,-3.67,-3.67,0.6,-3.67,-43000000.0,-1982000000.0,-273000000.0,-1709000000.0,-1982000000.0,0.0,62361000000.0,64599000000.0,0.0,17000000.0,0.0,572000000.0,62361000000.0,2238000000.0,416000000.0,2155000000.0,83000000.0,-399000000.0,-316000000.0,64599000000.0,540100000.0,541000000.0,541000000.0
VLO,2010,Q1,-0.2,-0.2,0.05,-0.2,-32000000.0,-113000000.0,-80000000.0,-33000000.0,-113000000.0,0.0,18052000000.0,18493000000.0,0.0,11000000.0,0.0,97000000.0,18052000000.0,441000000.0,127000000.0,437000000.0,4000000.0,-116000000.0,-112000000.0,18493000000.0,565000000.0,562000000.0,562000000.0
VLO,2010,Q2,1.03,1.03,0.05,1.03,268000000.0,583000000.0,520000000.0,63000000.0,583000000.0,0.0,19174000000.0,20561000000.0,0.0,1000000.0,0.0,131000000.0,19174000000.0,1387000000.0,117000000.0,483000000.0,904000000.0,-116000000.0,788000000.0,20561000000.0,566000000.0,563000000.0,567000000.0
VLO,2010,Q3,0.52,0.52,0.05,0.51,185000000.0,292000000.0,303000000.0,-11000000.0,292000000.0,0.0,19933000000.0,21015000000.0,0.0,17000000.0,0.0,139000000.0,19933000000.0,1082000000.0,119000000.0,492000000.0,590000000.0,-102000000.0,488000000.0,21015000000.0,561500000.0,564000000.0,568000000.0
VLO,2010,Q4,-0.78,-0.78,0.05,-0.77,154000000.0,-438000000.0,180000000.0,-618000000.0,-438000000.0,0.0,21260000000.0,22164000000.0,0.0,77000000.0,0.0,164000000.0,21260000000.0,904000000.0,121000000.0,526000000.0,378000000.0,-44000000.0,334000000.0,22164000000.0,568400000.0,563000000.0,568000000.0
VLO,2010,FY,0.57,0.57,0.2,0.57,575000000.0,324000000.0,923000000.0,-599000000.0,324000000.0,0.0,78419000000.0,82233000000.0,0.0,106000000.0,0.0,531000000.0,78419000000.0,3814000000.0,484000000.0,1938000000.0,1876000000.0,-378000000.0,1498000000.0,82233000000.0,568400000.0,563000000.0,568000000.0
