ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
VRSN,2009,Q1,0.34,0.34,0.0,0.34,23200000.0,65515000.0,47317000.0,18198000.0,65020000.0,495000.0,62879000.0,253557000.0,0.0,-4340000.0,0.0,48630000.0,62879000.0,190678000.0,0.0,115821000.0,74857000.0,-4340000.0,70517000.0,253557000.0,191200000.0,192311000.0,192804000.0
VRSN,2009,Q2,0.18,0.18,0.0,0.18,15593000.0,35772000.0,16904000.0,18868000.0,34874000.0,898000.0,42977000.0,154338000.0,0.0,-10485000.0,0.0,37339000.0,42977000.0,111361000.0,0.0,68379000.0,42982000.0,-10485000.0,32497000.0,154338000.0,193700000.0,192649000.0,193426000.0
VRSN,2009,Q3,0.28,0.28,0.0,0.28,4132000.0,54599000.0,20900000.0,33699000.0,53611000.0,988000.0,42159000.0,156807000.0,0.0,-9056000.0,0.0,35315000.0,42159000.0,114648000.0,0.0,80560000.0,34088000.0,-9056000.0,25032000.0,156807000.0,191500000.0,192619000.0,193472000.0
VRSN,2009,Q4,0.48,0.48,0.0,0.48,-9990000.0,93353000.0,6496000.0,86857000.0,92048000.0,1305000.0,18690000.0,51245000.0,0.0,35826000.0,0.0,23745000.0,18690000.0,32555000.0,47351000.0,24524000.0,8031000.0,-11525000.0,-3494000.0,51245000.0,191800000.0,191821000.0,192575000.0
VRSN,2009,FY,1.28,1.28,0.0,1.28,32935000.0,249239000.0,91617000.0,157622000.0,245553000.0,3686000.0,166705000.0,615947000.0,0.0,11945000.0,0.0,146531000.0,166705000.0,449242000.0,47351000.0,289284000.0,159958000.0,-35406000.0,124552000.0,615947000.0,191800000.0,191821000.0,192575000.0
VRSN,2010,Q1,0.28,0.28,0.0,0.28,16924000.0,52440000.0,30009000.0,22431000.0,51356000.0,1084000.0,38814000.0,161582000.0,0.0,4828000.0,0.0,34844000.0,38814000.0,122768000.0,11998000.0,68665000.0,54103000.0,-7170000.0,46933000.0,161582000.0,183400000.0,183174000.0,184259000.0
VRSN,2010,Q2,0.19,0.19,0.0,0.19,16121000.0,36374000.0,26585000.0,9789000.0,35213000.0,1161000.0,39846000.0,167881000.0,0.0,3850000.0,0.0,32797000.0,39846000.0,128035000.0,11966000.0,77213000.0,50822000.0,-8116000.0,42706000.0,167881000.0,185300000.0,181120000.0,182753000.0
VRSN,2010,Q3,4.52,4.52,0.0,4.48,7267000.0,785545000.0,45105000.0,740440000.0,784903000.0,642000.0,39751000.0,172286000.0,0.0,4640000.0,0.0,33514000.0,39751000.0,132535000.0,12140000.0,72663000.0,59872000.0,-7500000.0,52372000.0,172286000.0,173700000.0,173572000.0,175034000.0
VRSN,2010,Q4,-0.31,-0.31,3.0,-0.31,-14990000.0,-40505000.0,-31667000.0,-8838000.0,-40505000.0,0.0,38265000.0,178829000.0,0.0,7420000.0,0.0,57078000.0,38265000.0,140564000.0,121563000.0,73078000.0,67486000.0,-114143000.0,-46657000.0,178829000.0,177600000.0,177534000.0,178965000.0
VRSN,2010,FY,4.68,4.68,3.0,4.64,25322000.0,833854000.0,70032000.0,763822000.0,830967000.0,2887000.0,156676000.0,680578000.0,0.0,20738000.0,0.0,137704000.0,156676000.0,523902000.0,157667000.0,291619000.0,232283000.0,-136929000.0,95354000.0,680578000.0,177600000.0,177534000.0,178965000.0
