ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,totalcostofrevenue,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
YUM,2010,Q1,0.51,0.51,0.21,0.5,78000000.0,245000000.0,245000000.0,0.0,241000000.0,4000000.0,1679000000.0,2345000000.0,0.0,0.0,0.0,245000000.0,1679000000.0,666000000.0,41000000.0,302000000.0,364000000.0,-41000000.0,323000000.0,2345000000.0,472500000.0,472500000.0,482000000.0
YUM,2010,Q2,0.61,0.61,0.21,0.59,90000000.0,289000000.0,289000000.0,0.0,286000000.0,3000000.0,1878000000.0,2574000000.0,0.0,0.0,0.0,283000000.0,1878000000.0,696000000.0,42000000.0,275000000.0,421000000.0,-42000000.0,379000000.0,2574000000.0,473000000.0,473000000.0,473000000.0
YUM,2010,Q3,0.76,0.76,0.0,0.74,139000000.0,367000000.0,367000000.0,0.0,357000000.0,10000000.0,2041000000.0,2862000000.0,0.0,0.0,0.0,285000000.0,2041000000.0,821000000.0,38000000.0,277000000.0,544000000.0,-38000000.0,506000000.0,2862000000.0,473000000.0,473000000.0,473000000.0
YUM,2010,Q4,0.56,0.56,0.5,0.55,109000000.0,277000000.0,277000000.0,0.0,274000000.0,3000000.0,2632000000.0,3562000000.0,0.0,0.0,0.0,464000000.0,2632000000.0,930000000.0,54000000.0,490000000.0,440000000.0,-54000000.0,386000000.0,3562000000.0,474000000.0,474000000.0,474000000.0
YUM,2010,FY,2.44,2.44,0.92,2.38,416000000.0,1178000000.0,1178000000.0,0.0,1158000000.0,20000000.0,8230000000.0,11343000000.0,0.0,0.0,0.0,1277000000.0,8230000000.0,3113000000.0,175000000.0,1344000000.0,1769000000.0,-175000000.0,1594000000.0,11343000000.0,474000000.0,474000000.0,474000000.0
YUM,2011,Q1,0.56,0.56,0.0,0.54,91000000.0,267000000.0,267000000.0,0.0,264000000.0,3000000.0,1721000000.0,2425000000.0,0.0,0.0,0.0,255000000.0,1721000000.0,704000000.0,43000000.0,303000000.0,401000000.0,-43000000.0,358000000.0,2425000000.0,473000000.0,473000000.0,473000000.0
YUM,2011,Q2,0.67,0.67,0.5,0.65,62000000.0,322000000.0,322000000.0,0.0,316000000.0,6000000.0,2078000000.0,2816000000.0,0.0,0.0,0.0,308000000.0,2078000000.0,738000000.0,35000000.0,319000000.0,419000000.0,-35000000.0,384000000.0,2816000000.0,471000000.0,471000000.0,471000000.0
YUM,2011,Q3,0.82,0.82,0.0,0.8,67000000.0,389000000.0,389000000.0,0.0,383000000.0,6000000.0,2401000000.0,3274000000.0,0.0,0.0,0.0,310000000.0,2401000000.0,873000000.0,32000000.0,385000000.0,488000000.0,-32000000.0,456000000.0,3274000000.0,469000000.0,469000000.0,469000000.0
YUM,2011,Q4,0.76,0.76,0.57,0.75,104000000.0,357000000.0,357000000.0,0.0,356000000.0,1000000.0,3085000000.0,4111000000.0,0.0,0.0,0.0,499000000.0,3085000000.0,1026000000.0,46000000.0,519000000.0,507000000.0,-46000000.0,461000000.0,4111000000.0,469000000.0,469000000.0,469000000.0
YUM,2011,FY,2.81,2.81,1.07,2.74,324000000.0,1335000000.0,1335000000.0,0.0,1319000000.0,16000000.0,9285000000.0,12626000000.0,0.0,0.0,0.0,1372000000.0,9285000000.0,3341000000.0,156000000.0,1526000000.0,1815000000.0,-156000000.0,1659000000.0,12626000000.0,469000000.0,469000000.0,469000000.0
