ticker,year,quarter,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
ZBH,2009,Q1,0.91,0.91,0.0,0.91,73900000.0,202200000.0,202200000.0,0.0,202200000.0,0.0,230200000.0,992600000.0,0.0,0.0,0.0,423700000.0,230200000.0,762400000.0,3700000.0,482600000.0,279800000.0,-3700000.0,276100000.0,992600000.0,222200000.0,221500000.0,222100000.0
ZBH,2009,Q2,0.98,0.98,0.0,0.98,82400000.0,210100000.0,210100000.0,0.0,210100000.0,0.0,236800000.0,1019900000.0,0.0,0.0,0.0,432300000.0,236800000.0,783100000.0,4000000.0,486600000.0,296500000.0,-4000000.0,292500000.0,1019900000.0,214400000.0,214700000.0,215500000.0
ZBH,2009,Q3,0.7,0.7,0.0,0.7,49900000.0,149900000.0,149900000.0,0.0,149900000.0,0.0,249300000.0,975600000.0,0.0,0.0,0.0,412900000.0,249300000.0,726300000.0,4200000.0,522300000.0,204000000.0,-4200000.0,199800000.0,975600000.0,214100000.0,213600000.0,214500000.0
ZBH,2009,Q4,0.75,0.75,0.0,0.73,74600000.0,155200000.0,155200000.0,0.0,155200000.0,0.0,274400000.0,1107300000.0,0.0,0.0,0.0,460100000.0,274400000.0,832900000.0,10500000.0,594400000.0,238500000.0,-8700000.0,229800000.0,1107300000.0,214800000.0,215000000.0,215800000.0
ZBH,2009,FY,3.34,3.34,0.0,3.32,280800000.0,717400000.0,717400000.0,0.0,717400000.0,0.0,990700000.0,4095400000.0,0.0,0.0,0.0,1729000000.0,990700000.0,3104700000.0,22400000.0,2085900000.0,1018800000.0,-20600000.0,998200000.0,4095400000.0,214800000.0,215000000.0,215800000.0
ZBH,2010,Q1,1.01,1.01,0.0,1.01,74100000.0,205400000.0,205400000.0,0.0,205400000.0,0.0,268400000.0,1062800000.0,0.0,0.0,0.0,447200000.0,268400000.0,794400000.0,14600000.0,500300000.0,294100000.0,-14600000.0,279500000.0,1062800000.0,203400000.0,203000000.0,204200000.0
ZBH,2010,Q2,0.82,0.82,0.0,0.82,48300000.0,165500000.0,165500000.0,0.0,165500000.0,0.0,250600000.0,1057700000.0,0.0,0.0,0.0,438300000.0,250600000.0,807100000.0,14300000.0,579000000.0,228100000.0,-14300000.0,213800000.0,1057700000.0,201800000.0,201900000.0,203000000.0
ZBH,2010,Q3,0.96,0.96,0.0,0.96,66300000.0,191100000.0,191100000.0,0.0,191100000.0,0.0,219100000.0,965000000.0,0.0,0.0,0.0,412000000.0,219100000.0,745900000.0,14200000.0,474300000.0,271600000.0,-14200000.0,257400000.0,965000000.0,199100000.0,198700000.0,199700000.0
ZBH,2010,Q4,0.19,0.19,0.0,0.18,74600000.0,34900000.0,34900000.0,0.0,34900000.0,0.0,274100000.0,1134700000.0,0.0,0.0,0.0,461600000.0,274100000.0,860600000.0,17100000.0,737700000.0,122900000.0,-13400000.0,109500000.0,1134700000.0,200300000.0,200000000.0,201100000.0
ZBH,2010,FY,2.98,2.98,0.0,2.97,263300000.0,596900000.0,596900000.0,0.0,596900000.0,0.0,1012200000.0,4220200000.0,0.0,0.0,0.0,1759100000.0,1012200000.0,3208000000.0,60200000.0,2291300000.0,916700000.0,-56500000.0,860200000.0,4220200000.0,200300000.0,200000000.0,201100000.0
ZBH,2011,Q1,1.08,1.08,0.0,1.08,77300000.0,208900000.0,208900000.0,0.0,208900000.0,0.0,279000000.0,1115600000.0,0.0,0.0,0.0,458300000.0,279000000.0,836600000.0,13000000.0,539400000.0,297200000.0,-11000000.0,286200000.0,1115600000.0,193400000.0,192600000.0,193800000.0
ZBH,2011,Q2,1.06,1.06,0.0,1.06,45500000.0,203800000.0,203800000.0,0.0,203800000.0,0.0,287900000.0,1137400000.0,0.0,0.0,0.0,470000000.0,287900000.0,849500000.0,13100000.0,590400000.0,259100000.0,-9800000.0,249300000.0,1137400000.0,192300000.0,191500000.0,192700000.0
